$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26972694$狐妖小红娘剧场版：月红篇$胡二$2018-04-23 22:22:49$65$主线CP果然是最崇高虐人
332$26972694$狐妖小红娘剧场版：月红篇$痴痴睡睡$2020-10-28 23:43:09$0$7.5 更喜欢白苏
333$26972694$狐妖小红娘剧场版：月红篇$玉兔捣药$2021-11-11 12:23:33$0$东方还有红红快回来吧 一定要幸福啊
334$26972694$狐妖小红娘剧场版：月红篇$张咕咕$2019-03-12 11:39:03$0$虽然没看过什么动漫，但是还是要说，小红娘真的是国漫之光呀~妖仙姐姐道士哥哥，二货道士和小蠢货，童养媳和童养夫，五百年后你们还是你们呀
335$26972694$狐妖小红娘剧场版：月红篇$宴宴$2021-06-22 16:50:22$0$永远的be，后面的转世都不是东方月初了
336$26972694$狐妖小红娘剧场版：月红篇$咕嘟咕嘟喝多了$2019-05-21 19:04:19$0$前世二货道士，今生道士哥哥 。苏苏太可爱了
337$26972694$狐妖小红娘剧场版：月红篇$ice$2021-08-24 15:58:00$0$还行吧，但很不喜欢女主涂山苏苏那种傻幼，嗲声嗲气的人物设定，像是作者的为了卖萌刻意制造的，看着让人真难受！
338$26972694$狐妖小红娘剧场版：月红篇$lily$2019-03-01 10:06:55$0$最爱月红(｡･ω･｡)ﾉ♡
339$26972694$狐妖小红娘剧场版：月红篇$天线饱饱$2022-07-08 22:52:17$0$姐姐😭
340$26972694$狐妖小红娘剧场版：月红篇$璁儿$2020-07-15 17:52:30$0$国漫之光 月红篇也是感人 红红真的很飒了
341$26972694$狐妖小红娘剧场版：月红篇$颖公子$2017-07-07 15:14:16$0$最爱的一对cp
342$26972694$狐妖小红娘剧场版：月红篇$呵呵$2021-06-29 01:54:17$0$我的月红QAQ是不是永远be了QAQ
343$26972694$狐妖小红娘剧场版：月红篇$饼饼吃饱了吗？$2022-04-22 14:15:05$0$最喜欢的一篇，月红yyds，一个以为不会走，一个以为会挽留；；；就这么错过了生生世世 哎
344$26972694$狐妖小红娘剧场版：月红篇$圣伊芙$2019-06-01 11:48:00$0$涂山苏苏~
345$26972694$狐妖小红娘剧场版：月红篇$唐多令$2018-05-05 09:11:48$0$我最喜欢的故事没有之一，比王权篇还要喜欢！！喜欢这种势均力敌的感情！！！看了好几遍了，也不会腻
346$26972694$狐妖小红娘剧场版：月红篇$幽兰打铁$2019-03-13 08:39:47$0$月红赛高！
347$26972694$狐妖小红娘剧场版：月红篇$momo$2020-12-09 15:20:32$0$看的时候真的哭惨了
348$26972694$狐妖小红娘剧场版：月红篇$取名字好难$2021-11-21 12:18:40$0$月红篇是除了竹业篇外我最喜欢的，真的好喜欢红红，画风我真的很喜欢！国漫崛起指日可待！
349$26972694$狐妖小红娘剧场版：月红篇$八百斯巴达兽$2022-08-16 13:52:27$0$目前最喜欢的一篇！
350$26972694$狐妖小红娘剧场版：月红篇$芊芊$2022-03-20 03:10:38$0$逻辑不通的地方也太多了
351$26972694$狐妖小红娘剧场版：月红篇$著名歌手李龟年$2019-08-14 20:18:47$0$喜欢💕
352$26972694$狐妖小红娘剧场版：月红篇$豌豆小憩$2019-02-14 22:57:10$0$刚按错了，按成想看，2018年已看过，打卡
353$26972694$狐妖小红娘剧场版：月红篇$山下烟蓝$2018-07-22 14:25:06$0$好看(｡･ω･｡)ﾉ♡
354$26972694$狐妖小红娘剧场版：月红篇$ccsuperwoman$2019-07-27 21:47:47$0$四星半吧 苏苏太可爱了
355$26972694$狐妖小红娘剧场版：月红篇$.Yìkěě$2021-12-03 15:19:08$0$官配冲鸭！
356$26972694$狐妖小红娘剧场版：月红篇$用户9527$2019-09-28 23:32:27$0$月红赛高
357$26972694$狐妖小红娘剧场版：月红篇$还记得那些人$2020-02-08 09:17:25$0$如果我也爱上了他 ，那么我愿意用我们相识相处的每一点记忆 ，和我的全部妖力，让我们来生再见吧 。
358$26972694$狐妖小红娘剧场版：月红篇$程小棒$2017-12-27 20:50:17$0$累了… 怎么那么多打岔的…
359$26972694$狐妖小红娘剧场版：月红篇$灬ぺо咕夌飛$2021-06-07 22:28:19$0$月红赛高
360$26972694$狐妖小红娘剧场版：月红篇$终南山$2021-09-06 21:40:14$0$很喜欢妖和人的传统设定，但结局注定不会圆满。
361$26972694$狐妖小红娘剧场版：月红篇$小扣柴扉就不开$2020-03-24 17:54:22$0$二货道士，妖仙姐姐。锁死
362$26972694$狐妖小红娘剧场版：月红篇$大眼爱新一$2023-03-30 10:59:54$0$而我已不知不觉把自己遗忘，只为你完成你那个梦想，好看啊，为月红打call
363$26972694$狐妖小红娘剧场版：月红篇$栗水流芳$2020-07-27 00:04:58$0$为他们的爱情感动
364$26972694$狐妖小红娘剧场版：月红篇$星空nxp$2018-06-18 06:43:20$0$喜欢苏苏也喜欢红红，都喜欢
365$26972694$狐妖小红娘剧场版：月红篇$长安月下$2019-05-28 20:15:48$0$红红和东方月初这一段真是让人意难平，第一虽然很喜欢苏苏，可是还是更喜欢红红，BGM可以说是点睛之笔了总之妖仙姐姐和二货道士这对cp还是很受小新宠爱的
366$26972694$狐妖小红娘剧场版：月红篇$怪怪埃阿米$2018-02-19 19:12:50$0$国漫配音真是一绝，耳朵怀孕系列之一
367$26972694$狐妖小红娘剧场版：月红篇$阿四$2020-03-10 23:50:07$0$正主cp大法好
368$26972694$狐妖小红娘剧场版：月红篇$威风凛凛白公子$2022-07-10 13:24:48$0$妥妥的姐弟恋，只不过双方画风忽大忽小，总有几次相差很大的年龄画风，让人很出镜！只是我真的不喜欢蠢货啊啊啊啊啊啊
369$26972694$狐妖小红娘剧场版：月红篇$蜻蜓的影子$2022-07-15 13:15:34$0$我喜欢这篇😭东方月初和涂山红红就是最最最配的！
370$26972694$狐妖小红娘剧场版：月红篇$鹏WXY$2020-05-24 19:16:47$0$主线剧情最多的一章，很多后续剧情中的重要人物有登场
371$26972694$狐妖小红娘剧场版：月红篇$夏木$2019-12-30 21:06:06$0$涂山红红
372$26972694$狐妖小红娘剧场版：月红篇$莘月$2022-03-30 14:11:18$0$好深情
373$26972694$狐妖小红娘剧场版：月红篇$momo$2018-03-20 11:42:24$0$“我的心早就属于你了又岂会不信你！”！！东方月初太他妈帅了吧。但是国漫的配音听着还是让人有点出戏，以及总觉得里面杂糅了一些日漫元素，像是火影里幻术啊，妖力属性，还有犬夜叉里妖族和克妖一族的纠葛。不过都是有共通性的东西相互借鉴嘛。还是很好的，加油加油！
374$26972694$狐妖小红娘剧场版：月红篇$⸜₍๑•⌔•๑₎⸝$2018-05-28 21:32:48$0$是涂山红红，不是苏苏不是妖王
375$26972694$狐妖小红娘剧场版：月红篇$1败家1$2020-09-12 15:25:12$0$二货道士
376$26972694$狐妖小红娘剧场版：月红篇$用户6704183177$2018-11-27 22:56:04$0$好看，无需理由
377$26972694$狐妖小红娘剧场版：月红篇$一只鱼呀丶$2018-06-25 15:08:14$0$女王雅雅小时候太可爱了，长大后竟然炼成一身女王范~
378$26972694$狐妖小红娘剧场版：月红篇$阈$2019-08-13 22:45:03$0$主线CP果然够虐
379$26972694$狐妖小红娘剧场版：月红篇$雪倾城$2022-05-27 15:16:59$0$"最好的一篇，没有之一。
还是主cp的感情更动人。"
380$26972694$狐妖小红娘剧场版：月红篇$力歪$2021-06-01 20:40:38$0$最好看的一篇
381$26972694$狐妖小红娘剧场版：月红篇$不用看也不用听$2018-05-12 00:29:52$0$喜欢红红。
382$26972694$狐妖小红娘剧场版：月红篇$泠泠那个泠泠$2023-02-13 21:12:39$0$我永远喜欢早期的狐妖
383$26972694$狐妖小红娘剧场版：月红篇$shore..$2018-07-11 13:16:49$0$月红，狐妖中最喜欢的cp（9.0/10）
384$26972694$狐妖小红娘剧场版：月红篇$木尧舟$2017-08-20 18:11:45$0$最喜欢东方月初和红红的虐心恋情！
385$26972694$狐妖小红娘剧场版：月红篇$角$2020-05-30 01:04:48$0$二刷
386$26972694$狐妖小红娘剧场版：月红篇$生榨椰奶冻$2017-07-29 17:12:55$0$不知彼此来世相逢，是否还能记得我是谁
387$26972694$狐妖小红娘剧场版：月红篇$小花胖胖狗$2022-07-02 19:42:02$0$最喜欢东方月初了
388$26972694$狐妖小红娘剧场版：月红篇$龟龟$2019-04-05 15:53:46$0$希望所有爱情都这么苦尽甘来，就是个人感觉有点拖
389$26972694$狐妖小红娘剧场版：月红篇$eik$2018-08-29 18:21:16$0$1,哈哈2,呵呵.
390$26972694$狐妖小红娘剧场版：月红篇$-鱼思维.$2019-07-17 16:52:12$0$画风精良，配音很好听，唯美与搞怪并行。合集看着比较舒服。
391$26972694$狐妖小红娘剧场版：月红篇$cilpnosis$2022-06-05 13:47:42$1$故事完整，最好的一对CP
392$26972694$狐妖小红娘剧场版：月红篇$ITZY-金智秀$2022-06-19 21:40:10$0$红红的手穿过月初胸膛的那一幕，我真的疯狂泪目，个人真的很喜欢这种心怀天下，有儿女情长更有家国情怀的故事
393$26972694$狐妖小红娘剧场版：月红篇$小鲸鱼想吃炸鸡🐋$2020-02-27 07:55:12$0$苏苏太可爱啦！！！
394$26972694$狐妖小红娘剧场版：月红篇$少女哪吒$2019-08-13 17:19:20$0$意难平
395$26972694$狐妖小红娘剧场版：月红篇$withallheat$2022-08-15 14:07:35$0$真的很喜欢红红awwwww 前面神秘感铺得好好后面每次铃铛一响都鸡皮疙瘩。虽然be狠绝但内心希望他俩he吧😓弹幕太会刷一些经典名句，泪腺都要被捅没了……不禁开始担心真人版了。
396$26972694$狐妖小红娘剧场版：月红篇$汤姆快吃药$2022-04-18 20:32:35$0$应该没有人会不爱月红吧！
397$26972694$狐妖小红娘剧场版：月红篇$Adsong$2017-12-20 12:29:11$0$国产动漫加油
398$26972694$狐妖小红娘剧场版：月红篇$姽娓雪落$2020-08-09 20:54:28$0$最喜欢的cp
399$26972694$狐妖小红娘剧场版：月红篇$格兰菲迪$2017-03-29 14:04:15$1$月红！！！二货道士和妖仙姐姐
400$26972694$狐妖小红娘剧场版：月红篇$自诩情深$2022-09-05 18:51:06$0$剧场版还是把单集合起来啊！
401$26972694$狐妖小红娘剧场版：月红篇$nala$2021-09-11 13:49:57$0$凭呆毛识人……
402$26972694$狐妖小红娘剧场版：月红篇$不是沙雕$2019-10-10 14:36:10$0$前世我叫你妖仙姐姐，今世你叫我道士哥哥
403$26972694$狐妖小红娘剧场版：月红篇$马思远$2018-01-17 06:43:33$0$疯狂为月红打电话！东方月初太他妈帅了！其实看完月红之后更喜欢月苏了，虽然月红是他们自己的前世，但毕竟是不同的人，月红的故事停留在以前挺好，前世我守护你的梦想，今生也一样。
404$26972694$狐妖小红娘剧场版：月红篇$Darren_Liu$2017-12-25 09:12:51$0$月红篇真好
405$26972694$狐妖小红娘剧场版：月红篇$小羊不是Melody$2019-06-15 18:00:11$0$没啥，月红篇也不虐
406$26972694$狐妖小红娘剧场版：月红篇$拾叁$2020-07-07 10:57:05$0$东方月初和涂山苏苏的前世爱情故事，粉了。
407$26972694$狐妖小红娘剧场版：月红篇$子衿$2017-08-19 20:06:02$0$我的月红啊啊啊啊
408$26972694$狐妖小红娘剧场版：月红篇$黄昏现白骨$2021-05-20 16:02:34$1$东方月初涂山红红真的绝配！强强设定，痴情生死相随。可再怎么转世都不是他们两个了。
409$26972694$狐妖小红娘剧场版：月红篇$温意$2021-07-29 01:41:19$0$好几年前看的，重新回忆起来，当时还有些感动的。可能因为那种高尚，道德巅峰的爱太完美，触动并不深
410$26972694$狐妖小红娘剧场版：月红篇$全昭妍$2022-04-13 12:33:32$0$最爱月红篇！！！
411$26972694$狐妖小红娘剧场版：月红篇$Azadshamba$2022-07-10 21:19:44$0$真的不是一般的乱啊。
412$26972694$狐妖小红娘剧场版：月红篇$Phoebe$2019-11-05 22:02:14$0$我喜欢这对主CP  
413$26972694$狐妖小红娘剧场版：月红篇$？$2020-02-16 17:04:34$0$最喜欢的一篇。
414$26972694$狐妖小红娘剧场版：月红篇$July$2018-06-23 10:38:14$0$妖仙姐姐 我想 永远和你在一起 
415$26972694$狐妖小红娘剧场版：月红篇$风吹$2020-02-04 22:06:08$0$好看
416$26972694$狐妖小红娘剧场版：月红篇$一只快乐的指针$2020-02-25 16:13:49$0$主CP好虐，而且觉得白月初有点渣，看到后面反而不是很喜欢他。红红好飒！
417$26972694$狐妖小红娘剧场版：月红篇$阳光普照$2022-03-14 02:33:37$0$月红篇系列最佳，东方月初和涂山红红前前世的部分算是本剧的“华章”，甚至是目前国漫里的古言巅峰水准。正如弹幕所言，各种“老夫的少女心”一下子就被唤醒了，卖萌耍贱热血忧郁……观众要的全都有，总有一款适合你，绝。后期反派围攻涂山的part 就有些拉垮，节奏也拖沓起来了，有注水之闲，严格来说有些拉低了月红篇的整体水平。ps:我真的对各种动漫里时而冒出的Ｑ版（萌萌哒）画风毫无抵抗力。
418$26972694$狐妖小红娘剧场版：月红篇$lalalalisa$2022-08-16 21:22:44$0$一口气看完
419$26972694$狐妖小红娘剧场版：月红篇$why baby why$2021-11-30 20:20:50$0$主灵魂cp
420$26972694$狐妖小红娘剧场版：月红篇$梦想者四夜$2020-03-15 17:00:22$0$第一部国产动漫看哭过
421$26972694$狐妖小红娘剧场版：月红篇$阿少耶$2020-06-07 22:30:01$0$剧情还蛮不错的，更新了这么久了剧情依然很紧凑，主角和配角时而正经、时而幽默的设定很有趣，但是一些地方稍微有点乱，具体怎个乱法又说不大清楚，只是这样感觉罢了。
422$26972694$狐妖小红娘剧场版：月红篇$豆友134129003$2020-02-27 12:26:29$0$东方月初和涂山红红，真虐啊……俩人为了共同的梦想，却被黑狐利用。。但我还是喜欢白月初和苏苏这对
423$26972694$狐妖小红娘剧场版：月红篇$王小波王阳明$2018-01-11 21:48:35$0$真是很不错的国漫，中国味很浓厚，情节也好
424$26972694$狐妖小红娘剧场版：月红篇$丹特丽安的诗集$2019-07-06 09:56:40$0$你的梦想就是我的
425$26972694$狐妖小红娘剧场版：月红篇$__jiujiu__$2019-12-22 12:33:24$0$速度更新才是
426$26972694$狐妖小红娘剧场版：月红篇$F in l w M$2022-09-09 00:09:57$0$还行，就是咋说呢，有点说不明白。
427$26972694$狐妖小红娘剧场版：月红篇$青舟$2019-04-25 02:35:33$0$一个我喜欢你，你惦念他的故事
428$26972694$狐妖小红娘剧场版：月红篇$.江湖骗子.$2017-05-01 04:46:36$0$好看。
429$26972694$狐妖小红娘剧场版：月红篇$白露沾我衣$2019-03-20 08:59:23$0$只为完成那个梦想，你的梦想
430$26972694$狐妖小红娘剧场版：月红篇$chainsmoker$2021-01-10 00:44:26$0$3
431$26972694$狐妖小红娘剧场版：月红篇$郭郭$2022-03-06 23:44:24$0$可算是解释了红红是怎么回事，舞台剧还是很重要的
432$26972694$狐妖小红娘剧场版：月红篇$蘇筱魚$2018-04-17 23:00:59$0$红红和东方月初被设定成这样完美的存在，不论处于愧疚和爱恨中都全力以赴地付出自己，相信彼此。不论月红还是阿宽和公主。本片描绘了一个爱情乌托邦，人类永远都活不出的样子。
433$26972694$狐妖小红娘剧场版：月红篇$简兮$2022-08-24 23:39:29$1$别说涂山上下想红红回来了，我也好想月红再续前缘啊。。不然也太遗憾了。。
434$26972694$狐妖小红娘剧场版：月红篇$yuzhenchiying$2020-03-21 13:59:28$0$月红的前世纠葛！！！前世你叫我妖仙姐姐，今生我叫你道士哥哥。年幼的雅雅真的还很萌。
435$26972694$狐妖小红娘剧场版：月红篇$许可证$2021-05-04 00:05:53$0$差了一点，确实有些用力过猛
436$26972694$狐妖小红娘剧场版：月红篇$Cavalier$2018-07-01 22:44:05$0$爱不是占有，是成全。很抱歉，没能牵住你伸出的手。
437$26972694$狐妖小红娘剧场版：月红篇$桑叶$2018-05-16 12:37:02$0$支持一下国漫，狐妖中最喜欢的故事之一
438$26972694$狐妖小红娘剧场版：月红篇$l23456789$2018-01-30 14:46:53$0$去年看过一集，实在看不下去，后来学会看弹幕了，都说坚持，后面很好看。好，坚持了过来，确实还不错呢，一口气看了73话，等更新咯
439$26972694$狐妖小红娘剧场版：月红篇$牛魔$2020-08-19 01:09:49$0$"一只妖为一个小道士付出了一生，
一个小道士为一只妖付出了百世。
前世我叫你一声妖仙姐姐，
现在你唤我一句道士哥哥。"
440$26972694$狐妖小红娘剧场版：月红篇$刀下磕糖$2021-03-19 15:18:09$0$一个以为会留，一个以为不走
441$26972694$狐妖小红娘剧场版：月红篇$半人马星$2020-03-06 12:29:10$0$我愿意呀，五十年前就愿意了。
442$26972694$狐妖小红娘剧场版：月红篇$嗅嗅$2020-06-30 23:56:55$0$这个也看了！（赶紧补标）
443$26972694$狐妖小红娘剧场版：月红篇$中野五月$2017-07-02 13:20:16$0$我的东方月初啊啊啊，心疼
444$26972694$狐妖小红娘剧场版：月红篇$寡清眠$2018-02-08 21:57:46$0$穷尽一生将杀戮踏碎。
445$26972694$狐妖小红娘剧场版：月红篇$五月雪$2020-06-20 22:06:00$1$主线CP太虐了，而且他们的爱在其他面前也更显得崇高，手穿胸膛那里印象深刻。
446$26972694$狐妖小红娘剧场版：月红篇$海绵阿公$2021-03-06 21:38:22$0$直到这个时候剧情才进入正轨，前面真的太拖沓了。但不得不说前世的剧情我更感兴趣。
447$26972694$狐妖小红娘剧场版：月红篇$飞利浦$2021-07-08 19:39:40$0$是最优秀的一篇
448$26972694$狐妖小红娘剧场版：月红篇$肆九×肆九$2018-01-07 23:25:11$0$剧情总在回忆 所以我没看懂？
449$26972694$狐妖小红娘剧场版：月红篇$喜欢追新番的我$2020-09-03 16:59:43$0$看的好扎心
450$26972694$狐妖小红娘剧场版：月红篇$momo$2021-07-22 19:51:15$0$好爱月红！
451$26972694$狐妖小红娘剧场版：月红篇$考试必过$2019-10-18 09:03:20$0$超喜欢啊啊啊啊我的狐妖小红娘
452$26972694$狐妖小红娘剧场版：月红篇$睡不醒的猫$2018-02-18 16:58:26$0$狐妖小红娘，一直在追的一部国漫，每个篇章的爱情故事都让人感到爱情的伟大力量，有一种心动的感觉......(啥时候我的爱情会来临呢.....)
453$26972694$狐妖小红娘剧场版：月红篇$Piki$2023-03-17 22:09:55$0$补标记，估计大结局才能在一起
454$26972694$狐妖小红娘剧场版：月红篇$华锐在逃甜心$2020-12-20 20:01:55$0$月红真的哭了哇😭😭命中注定的爱情
455$26972694$狐妖小红娘剧场版：月红篇$夏天$2018-05-21 12:17:47$0$最喜欢的一对cp啊。
456$26972694$狐妖小红娘剧场版：月红篇$酒鬼一家小迷妹$2019-03-29 21:23:19$0$红红真的又御又美，这是什么神仙姐姐，嫉妒东方月初了。大爱月红啊！
457$26972694$狐妖小红娘剧场版：月红篇$michaelz$2020-01-10 23:39:29$0$时间线太乱了，完全没必要
458$26972694$狐妖小红娘剧场版：月红篇$ssr不见岳$2021-08-11 16:36:13$0$东方月初是个美人
459$26972694$狐妖小红娘剧场版：月红篇$ph$2017-04-03 00:13:54$0$真的特别特别特别特别特别特别喜欢姐控！(*´∀`*)东方月初真的可爱
460$26972694$狐妖小红娘剧场版：月红篇$软鱼$2022-01-06 21:57:54$0$老是让我哭！
461$26972694$狐妖小红娘剧场版：月红篇$dclvqdg$2019-05-29 17:14:40$0$只为完成你心中的梦想
462$26972694$狐妖小红娘剧场版：月红篇$晚安哇$2019-11-12 19:20:56$0$等更新
463$26972694$狐妖小红娘剧场版：月红篇$放飞鸽子精$2020-09-10 02:23:46$0$莫的感情
464$26972694$狐妖小红娘剧场版：月红篇$任意潇$2021-11-15 07:24:28$0$喜欢东方月初和涂山红红的感情线和人设。
465$26972694$狐妖小红娘剧场版：月红篇$香菇妞儿$2021-04-11 23:07:28$0$月红篇真的是太好看了！
466$26972694$狐妖小红娘剧场版：月红篇$修女摸鱼$2020-04-08 08:19:49$0$这一世换你叫我道士哥哥了
467$26972694$狐妖小红娘剧场版：月红篇$社畜黑化版$2020-02-28 12:04:36$0$哦
468$26972694$狐妖小红娘剧场版：月红篇$幸遇你$2020-07-27 01:00:41$0$恶心 fs恶心女主角恶心
469$26972694$狐妖小红娘剧场版：月红篇$人生最美是清欢$2021-08-06 17:32:15$0$红红声音很好听，姐弟恋，就是略有瑕疵，产生感情的过程没有，明明东方月初跟雅雅呆的时间最长来着
470$26972694$狐妖小红娘剧场版：月红篇$傻蛋小魔王$2018-11-17 18:13:14$0$狐妖小红娘第三篇。非常厉害的剧情和渲染，感染力很强，一口气看完的。瑕疵就是感觉既然这是月红篇，何必讲两个爱情故事，把北山妖帝的故事也放进来呢？不如把月红的部分讲好。
471$26972694$狐妖小红娘剧场版：月红篇$YYY很萌$2018-02-27 13:22:48$0$道士+姐姐
472$26972694$狐妖小红娘剧场版：月红篇$来信砍$2020-02-28 01:27:09$0$哔站有片源
473$26972694$狐妖小红娘剧场版：月红篇$千机$2020-04-26 14:20:28$0$看哭我的是北山妖帝和公主
474$26972694$狐妖小红娘剧场版：月红篇$不忘初心$2017-07-03 07:56:19$0$前世我叫你妖仙姐姐，今世你叫我道士哥哥！
475$26972694$狐妖小红娘剧场版：月红篇$GOASE$2022-06-25 09:28:10$1$"你这个把一生都搭在我身上的人，为了我，离开涂山！为了我，扬名立万！为了我，全力阻止人妖间的厮杀！就为了一个当年心中，容不下你的我。苦情巨树啊，你听见了吗，如果我也已经爱上了他，我愿意用我们相识的一点一滴的记忆以及我的全部妖力来起誓，让我们来生相见吧！——涂山红红
我把一辈子压在那个赌注上，可喜的是，我赌赢了。——东方月初"
476$26972694$狐妖小红娘剧场版：月红篇$crimea$2021-12-19 17:14:42$0$红红和二货道士还有机会一起吗，苏苏和道士哥哥也舍不得，纠结
477$26972694$狐妖小红娘剧场版：月红篇$蔚夕$2020-01-05 13:11:31$0$苏苏很萌啊～
478$26972694$狐妖小红娘剧场版：月红篇$米$2018-06-18 05:27:35$0$不错
479$26972694$狐妖小红娘剧场版：月红篇$莫言苍穹$2018-06-25 16:46:24$0$涂山之王…
480$26972694$狐妖小红娘剧场版：月红篇$Natsuffy$2019-03-17 20:59:46$0$这一对啊虐啊真希望月红和白苏都能好好的
481$26972694$狐妖小红娘剧场版：月红篇$神秘靓仔$2019-07-14 17:16:49$0$8
482$26972694$狐妖小红娘剧场版：月红篇$悬崖边有一只鹿$2019-01-01 20:39:41$0$最喜欢月红篇了
483$26972694$狐妖小红娘剧场版：月红篇$你那么温柔i$2021-05-02 22:39:37$0$月红篇真的太棒啦
484$26972694$狐妖小红娘剧场版：月红篇$随云$2021-03-28 19:28:44$0$私心月红，毫无疑问。
485$26972694$狐妖小红娘剧场版：月红篇$平芜$2020-12-05 22:43:25$0$可能是近几年追过的国漫里，最喜欢的女性角色之一吧，当然啦第一肯定是宝儿姐。
486$26972694$狐妖小红娘剧场版：月红篇$朋也$2017-05-31 21:26:23$0$"我把一辈子压在这个赌注上，可喜的是，我赌赢了

"
487$26972694$狐妖小红娘剧场版：月红篇$薛定唠的猫$2022-05-15 18:21:19$0$补分
488$26972694$狐妖小红娘剧场版：月红篇$我是京言$2020-03-08 13:26:04$0$两人都太牛逼了
489$26972694$狐妖小红娘剧场版：月红篇$...$2022-05-26 23:10:50$0$be...
490$26972694$狐妖小红娘剧场版：月红篇$记得多读书$2018-03-02 11:02:34$0$最喜欢的月红❤️
491$26972694$狐妖小红娘剧场版：月红篇$银白色的守护神$2021-04-20 22:12:08$0$好喜欢结尾！红红和东方月初、苏苏和白月初，两对我都喜欢！
492$26972694$狐妖小红娘剧场版：月红篇$EW$2019-03-04 18:22:53$0$【玖】
493$26972694$狐妖小红娘剧场版：月红篇$居里安安ii☔$2019-05-08 19:45:31$0$好看
494$26972694$狐妖小红娘剧场版：月红篇$hippo$2018-07-17 21:45:50$0$好看！
495$26972694$狐妖小红娘剧场版：月红篇$哈皮小狗$2021-12-08 17:58:44$0$命运般的月红，可是月苏又该何去何从😢
496$26972694$狐妖小红娘剧场版：月红篇$小点点的大白白$2022-06-13 19:35:08$1$最喜欢月红篇了
497$26972694$狐妖小红娘剧场版：月红篇$momo$2018-12-18 15:55:20$0$补分
498$26972694$狐妖小红娘剧场版：月红篇$姗姗来迟$2021-11-24 14:19:02$0$超级喜欢
499$26972694$狐妖小红娘剧场版：月红篇$螃蟹先生$2021-07-18 15:30:40$0$最爱的版本
500$26972694$狐妖小红娘剧场版：月红篇$momo$2018-07-11 17:54:42$0$看了一下午(⁎⁍̴̛ᴗ⁍̴̛⁎)
501$26972694$狐妖小红娘剧场版：月红篇$小小鱼儿$2021-03-03 16:52:35$0$我要和妖仙姐姐永远在一起
502$26972694$狐妖小红娘剧场版：月红篇$芋泥汤圆崽$2018-01-02 18:57:27$1$我乖 我不出声 你回来 好吗 泪目
503$26972694$狐妖小红娘剧场版：月红篇$寒天$2021-03-25 21:25:34$0$说实话，我觉得太墨迹了，这么长时间都没说明白前世的事情，我不知道是漫画还是有什么别的，反正我是单看动漫，我是感觉叙事太弱了。
504$26972694$狐妖小红娘剧场版：月红篇$烟直日圆$2018-03-18 20:35:02$0$"说是月红篇~然而根本没有结束~留下一堆伏笔~真正算单元剧的只是石宽和公主啊~~
但是为啥看到月红在一起，就是很顺眼呢~~"
505$26972694$狐妖小红娘剧场版：月红篇$Cher琦$2018-08-15 09:03:54$0$借用网易音乐的一个短评：国漫不需要崛起，国漫需要的只是王者归来。
506$26972694$狐妖小红娘剧场版：月红篇$十月$2017-03-20 19:44:30$1$还是挺不错的。
507$26972694$狐妖小红娘剧场版：月红篇$小确幸$2017-05-08 21:38:10$0$今生你送我狐妖姐姐，来世我还你道士哥哥
508$26972694$狐妖小红娘剧场版：月红篇$库洛米爱喝水$2023-02-16 00:45:31$0$大爱
509$26972694$狐妖小红娘剧场版：月红篇$东风抚西柚$2020-05-09 08:45:41$0$超级喜欢的一对cp，也超级意难平。二货道士和妖仙姐姐，小蠢货和道士哥哥……
510$26972694$狐妖小红娘剧场版：月红篇$墨笙$2023-02-18 08:41:59$0$你别说你真别说，拍得真好！
511$26972694$狐妖小红娘剧场版：月红篇$橘子公路$2022-01-29 18:56:09$0$很努力了。
512$26972694$狐妖小红娘剧场版：月红篇$南歌子$2017-08-21 08:36:36$0$我觉得这篇就是小正太和美女姐姐的故事。
513$26972694$狐妖小红娘剧场版：月红篇$💦$2023-01-04 23:51:07$0$超好看，但是估计明年会体现的更好看，因为出漫改了……
514$26972694$狐妖小红娘剧场版：月红篇$涪川$2021-11-26 16:14:48$0$8.3
515$26972694$狐妖小红娘剧场版：月红篇$柠檬汁$2018-10-15 23:12:42$1$“不知彼此来世相逢，是否还能记得我是谁”他们的爱情，那一世很凄美。
516$26972694$狐妖小红娘剧场版：月红篇$呦呦鹿鸣$2018-08-13 01:34:50$1$这是在此动漫中不多的男女主角都喜欢的剧场版。超级喜欢东方月初和涂山红红的故事，虽是人妖之恋，但更能体现出那一段很美好纯粹的爱情。更是表白杰大配音的东方月初，那种可爱不羁真的让人十分惊艳，欲罢不能～
517$26972694$狐妖小红娘剧场版：月红篇$圣母院在逃圣母$2021-02-26 01:07:17$0$感觉故事线不太完整，月红😭😭
518$26972694$狐妖小红娘剧场版：月红篇$Roseeeyx💫$2022-12-30 20:02:50$0$东方月初人设真的近几年最时髦，传统的从小爱到大爱而成长的，手握最强技能但不着调的bking永远的天菜。就是蟑螂须实在有点搞笑
519$26972694$狐妖小红娘剧场版：月红篇$一袋大侠$2022-08-25 07:09:08$1$月红😭我的月红……居然就要被真人版玷污了。不能接受涂山红红的名字跟那张脸关联上，她不是我心中的红红😭
520$26972694$狐妖小红娘剧场版：月红篇$梨花吖$2022-05-22 14:04:59$0$好喜欢苏苏！
521$26972694$狐妖小红娘剧场版：月红篇$尢尢$2017-12-01 14:38:20$0$墙裂推荐的国产动画片！！！从出的时候一直追到现在！！！漫画也一直在跟！！！炒鸡好看！！！
