$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$3037329$遥望南方的童年$窗边的小豆豆$2019-08-13 21:05:29$1210$这个片子，我想打一万分。推荐所有人去看。如果以后等我退休后 中国还是有这样的地方 我会考虑去；如果是成为坐拥财富者，我一定要去建学校。实际上大学时代支教过两次，当时环境不比片中好 甚至当时一个地方连电和水都不同。这也就是十多年前的事情 历历在目，有一个当时只有四岁的小朋友一直和我保持联络到现在。这片子让我回忆起很多那时候的时光，特别感动，片中这老师太值得倾佩。虽然我拿我们这些博士的学术成果对社会的贡献来比较他的教书育人对社会的贡献是不妥帖甚至是无法比较的，但是我的确深感我自己对社会的贡献还远不及他的九牛一毛，尽管他连普通话都说不标准，但这却更显示出来了这位老师的高尚之处。感谢大象放映室让我了解到这部片子。
1$3037329$遥望南方的童年$局外人psy$2018-12-23 22:55:36$349$真实到可怕，这就是我的童年，这就是农村教育现状。
226$3037329$遥望南方的童年$我爱阳光$2019-09-30 21:30:48$2$太真实了，很打动人。
227$3037329$遥望南方的童年$Neutralization$2023-02-07 02:21:09$0$温情又悲哀，伟大而绝望，现代化进程中，只见楼顶贵戚交杯笑，谁见楼下贫民哭长冬。大国的自吹自擂之下，无数人迷失在了钢铁丛林。我倒宁愿这个纪录片是假的。
228$3037329$遥望南方的童年$S.Selina$2018-10-05 20:11:13$0$可以引发很多讨论....
229$3037329$遥望南方的童年$梧桐$2023-02-19 18:59:54$0$易志兵长得很像我一大学同学
230$3037329$遥望南方的童年$evening77$2020-12-20 17:28:27$0$那些说每年引进黑人垃圾的东西，那些说每年给留学生十万块不算多的专家，赶快出来给爷爬！看看咱们自己的农村孩子都被逼成了啥样子，看看咱们自己的山区不富裕地区都是些啥教育程度，还跟着喊什么黑命贵，他们贵不贵在天朝先放一边，天朝自己的孩子呢？留守儿童就算了，配套教育也不奢望了，至少给个正常点的童年吧，还没成年就给孩子们都灌输出去打工的思想，连基础教育都缺失了，还怎么谈进步怎么谈发展~天朝的教育和医疗啥的居然改革成产业化就是赚黑心钱，产业化就是要赚钱，教育从哪里赚钱？家长！医疗从哪里赚钱？病人！你改革个屁啊越改越糊~
231$3037329$遥望南方的童年$洛梦蝶$2021-09-15 18:36:20$0$由于使用大量非职业演员，无论是因为调度的难度，还是为了更少的干预使表演更流畅，因此几乎完全使用冷门的官话方言，大量中远景的广角镜头，特写极少，因此在视听语言的运用和电影本体的质素上，都有一种习作般的粗糙感，连电视电影的水平都达不到。但是另一方面，在城市化和现代化过程中，农村空心化造成的非老即幼的现状，留守儿童的成长教育问题、农村办学的不易等等这些农民工的后顾之忧，甚至包括在城市中面对更多选择的农村年轻人所面临的迷惘，等等这些社会议题的表达，其社会意义远远超过一大票只有娱乐属性，甚至连娱乐性都未必具备的商业电影，像易老师这样拥有朴素的教书育人的理想信念，对孩子们有着超出他本应承担的善良和责任，在入不敷出的现状下毅然决然坚持下去的坚韧，都是一种能够深深感染人的人性的光辉。
232$3037329$遥望南方的童年$weiviva$2022-02-13 21:54:32$1$粗燥缺少电影质感，使用当地非专业演员，所体现出的真实是无可比拟的！贫穷农村一代一代的留守儿童，是孩子的痛，也是大人的痛！女人辛辛苦苦打工，帮男人还了债，盖了村里最好的房子。回来才发现，男人外遇，女儿喊不出妈妈…爸爸妈妈他们在哪？在遥远的南方！最后连婴儿都不要的，也是日了狗了！ 但话有说回来，父母天天吵架守着一个孩子，孩子也不见得幸福不是？
233$3037329$遥望南方的童年$之晨$2020-06-13 12:35:31$6$"8.0
愿板车驶过山路载满欢声笑语
愿纯真的泪水凝结成露珠
愿劳作的汗水都洒向草籽稻苗
愿课堂上稚气的童音比黄鹂更响亮
愿碗里盛满果蔬肉蛋米粒饱满
愿滑滑梯溜走孤单时光
愿日子都如歌词所唱夜晚再黑太阳一定就快出现
愿南方的尽头只是村口的山头
愿深圳就是孩子们手中的玩具"
234$3037329$遥望南方的童年$壹淼淼兮$2020-05-02 17:56:29$0$既感动又心酸!
235$3037329$遥望南方的童年$悟空$2020-04-30 10:36:14$0$伯伯，我爸爸在哪？在深圳。深圳在哪？在南方。南方在哪？南方在……你看山那边就是了。在小朋友的心目中，南方遥远，无边，无际。2020.04.30.Z
236$3037329$遥望南方的童年$momo$2021-07-10 07:39:40$0$足够真实足够粗粝足够朴素，现实意义很强，但主要情节转变生硬摸不着头脑
237$3037329$遥望南方的童年$不倒翁$2022-08-07 14:53:05$0$"纪录片既视感，真实到令人忍不住想哭。
日本有《再见我们的幼儿园》，我们有《遥望南方的童年》"
238$3037329$遥望南方的童年$加菲$2022-05-23 01:31:58$0$高尚是高尚者的墓志铭。
239$3037329$遥望南方的童年$邹寞了$2022-04-18 12:37:59$0$好真实
240$3037329$遥望南方的童年$梦游的鱼$2019-04-13 11:54:59$1$讲述凋敝的农村，和这环境下的孩子。就是因为用的当地农村的非职业演员，才能把生活细节演得如此真挚动人吧。江西宜春真人真事改编，然后用的主演也是真人本人。虽然隔了两个市，但听起来看起来还是有种熟悉的味道。
241$3037329$遥望南方的童年$美琪那$2019-11-13 19:27:02$0$牛逼
242$3037329$遥望南方的童年$贝洛奥里藏特$2019-10-10 03:44:18$3$电影还是温暖的，细思极恐的是中国有无数个村镇是这样的情况。然而有启明星，有易老师的地方却凤毛麟角。
243$3037329$遥望南方的童年$TimmyConnor$2022-09-01 23:57:07$0$穷人的孩子早当家，山沟沟里的孩子也许从小就是留守儿童，被迫得学会提前长大。父母的出走也许也是迫于无奈，不努力挣钱怎么支撑起他们的小孩走出大山的梦想呢？做好事有可能需要极大的付出时间和金钱，同时还需要非常充沛的精力，去尽可能的灌溉每个孩子的未来梦想。谁也不知道她们日复一日的盼望是否有意义，也许他们能等来自己想要的，也许他们就已经在时光蹉跎中莫名长大了，生活啊真是一言难尽呢。
244$3037329$遥望南方的童年$瓦嘉达$2020-12-21 07:23:32$0$这样一部沉痛的电影，如果只是引起观众对“韧性”“善良”的赞美，那就太可悲了。不要赞美痛苦，要去改变、终止，更要明白靠gov根本无济于事的时候，要自己去行动。
245$3037329$遥望南方的童年$无影不欢$2022-03-31 19:44:55$0$也叫遥远南方的童年，反应了中国农村比较真实的一面，老师的品德才是现代教育应该推崇的
246$3037329$遥望南方的童年$破碎破碎的玻璃$2019-09-01 13:15:32$4$真的是一部简单朴实的农村电影，所有的演员都是非专业的人员本色出演，易老师真的是很正直善良的人，师母也是刀子嘴豆腐心的一个人，村名里有好吃懒做游手好闲不务正业的人，也有善良朴实敢说真话的，真的就是农村的真实写照，盲眼婆婆最后嘱咐坨坨的那句：崽崽，别玩水哦。真的让我一眼泪目，想起我奶奶跟在小侄女后面说：彤彤，不要到塘边啊，不要到井边啊。真的是不能不动容。真是一部好电影。
247$3037329$遥望南方的童年$红辣椒$2019-08-31 10:22:27$0$人有时候会不会被崇高绑架？留守儿童遥望在南方打工的父母，易老师的幼儿园成了亏本的托儿所
248$3037329$遥望南方的童年$应小么$2022-01-02 13:13:39$0$南方是珠三角吧，深圳好多江西人。
249$3037329$遥望南方的童年$giogio$2022-10-30 17:31:57$5$1000元的票房，五星的价值，告诉我们电影的另一种价值，电影不仅仅是娱乐和票房，还有人文关怀/责任/使命。这种电影能让我们对教育动容，对教育感同身受，甚至于想为教育付出更多。
250$3037329$遥望南方的童年$童书小读伴$2020-05-17 15:24:06$1$好的艺术，源于生活，高于生活。
251$3037329$遥望南方的童年$珈士$2022-11-05 06:03:07$0$剧中就是我印象中的童年和农村，我小时候没有幼儿园，也算半个留守儿童。
252$3037329$遥望南方的童年$友荣$2022-12-25 00:20:00$0$千言万语也说不出，只有感动和感慨
253$3037329$遥望南方的童年$Neski.$2018-12-29 10:22:58$4$看了这部电影才突然意识到大部分电影是如此戏剧化，表演是如此夸大化，真实的生活应该像这部电影的表演
254$3037329$遥望南方的童年$裸吻鱼🍭$2019-10-03 21:08:04$0$143/365 真是感人，但更多的是希望教育体质越来越完善，不再需要象电影里老师这么辛苦。
255$3037329$遥望南方的童年$柏拉图的理想国$2022-09-24 22:39:44$0$坨坨坐在树下的时候，我哭崩了。没有父母陪伴的农村娃，真的太辛苦，我曾经一度觉得孩子送回老家读书没问题，现在才觉得父母不懂事。
256$3037329$遥望南方的童年$尤里卡$2021-02-21 22:38:01$1$"真实的中国，远比真实更真实；现实的乡村，远比现实更现实。中西部地区的乡村，存在着太多生存艰难的实证与人间苦难的症候。青年人远走他乡，打工挣钱，家乡成为了遥遥相望的心灵彼岸，而以深圳为代表的南方是财富聚集之地，是养家糊口的指征。悲哀的是，他们留不下也回不去，在此岸与此岸之间希望又绝望，沉默又喧嚣。
被抛下的，是留守儿童与孤寡老人，他们是社会上最为典型的两类弱势群体，却不得不相互扶持，甚至擦干彼此的眼泪，长大又变老，默默盼望着农历新年的到来，那是亲人回来的日子。 
《遥望南方的童年》中的孩子是幸运的，他们有一个善良的易老师，可以教他们唱小白菜，可以给他们讲小马过河，甚至可以充当父亲的角色。被这部电影深深地打动，不仅因为它朴实无华，饱含深情，还因为它唤醒了在我记忆深处沉睡已久的童年往事。"
257$3037329$遥望南方的童年$呕吐的女尸$2020-01-28 13:22:52$0$"导演是有良心有担当有责任的文艺工作者。
十三年后的今天，导演提出的问题依然没有解决，这些可爱的孩子，依然极少能找到出路。希望国家的扶持力度能够大一点再大一点，希望他们的生活也有希望，希望他们的未来有无数的可能。"
258$3037329$遥望南方的童年$土土的包子$2020-03-22 11:38:28$0$"于无声处听惊雷。
老屋，古桥，青山，金田，构成了一幅绝美的中国乡村画面。河水也慵懒的像静止了一般，直如一条不动的玉带。而在这水面之下，确是有多少汹涌的暗流啊。
坨坨第一次进幼儿园吃饭，吃了四碗还不饱。和别的孩子一样，他的父母也都在外打工。秀秀的妈妈哭着说，打工两年回来十多天，孩子连一句妈妈都不肯叫，老公又和别的女人好上了。这是造了什么孽啊。
我在想，数以万计的打工者和这些留守儿童的悲剧，到底是什么人造了什么孽啊。
片子最后，一行字幕说被依法关停的由善良的易老师办的幼儿园在几个月后重新开业了，孩子由15名增加到27名。眼泪就流了下来，还记得小时候爷爷去世的时候大人们对我说，爷爷只是去了天堂。可，我现在长大了。"
259$3037329$遥望南方的童年$seethesun$2020-10-22 11:15:55$1$"这些小朋友 长大后 回想自己的童年 在童年里 陪伴他们的身影 不是自己的父母 而是这两们可敬的幼儿园老师
幼儿园入不敷出 又没有相关资质 相关机构就不让他们开办了 正好借着这个机会把幼儿园关了 可是在送孩子们回家时 他看到的 一个 砣砣 一个秀秀 砣砣的婆婆，眼睛都看不到了，自己孤苦一个人 怎么照顾砣砣  易老师就又把砣砣带走了 秀秀 父母离婚了 父亲去打工 大伯家 伯母不想管她 关上门她自己坐在门口坐着  易老师也带上了她 但凡有一点办法 我觉得 也没人能舍弃幼子和老父母吧
物质真的很重要吗  或许吧  但是孩子们的童年  也只有一个啊"
260$3037329$遥望南方的童年$九莉$2022-03-26 01:24:29$0$我想说糟蹋了，但又恐惧于一种ZZ正确的压迫…怎么说呢，希望导演真的出于情怀，而不是某种投机取巧心理下的粗制滥造糊弄了事～理想是美好的，现实是残酷的，作为一个没上过幼儿园，被老师带着同学一起孤立的留守儿童来说，我到现在都不会想回去看看。的确是不断去治愈童年，但希望会有人真的愿意并且有能力去保护童年。
261$3037329$遥望南方的童年$一捧寒心$2022-04-02 23:22:25$0$这哪里是电影，这分明就是纪录片。让人绝望，易老师才显得那么伟岸！
262$3037329$遥望南方的童年$黄岛$2020-07-23 23:07:41$3$第2284-绝对被低估。不说拍摄技巧和艺术造诣这些，只说真实情感的感染度，已经达到很高水准。
263$3037329$遥望南方的童年$黄杉$2020-12-20 22:38:55$0$要不是不得已，谁会离开自己的孩子~
264$3037329$遥望南方的童年$胡晓晨$2023-01-28 09:14:48$0$中国现实主义题材总是充满了粗砺和自我感动，不过叙事的节奏还不错。
265$3037329$遥望南方的童年$黄人王中王$2020-01-28 23:43:35$0$时代发展洪流中的个体是多么渺小…一个老男人看的老泪横流…
266$3037329$遥望南方的童年$奈何人是剧中人$2020-10-11 22:53:18$0$以为是部青春片没想到是部教育片，片中的山村虽然艰难，还好大多人心向善，就连唯一唱反调的老牌友也能在坨坨不见时慌忙寻找
267$3037329$遥望南方的童年$炒粉$2019-10-27 17:44:14$0$太真实了！！！看完心里涩涩的，想到偏远乡村和城市更加割裂的现实，有种说不出来的感觉。看完这部电影，真的由心底开始尊重乡村教师这样一份职业，深圳有30万聘教师，好在乡村教师的工资也听闻有在提高了不少。
268$3037329$遥望南方的童年$老罗$2019-10-20 16:19:17$0$7分，好人好事。
269$3037329$遥望南方的童年$夜零人$2021-01-01 21:58:45$1$对于一个小孩子来说，有爸爸妈妈的地方就是家，所以留守儿童才是真正离家的那个。
270$3037329$遥望南方的童年$晚安$2021-04-14 10:28:42$2$论叙事只想给两星，感觉这不是剧本，直接拿素材大致拼凑串联一个故事，多一星给主题和意义吧。
271$3037329$遥望南方的童年$gfjdwsg$2021-09-17 23:54:34$3$这是电影吗？这是纪录片吗？这是中国乡村教育的真是现状！如果有来生，我要当一名教师！
272$3037329$遥望南方的童年$七斤六$2019-08-23 23:34:16$1$我需要十篇霸道总裁爱上我的脑残文才可以救回来😭
273$3037329$遥望南方的童年$橙曦羽潞$2020-04-08 19:49:51$0$向边远地区的基层教育工作者致敬
274$3037329$遥望南方的童年$Young_To$2021-08-11 12:34:47$0$07年的片子 故事却仍然是正在进行时 好多想讨论的点 但是又不知道从何说起
275$3037329$遥望南方的童年$我爹$2019-12-23 23:43:03$1$从这影片我看到了农村的无奈和中国屹立不倒的精神。
276$3037329$遥望南方的童年$Echo$2019-12-03 00:23:19$1$看了大象放映室的介绍后去找来原片看，结果，虽然用方言很好很写实，但是抱歉，观感而言扣一星。
277$3037329$遥望南方的童年$这是一碗麦面$2021-03-06 23:51:46$0$我们脚下这片土地的旋律。
278$3037329$遥望南方的童年$路内$2019-08-25 01:36:03$2$生在江西才知道江西人民有多么勤劳，更有着多么的无奈
279$3037329$遥望南方的童年$凌波$2021-09-18 13:09:28$0$大笔一挥给外国留学生超国民待遇的官老爷们应该看看中国农村自己子民的穷苦。
280$3037329$遥望南方的童年$Vivien$2021-10-06 16:43:58$0$挺好的~
281$3037329$遥望南方的童年$傅尸水$2020-02-05 19:40:55$0$这也演的太好了
282$3037329$遥望南方的童年$鲜藕大王$2022-03-10 10:24:11$0$读了师范又回村里搞教育的易老师固然伟大，但微薄收入远比不上去深圳打工的同乡们也是事实，显然，读书已经不是急于改善生活现状村民们的最佳选择了，留守儿童只会成为下一批年轻的进城务工人员…
283$3037329$遥望南方的童年$Dexter S$2019-08-18 13:48:26$0$哭成傻逼了
284$3037329$遥望南方的童年$丙火$2022-02-19 19:51:22$0$"用非专业演员加专业导演出来的作品反而易获成功，高分评价的好几部电影已经得到明证。
       较难指导演戏的儿童们在此部电影中表现都很不错，影片较真实的反映了留守儿童落后农村的面貌，它是中国中西部广大农村的缩影，它是时代的产物，文化作品的工作就是客观叙述它，因此得到文学性，让人对其认识深刻从而深思。
       影片片尾开始的鼓声配乐赋予影片震撼的效应，它随着向南绵延的群山而不断绵延，激起阵阵心声涟漪，荡漾开来，负载群生。"
285$3037329$遥望南方的童年$魏神陌那$2019-12-16 03:53:59$0$我天太真实，孩子们的眼神实实在在就是留守儿童的眼神……宜春真人真事改变，当地村民参演，完全可以当纪录片来看。
286$3037329$遥望南方的童年$烤鱼君$2019-10-04 18:51:53$2$喜欢的点：想参加超级女声在树下唱跳不怕不怕的李响；娶妻-生子-打工-留守-孤寡老人的全记录散落在全片各个角落各个人物身上
287$3037329$遥望南方的童年$啸杨$2019-04-01 20:07:47$2$"孩子的电影不好拍。立意也好，导演拍的也很冷静，农村的人性刻画真实点到为止。难得的好电影！
两口子真是操碎了心，办个幼儿园得帮人带孩子，得帮人家断离婚官司，村里人的生活写照，朴实的镜头，摄影原来是孙田。"
288$3037329$遥望南方的童年$SnowDean$2019-08-22 02:11:17$8$真的感谢B站up主让我知道这个真实的令人心碎的故事。哭的停不下来
289$3037329$遥望南方的童年$悟空是江湖骗子$2021-06-05 02:05:18$0$"关于留守儿童，关于乡村教育。
真人真事改编，更加能够打动人。
易老师很善良  质朴。
希望好人有好报。
希望全民脱贫小康，老人不会因没有条件看病而什么都看不到"
290$3037329$遥望南方的童年$dreaming$2020-09-14 00:12:07$0$有更多的孩子值得我们的关注
291$3037329$遥望南方的童年$咫尺天涯$2020-10-16 13:42:43$0$//有的人却要用一生来治愈童年……
292$3037329$遥望南方的童年$气垫梳子$2022-07-12 15:46:26$0$乡村
293$3037329$遥望南方的童年$橘子小aa$2021-07-09 14:13:19$0$"●9.5分
●2021.7.09
●第一心情:难受。第二心情:果然还有如此默默无闻的好电影。第三心情:不够啊，为什么没有续集，或者干脆拍电视剧。
第一次上课，一堆小孩子坐在人力校车上，东张西望，太可爱了。坨坨又机灵又可爱。哎，易老师，《山海情》的白老师，《乡村教师》的李老师……就是这无数人，在我脑中心里和自私的基因在斗争。
农村留守儿童，曾经我也是。"
294$3037329$遥望南方的童年$wil-saving$2022-10-04 15:22:00$1$好人一生平安
295$3037329$遥望南方的童年$海王星北$2020-06-11 13:37:05$0$电影还不错，直击心灵，就是画面啥的差强人意，导演水平不行，在加工下，斟酌下，也许就是旷世之作。或许他自己也没想拍成完美的吧，只是为了拍一部电影而拍，以伪纪录片的形式拍摄的手法，场面想当然的了。资金不足？
296$3037329$遥望南方的童年$易何$2019-06-14 18:56:54$1$我老家的电影。
297$3037329$遥望南方的童年$豆友169595240$2021-04-06 00:09:20$0$我要你在这寡淡的世上，深情地活
298$3037329$遥望南方的童年$Tao$2021-06-27 01:05:34$0$补标
299$3037329$遥望南方的童年$未见如醉$2020-04-29 18:14:14$0$我不喜欢结局，他太虚无，
300$3037329$遥望南方的童年$等待戈多$2019-10-07 22:27:38$0$电影中不仅讲述了悲惨而开朗的儿童，还有实现梦想渺茫的少年，迷茫的青年，怀有激情却被现实打败的中年，无依的老年和整个落寞的村庄。电影中无处不体现出导演浓浓的乡愁，我们则欣慰的是那些苦涩艰难的日子逐渐离我们远去，很难想象都是非专业演员演绎出来的纯朴自然的感觉，哪些幼儿园里的小朋友真的是太可爱了！
301$3037329$遥望南方的童年$7cheer7$2020-07-10 20:50:43$0$江西宜春一个村里的现状，父母在外打工，小孩上学是个问题，愿早日实现教育平等问题
302$3037329$遥望南方的童年$封辰$2022-12-07 22:55:23$0$小孩还是很可爱的，就是有些父母过于操蛋。启明幼儿园没有办学资质，遥想当时三原色幼儿园，两者形成鲜明对比。农村学校也渐渐倒闭，所有资源都向城镇倾斜，催着一波又一波人掏空六个钱包，买房换学位，终归是农村承担了所有，而日渐凋敝荒芜
303$3037329$遥望南方的童年$宝井伶$2020-02-26 13:54:24$10$山里孩子的心里装着一座城，城里打工的父母们背着一座山。
304$3037329$遥望南方的童年$是心$2020-01-12 10:01:50$0$电影粗粝，但是有一种触目惊心的真实。
305$3037329$遥望南方的童年$郭大侠$2020-03-18 23:52:30$0$2020年是中国消灭绝对贫困的最后一年，希望贫穷和愚昧更少的发生在这片隐忍的大地上。
306$3037329$遥望南方的童年$一颗苹果$2020-06-17 13:58:46$0$视听语言很朴素，一眼看去就是农村的色彩和光线。丢孩子、离婚、停办之类的戏剧冲突排队出现，没有太多的感情渲染，导演好似抽离戏剧张力反而这样平铺直叙。
307$3037329$遥望南方的童年$海雅的谷慕$2023-01-04 17:16:43$0$守在树下天真烂漫，接起无助的孩子指着南方深圳的方向，要记得那是你的妈妈啊。
308$3037329$遥望南方的童年$花生騷$2021-02-10 19:21:11$0$很纪录片的风格，关注的是中国改革开放后农村留守儿童的现实问题，同时凸显出当地政府在某些配套工程上的措手不及。对于时代来说，这是不可避免的阵痛。
309$3037329$遥望南方的童年$狼狈相骑士$2021-11-07 14:32:31$0$很是质朴的一部电影
310$3037329$遥望南方的童年$Love紫$2022-01-04 13:44:59$0$"孤寡老人，留守儿童，农村没落，好人难当。
剧中有两个疑点，坨坨出场时不是有一个年轻一点的婆婆和未婚小伙子，怎么送回去就只剩下一个双眼失明的老奶奶；马文才送婴儿，家里没有长辈或者亲戚了吗？这两段感觉上有点不合逻辑且刻意了。"
311$3037329$遥望南方的童年$歇会儿$2022-11-13 14:41:03$0$补标
312$3037329$遥望南方的童年$灿子$2022-03-31 23:02:36$0$国产佳片
313$3037329$遥望南方的童年$J$2022-11-22 17:31:19$0$爸妈在深圳，从为了赚钱办幼儿园到为了办幼儿园办幼儿园…
314$3037329$遥望南方的童年$虫蠹$2020-12-27 12:04:10$0$底层人发不出声音，残存透析着生的气息。政府在没有妥善的安排下，一句散了又一手沉默的甩锅行为嗤之以鼻
315$3037329$遥望南方的童年$kingdom$2019-08-30 10:28:52$3$最让我感慨的是这些人都非专业演员，那如今的这些人算什么
316$3037329$遥望南方的童年$拿一个大满贯$2021-04-11 01:05:44$0$最有感触的应该是片中的坨坨和秀秀真的好乖，大概已经习惯接受苦难…
317$3037329$遥望南方的童年$林子大了$2019-08-23 22:39:49$1$天啊，好久没看过这么朴实自然的电影了。完全受不了孩子那些眼神和大人们的一些无奈。怪谁呢？一早上把我哭的稀里哗啦的~
318$3037329$遥望南方的童年$夏正$2022-10-03 15:25:20$0$农村的衰落还在继续，底层的苦难永不停息。
319$3037329$遥望南方的童年$海德薇儿Hedwig$2020-03-22 06:58:59$0$太棒了！
320$3037329$遥望南方的童年$噗子$2021-02-04 15:28:41$0$遥望南方
321$3037329$遥望南方的童年$勇敢的心$2019-05-07 13:28:52$2$"我爸爸在哪里打工啊？
在深圳
深圳在哪啊
在南方
南方在哪啊
南方。。南方在很远很远的地方，需要我们遥望。。。"
322$3037329$遥望南方的童年$今者吾丧我$2022-10-02 13:29:08$0$"农村教育真难，易老师真难，办学堂，不是办慈善。
最好的教育就是打工。
李响后面如果还有戏份就好了，挺好一角色。
城市发展，进城打工，空巢小孩，难以解决的社会问题。
片里的男性真的好真实，生孩子生了不养，挣不到钱啃老婆，老婆不在出轨，很真实。
镜头看似缓慢剧情却不拖沓，没有觉得电影漫长。
看完有点致郁。"
323$3037329$遥望南方的童年$大猫$2020-04-02 20:39:50$0$4.5
324$3037329$遥望南方的童年$灯$2020-03-16 21:33:11$0$看哭的电影，或许在我们很多眼里，留守儿童只是一个名词一个群体，但真真正正看到这些故事，就很难再用一直理性的方式去思考。我感慨我了解的东西太少了，就像易老师看着天边那个“深圳”一样
325$3037329$遥望南方的童年$⓷ 𝐏𝐀𝐏𝐄𝐑𝐒$2021-09-03 23:04:30$0$74／100
326$3037329$遥望南方的童年$绝绝子$2022-07-08 10:53:11$0$看到后面就在想干嘛要把全村的小孩都塞给我？
327$3037329$遥望南方的童年$鹤发$2019-09-14 17:13:02$0$这是属于一个时代的哀伤！
328$3037329$遥望南方的童年$普莉恩皮察雅$2019-09-27 14:22:02$0$缺少电影的质感，但真实的可怕。
329$3037329$遥望南方的童年$一一🍉$2022-09-13 17:40:06$0$3.8 有一些美化的滤镜，素人演员真实，砣砣有点像一个人。
330$3037329$遥望南方的童年$ricqles$2021-04-14 23:39:15$0$8/10。
331$3037329$遥望南方的童年$Hill$2022-11-08 22:52:41$0$"一刀切的懒政何时是个头呢

穷是一种病"
332$3037329$遥望南方的童年$Ecoone$2020-02-03 15:47:05$0$比阿浪的远方更现实，故事稍平淡，不过本身要把非职业演员组织好，且还有好多幼儿园的小孩子已经很强了。李饷那段故事刻画得很到位
333$3037329$遥望南方的童年$易无安$2022-05-18 00:51:16$0$再穷不能穷教育，再苦不能苦孩子，2022年，我们依旧在路上。
334$3037329$遥望南方的童年$wandering$2022-12-29 19:14:37$0$谁真正的关心过
335$3037329$遥望南方的童年$沉默的小皮$2020-11-30 00:49:06$0$No.2106 致敬还在坚持乡村教育事业的人们！
336$3037329$遥望南方的童年$Laura$2022-01-13 00:34:13$1$遥望南方的童年，很真实，有四个春天的味道，纪录片的手法加江西农村的自然风光。悲哀的是，这样的片子少之又少。
337$3037329$遥望南方的童年$youayou$2021-02-05 02:19:39$1$这里的留守儿童真实又可怜
338$3037329$遥望南方的童年$麦田里的守饭者$2022-01-24 04:14:44$0$现在全面小康的屏幕上已经见不到真正底层人民的生活了
339$3037329$遥望南方的童年$MiyaYu$2019-09-01 14:26:09$0$可怜的孩子和善良的老师。向乡村教师致敬。
340$3037329$遥望南方的童年$维特根斯坦的猫$2022-01-22 13:19:02$0$真实的农村教育现状，还有留守儿童现状，真实得让人心疼。像易老师这样的，识大体，有大爱，心系乡村的人不多了～更难得的是导演的质朴，不论是当地非专业人员的出演，还是宜春方言贯穿全片，亦或是不那么精良的镜头和制作，全都不影响电影真挚情感的表达。这片太好了！
341$3037329$遥望南方的童年$Coco$2023-04-23 19:41:29$0$真实故事所以感人，留守儿童需要的是不再遥望南方的童年，他们需要父母在身边
342$3037329$遥望南方的童年$迷糊兔$2021-06-02 00:10:32$0$活着真难
343$3037329$遥望南方的童年$momo$2022-09-25 21:32:36$0$"农村留守儿童实录，只是电影结尾，易老师一家的善举实在看得人痛心!
留守儿童的问题不是靠一个善良的老师就能解决的，自家孩子的养育问题也不是靠道德绑架博人同情就能解决的，另外照顾孩子也不单是女人的责任!"
344$3037329$遥望南方的童年$舟舟$2022-04-18 17:22:48$0$太扎心了
345$3037329$遥望南方的童年$记忆错觉$2020-04-03 23:00:17$0$2020-166
346$3037329$遥望南方的童年$子衿$2020-02-23 00:01:42$0$"人生的荒诞性就在我们对命运与处境的被动接受，并非每个人都有机会看清自己与世界的关系。人的一系列行为倾向莫不受欲望与本能的驱使。
因此，生在一个封闭狭小的地方，面对着物质与情感的缺失，心中总会有一个可以摆脱失落的方向。
而朝着那个方向一直走，就是南方。"
347$3037329$遥望南方的童年$37°2$2019-10-02 17:17:50$0$"
有温度。"
348$3037329$遥望南方的童年$绿皮普快$2019-07-01 08:18:32$1$真实感很强，更像纪录片。似乎人物心理方面还可以再深入挖掘。
349$3037329$遥望南方的童年$投射性認同$2019-08-31 10:44:22$0$朴实 原生态
350$3037329$遥望南方的童年$波子生活在别处$2019-08-18 11:57:15$5$感谢大象放映室
351$3037329$遥望南方的童年$文白$2020-02-14 14:00:31$0$豆瓣这个评分也吓到我了，其实也就是央6公益电视电影的水平吧，这个题材，值得更好的呈现。
352$3037329$遥望南方的童年$轻狂难御晚秋风$2020-04-28 22:06:45$0$别以为到了2020年，我们的乡村教育现状就有多乐观。如何为农村留住好教师，培养出好人才，这是我们急需回答的问题
353$3037329$遥望南方的童年$鲁比科$2018-09-28 20:57:16$0$关注贫困农村之作，非职业演员方言演出，沉重、真切。
354$3037329$遥望南方的童年$长夜留痕$2019-08-26 23:52:45$0$现实总是令人泪目
355$3037329$遥望南方的童年$王良四$2022-11-20 03:01:47$0$"影片最后指明“剧中人物全部由当地非职业演员出演” 正因如此 电影才有意地将易老师刻画的趋近完美 他更像是一道光 一道照亮人们思想的光 一道为人们带去希望的光
而那些真正出生于农村的人们 要么选择离开 要么选择坚守 离开的人们 远赴承载着致富之梦的南方 故乡终究成了故乡 留下的 是橡树下的坨坨 是幼小无知的秀秀 和一个个憧憬未来的李想 他们遥望南方 那个只存在于梦里的南方
感谢还有电影愿意为他们发声 可悲的是 十几年后他们依然存在 却失去了说话的权利"
356$3037329$遥望南方的童年$浮生若梦$2021-03-04 19:05:27$0$"遥望
南方
童年
看完"
357$3037329$遥望南方的童年$李斟寻$2022-04-23 17:41:37$0$【2022年第32部】全片都是江西方言，但也可以听懂一半。拍摄和剪辑粗糙，但瑕不掩瑜，很真实。很喜欢这种方言片（重庆话除外（对不起
