$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26383524$锁麟囊(京剧)$小浣熊二$2015-05-20 21:38:42$71$"这才是人生难预料，不想团圆在今朝。
274$26383524$锁麟囊(京剧)$草上炊事员$2022-09-04 13:33:56$0$眉头动得，眼帘挑得，嘴角压得。骄矜嗔怪，酥声玉语，顶花颤颤。迟老板好风情！本子和气团得想昏睡，但为得好这口，为了把尊尊小姐蹬下去再捧上来，伏低做小忍泪不迭时听唱句“收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因 ”，当然衬得风情。
275$26383524$锁麟囊(京剧)$La Chute$2022-10-31 12:21:58$0$迟老板😿
276$26383524$锁麟囊(京剧)$贾什么假$2022-02-24 20:57:04$0$自古红蓝出cp，把薛湘灵和赵守贞锁在一起好吗，结什么金兰，给我结婚，最后我还能再看亿遍
277$26383524$锁麟囊(京剧)$虫二$2017-01-30 00:09:48$0$世事无常～
278$26383524$锁麟囊(京剧)$长安$2021-05-28 19:27:08$0$是真的绝了。嗷嗷嗷嗷嗷嗷。好看
279$26383524$锁麟囊(京剧)$Terisen$2022-10-16 17:35:49$0$世上何尝尽富豪，也有饥寒悲怀抱，也有失意哭嚎啕。
280$26383524$锁麟囊(京剧)$梓虞$2022-08-10 23:19:00$2$"他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。
这才是人生难预料，不想团圆在今朝，回首繁华如梦渺，残生一线付惊涛"
281$26383524$锁麟囊(京剧)$THoo$2019-05-08 02:48:40$0$不敢相信有生之年我居然在被窝里看了两个小时京剧还哭到泪流不止
282$26383524$锁麟囊(京剧)$哦吼$2021-09-29 21:55:11$0$收余恨 免娇嗔 且自新 改性情 休恋逝水 苦海回身 早悟兰因
283$26383524$锁麟囊(京剧)$单车$2021-08-22 10:14:50$0$不看不知道，一看真奇妙！
284$26383524$锁麟囊(京剧)$Lillian$2019-04-05 12:41:12$2$我原本是不喜欢程派的唱腔的。但是是迟老师的魅力吧，我现在开始听程派了，而且喜欢了。电影这版我强烈安利，妆面没有舞台上的那么浓，恰到好处，特别美！美哭了！是我见过最美的妆面。演的也很好。迟团功底没得说，感情处理也到位。美的呀……哎。强烈安利。
285$26383524$锁麟囊(京剧)$蓦地$2019-04-18 12:31:13$0$“他教我，收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因。”
286$26383524$锁麟囊(京剧)$豆友$2021-11-04 05:33:46$0$现在当然是很好的，只是年轻时的唱腔更有灵气啊～
287$26383524$锁麟囊(京剧)$得閒飲茶$2018-04-12 01:39:35$0$“听薛良一语来相告，满腹骄矜顿雪销。”一听这儿真的被击中！
288$26383524$锁麟囊(京剧)$天色已晚$2021-10-24 20:29:57$0$这才是人生难预料。爱小秋
289$26383524$锁麟囊(京剧)$阿洛伊$2022-07-06 22:07:36$0$这剧本好
290$26383524$锁麟囊(京剧)$（论文快写完$2015-11-03 17:36:38$0$过瘾 看一场大戏 水袖美 薛娘子 程派唱腔 徐孟轲的丑角 看的是张先生的
291$26383524$锁麟囊(京剧)$鸟木一寸又$2021-03-24 03:05:51$1$在b站看了14年张火丁复出首场，只能说我听了六七年迟小秋的版本（迟小秋当时还来高中唱过一段“这都是人生难预料”，当时台下好多人在写作业哈哈），仅消看一遍张火丁的现场就被折服了…锁麟囊具体的词不说了，放眼整个戏曲历史长河也是一等一的好，前半本（其实也就是到春秋亭）的观感又好过后半本，后半本正如另一短评所说，是会给人呈现伦理纲常与阶层固化的内在联系，就跟看红鬃烈马是多少有点膈应是一个道理吧
292$26383524$锁麟囊(京剧)$小小北小北$2019-10-03 17:29:31$0$😭😭😭😭😭😭
293$26383524$锁麟囊(京剧)$shirly$2021-06-25 18:37:51$0$在迟团身上看到了古代大家闺秀的矜贵与娇嗔😘
294$26383524$锁麟囊(京剧)$黑夜替你懂白天$2023-04-10 11:12:33$0$怎么感觉上错花轿嫁对郎和锁麟囊春秋亭的地方很相似。经典就是经典。表现拿捏都很好
295$26383524$锁麟囊(京剧)$抽一丝$2022-09-11 23:07:28$0$2022.9.10，迟小秋长安大戏院中秋场。
296$26383524$锁麟囊(京剧)$Mel$2021-02-07 16:27:31$0$"这才是今生难预料，不想团圆在今朝。 
回首繁华如梦渺，残生一线付惊涛。 
柳暗花明休啼笑，善果心花可自豪。 
种福得福得此报，愧我当初赠木桃。"
297$26383524$锁麟囊(京剧)$二六转流水$2020-10-18 21:13:34$0$张火丁14年复出版。被剧透得一塌糊涂的戏，剧情已经没啥好说的了。水秀身段也不想夸了。btw一直觉得张火丁的妆面蜜汁清爽干净。
298$26383524$锁麟囊(京剧)$薇薇安$2021-09-26 00:18:07$0$好美，眉眼之间情之流动。
299$26383524$锁麟囊(京剧)$非主流成长$2021-11-07 12:13:50$0$一上午，纠结中又想看UFC，又想看周婧的《锁麟囊》，，，最后还是选择听京剧，想来小时候跟随我妈妈看戏，似懂非懂之际，给我的三观打了基调：不势利且善良。 
300$26383524$锁麟囊(京剧)$俏皮猫$2020-05-27 04:55:46$0$早悟兰因，早早领悟人世的无常。。
301$26383524$锁麟囊(京剧)$浅暖_$2020-01-25 16:05:20$1$京剧真的好好听，迟小秋好美～
302$26383524$锁麟囊(京剧)$椰塔$2021-01-05 21:10:13$0$一出好戏
303$26383524$锁麟囊(京剧)$呦西$2021-06-15 01:02:21$0$大概是第一次看比较完整的戏，挺有意思，有滋有味的
304$26383524$锁麟囊(京剧)$北京烤鸭生$2020-03-01 22:22:09$0$经典
305$26383524$锁麟囊(京剧)$逐青$2022-10-16 23:25:01$0$"太美了看得太过瘾了
我也想看梅香和碧玉battle"
306$26383524$锁麟囊(京剧)$查无此人$2021-02-14 23:40:38$1$梅香太可爱啦
307$26383524$锁麟囊(京剧)$翠西chase$2019-09-04 19:01:19$0$唱腔太美了
308$26383524$锁麟囊(京剧)$嬷嬷统治世界$2022-11-18 16:29:24$0$最喜欢的一版
309$26383524$锁麟囊(京剧)$Alchemist$2022-06-28 18:44:13$0$看的不是这版，感觉嗓子有点哑
310$26383524$锁麟囊(京剧)$张不萌$2022-11-29 23:14:49$0$迟团的眼神戏让我陷进去了，怎么会有这么又娇又可爱的女孩！尾音就像布谷鸟的叫声一样，直戳心窝
311$26383524$锁麟囊(京剧)$豆友155589051$2020-06-06 12:06:36$0$"程派初听觉得很特别，越听会越上瘾。
分我一枝珊瑚宝，安她半世凤凰巢。
他教我收余恨、免娇嗔、且自新、改性情，休恋逝水、苦海回身、早悟兰因。
最喜欢春秋亭和三让椅这两段，剧情精彩，词好腔好。
故事的内在也极为丰富，借巧合演绎一波三折、世事无常。薛湘灵娇而不傲。这经典唱段值得反复重听重看。
"
312$26383524$锁麟囊(京剧)$飞景流星.$2021-09-26 00:58:18$0$入坑作，词在京剧中算绝的。
313$26383524$锁麟囊(京剧)$栖迟$2018-12-28 10:52:58$1$喜欢薛湘灵和赵守贞的扮相！太美了呜！
314$26383524$锁麟囊(京剧)$赵守贞$2021-08-01 17:36:02$0$这才是人生难预料
315$26383524$锁麟囊(京剧)$桥驿听雨落🍵$2020-07-19 02:21:09$0$绝了
316$26383524$锁麟囊(京剧)$卷心菜卷万物$2019-12-08 11:11:24$0$我只道铁富贵一生注定，又谁知人生数顷刻分明。想当年我也曾撒娇使性，到今朝哪怕我不信前尘。这也是老天爷一番教训，他教我收余恨、免娇嗔、且自新、改性情，休恋逝水，苦海回身，早悟兰因
317$26383524$锁麟囊(京剧)$微信用户$2022-08-31 00:41:22$0$和外婆一起看的，童年回忆
318$26383524$锁麟囊(京剧)$歌者$2021-05-05 13:37:55$0$回首繁华如梦渺
319$26383524$锁麟囊(京剧)$momo$2022-05-26 14:27:54$0$分我一只珊瑚宝，安她半世凤凰巢
320$26383524$锁麟囊(京剧)$葡萄扇子$2022-06-16 17:02:20$0$补
321$26383524$锁麟囊(京剧)$Skye$2022-04-21 17:36:53$0$好听！故事也蛮好
322$26383524$锁麟囊(京剧)$零$2022-11-15 16:30:39$0$他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。
323$26383524$锁麟囊(京剧)$玛德智勇双全啊$2019-06-03 11:38:00$0$程派一旦入坑真的很难再出去了
324$26383524$锁麟囊(京剧)$李小它$2021-11-24 00:24:24$0$值得没事就拿出来看一遍。
325$26383524$锁麟囊(京剧)$柚子吃不吃$2020-12-25 13:07:43$0$4.5
326$26383524$锁麟囊(京剧)$我可能不太清醒$2022-03-03 11:27:12$0$他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因
327$26383524$锁麟囊(京剧)$行李$2022-10-07 19:53:06$0$"此时却又明白了，世上何尝尽富豪。
也有饥寒悲怀抱，也有失意痛苦嚎啕。
他叫我收余恨免娇嗔。
且自新，改性情，休恋逝水。
苦海回身早悟兰因。
可怜我平地里遭此贫困，
遭此贫困。
"
328$26383524$锁麟囊(京剧)$意之所至$2022-05-01 15:32:17$0$柳暗花明休啼笑，善果心花可自豪
329$26383524$锁麟囊(京剧)$yyljssz$2020-09-29 21:24:51$0$“此时却又明白了，世上何尝尽富豪，也有饥寒悲怀抱，也有失意痛哭嚎啕。”
330$26383524$锁麟囊(京剧)$Leah$2022-02-17 22:33:39$0$我很喜欢的一个本子。戏曲的没落多少和它许多故事中那些不合时宜的价值观有关。锁麟囊虽然剧情老套，但人生跌宕的两个旦角相互救助的情谊放在当下依然是令人称道的，几处经典唱段的词也写得很好。电影反而不如舞台呈现得漂亮，总觉得色调不是很好看。
331$26383524$锁麟囊(京剧)$环中之枢$2021-05-28 16:38:08$0$这都是人生难预料啊！
332$26383524$锁麟囊(京剧)$晨昏之间摆动$2019-12-09 00:31:16$0$剧情真的蛮朴素的但是也很精彩（看来古代人也爱看爽文），演员不管主角配角都演得巨好眼神动作一起来就仿佛挠痒每次都在点子上，而且每个唱段的编排都很精彩。看老戏本真的很感慨呢，百年前人们的悲喜言辞依旧与现在无甚区别。还是那句经典台词：“他教我收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因。”太豁达了。
333$26383524$锁麟囊(京剧)$yydbbz八宝粥$2021-02-18 01:47:09$0$在电影资料馆看的，当年的迟妈真的惊为天人…
334$26383524$锁麟囊(京剧)$香片$2021-03-14 17:55:39$0$"听薛良一语来相告，满腹骄矜顿雪消。

人情冷暖凭空造，谁能移动它半分毫。

我嫌不足她正少，她为饥寒我为娇。

分我一枝珊瑚宝，安她半世凤凰巢。

忙把梅香低声叫，莫把姓名信口哓。
"
335$26383524$锁麟囊(京剧)$梁又京$2021-05-25 20:34:09$0$“双姝奇缘”
336$26383524$锁麟囊(京剧)$Gaucho$2023-02-06 01:50:46$0$薛•娇蛮•善良仗义•能屈能伸•同理心强•唯物主义女战士•湘灵
337$26383524$锁麟囊(京剧)$豆友125814095$2019-05-26 19:55:36$0$"从小被好好对待的人，大家都想好好对待她，觉得就该这么被呵护。
可是谁不该不被这么好好呵护呢。"
338$26383524$锁麟囊(京剧)$煎个圆$2020-04-13 00:29:15$0$迟团太美啦
339$26383524$锁麟囊(京剧)$木落羽陌$2022-02-13 18:24:01$0$这个也是好看的，不爱京剧的我都喜欢的……
340$26383524$锁麟囊(京剧)$江湖骗子领导层$2021-09-22 00:14:48$0$一声“梅香”就给我带走了，太醉人
341$26383524$锁麟囊(京剧)$甘草和旧书$2021-05-10 02:49:57$0$" 很简单的故事，颂扬的都是因果循环善有善报的传统价值观，但一旦套上的是古代官宦小姐，丫鬟侍女的壳子，便捎带些等级分明，重男轻女的封建意味。确实如评论所说挺膈应人。
但春秋亭一段的词写的很好，迟小秋老师的嗓音美，扮相漂亮，眉目间能传情，演技上佳！属实加了不少分。"
342$26383524$锁麟囊(京剧)$章鱼女士$2023-02-01 02:36:01$0$越听越有韵味
343$26383524$锁麟囊(京剧)$艾米的小豆子$2020-04-14 07:12:24$0$回首繁华如梦渺，残生一线付惊涛。今日相逢得此报，愧我当初赠木桃。
344$26383524$锁麟囊(京剧)$uujjj$2020-08-12 16:50:02$0$小姐真好呜呜呜
345$26383524$锁麟囊(京剧)$海上$2020-05-11 19:59:05$1$好听，春秋亭最好，唱词太美了，迟老师李老师真美。
346$26383524$锁麟囊(京剧)$97式掷锅大灶$2020-02-24 04:35:36$0$且自新 改性情 休恋逝水 早悟兰因😭
347$26383524$锁麟囊(京剧)$农泉山夫$2020-03-08 18:38:25$0$完整看下来之后，觉得程派唱腔真的好听!
348$26383524$锁麟囊(京剧)$豆友173336888$2020-01-11 18:49:36$0$"大女主戏就是好啊！贫富相怜，好人好报，最喜欢的京戏
"
349$26383524$锁麟囊(京剧)$知无知$2022-12-17 18:13:19$0$中国的文化传承，还是在京剧里，一边看台词，一边查出处
350$26383524$锁麟囊(京剧)$PopeLeoX$2021-05-30 07:02:41$0$这戏倒是有点意思。在富贵的时候原本是善人，但只有在落难的时候才能设身处地去想
351$26383524$锁麟囊(京剧)$Primadonna$2020-03-25 15:27:13$0$"春秋亭外风雨暴，何处悲声破寂寥。 
隔帘只见一花轿，想必是新婚渡鹊桥。 
吉日良辰当欢笑，为什么鲛珠化泪抛？ 
此时却又明白了，世上何尝尽富豪。 
也有饥寒悲怀抱，也有失意痛哭嚎啕。 
轿内的人儿弹别调，必有隐情在心潮。

耳听得悲声惨心中如捣，同遇人为什么这样嚎啕？
莫不是夫郎丑难谐女貌？莫不是强婚配鸦占鸾巢？
叫梅香你把那好言相告，问那厢因何故痛哭无聊。
梅香说话好颠倒，不该人前乱解嘲。
怜贫济困是人道，哪有个袖手旁观在壁上瞧？
蠢才问话太潦草，难免怀疑在心梢。
你不该人前逞骄傲，不该词费又滔滔。
休要噪，且站了，薛良与我去问一遭。
听薛良一语来相告，满腹骄矜顿雪消。
人情冷暖凭天造，谁能移动它半分毫。
我正富足她正少，她为饥寒我为娇。
分我一枝珊瑚宝，安她半世凤凰巢。"
352$26383524$锁麟囊(京剧)$栗粒蔓$2021-09-08 00:50:01$0$「听薛良一语言来相告，满腹骄矜顿雪消，人情冷暖凭空造。」最爱的京剧剧本，词写得太好了，电影比现场的观感更好，不愧是迟团，美得很。
353$26383524$锁麟囊(京剧)$潇湘芙儿$2022-04-26 14:01:58$0$富贵未必长此富贵，贫穷或许时来运转。投我以木桃，报之以琼瑶。（《上错花桥》或许是借鉴了这出剧的灵感）
354$26383524$锁麟囊(京剧)$卡培他滨$2021-01-18 22:38:51$0$扮相太好看了，这就是富家千金、大家闺秀啊！
355$26383524$锁麟囊(京剧)$我又改昵称了$2020-10-06 00:33:45$0$深得乃师真传，十几岁拿梅花奖，不是吹的。
356$26383524$锁麟囊(京剧)$象倌$2018-12-12 15:06:44$1$迟老师唱得真好
357$26383524$锁麟囊(京剧)$布偶$2018-03-12 16:11:24$0$剑走偏锋地入坑
358$26383524$锁麟囊(京剧)$王讷敏$2019-10-12 15:55:08$0$分我一只珊瑚宝，安她半世凤凰巢，印象深刻，演的好唱的好。
359$26383524$锁麟囊(京剧)$☁️$2021-08-26 15:14:18$0$太好看了，迟团演薛小姐真的入木三分，孟轲老师的梅香也是最可爱的，这一版唱得也好
360$26383524$锁麟囊(京剧)$北语$2020-09-06 02:49:09$0$太美了，人美，声美，词美，俱美，绝美。
361$26383524$锁麟囊(京剧)$象鼻鱼$2022-12-28 19:25:07$0$程派真的好有韵味，小嗓子嗷到人心里了，梅香小可爱也好有意思
362$26383524$锁麟囊(京剧)$桥$2021-10-17 04:02:37$0$分我一支珊瑚宝，安她半世凤凰巢
363$26383524$锁麟囊(京剧)$烧酒话$2016-03-26 17:29:32$0$可能更喜欢张火丁那一版
364$26383524$锁麟囊(京剧)$沐雨光辰$2019-09-07 03:20:44$0$大善大报
365$26383524$锁麟囊(京剧)$向小园$2021-07-12 18:36:47$1$"遲糰子淡妝好看，可可愛愛小梅香！
古代人樸素的善惡觀真是可歎耶…
薛良嗓子真真好听"
366$26383524$锁麟囊(京剧)$100lux$2018-07-08 22:02:04$0$看的是张火丁和吕洋的版本，逐渐摸到了国粹的边缘，唱词之美，可多看些戏曲。“他教我收余恨、免娇嗔、且自新、改性情，休恋逝水、苦海回身、早悟兰因。”
367$26383524$锁麟囊(京剧)$小张2021$2019-05-13 19:32:14$0$但行好事莫问前程
368$26383524$锁麟囊(京剧)$一昔如环$2021-03-21 23:38:48$0$收余恨，免娇嗔，且自新
369$26383524$锁麟囊(京剧)$胡桃$2020-01-17 16:52:04$0$分我一支珊瑚宝，安她半世凤凰巢。
370$26383524$锁麟囊(京剧)$zzo$2019-02-16 18:27:36$1$超爱迟女士！！！
371$26383524$锁麟囊(京剧)$朝杨文舟$2021-01-30 21:33:11$0$剧情起伏跌荡，很有正能量的一都哟片。
372$26383524$锁麟囊(京剧)$镜子里的竹蜻蜓$2020-02-08 22:48:53$1$"迟团一颦一笑都让我神魂颠倒!
孟老师太厉害了!❤太可爱了"
373$26383524$锁麟囊(京剧)$已注销$2021-11-14 16:11:03$0$春秋亭那一段太美啦！！余音绕梁，三日不绝！
374$26383524$锁麟囊(京剧)$[未注销]$2021-07-11 20:51:45$0$看的不是电影，是大剧院版本的剧。第一次看的时候，就觉得这剧，是好剧，但是为什么总感觉迟小秋的嗓子哑哑的不亮。后来再听，才渐渐觉得唱得是好。但是嗓子总感觉不敞亮。不知道是不是我没有欣赏到点子上···
375$26383524$锁麟囊(京剧)$panda$2020-02-18 11:28:05$0$真美，这服装，这身段，这腔调，怪不得当时大家爱看京剧，真好，这就是当年的小鲜肉啊
376$26383524$锁麟囊(京剧)$XDA7$2021-11-06 16:04:09$0$"看的灯神版本的，特此记录
第一次看京剧嘻嘻"
377$26383524$锁麟囊(京剧)$有所思$2019-12-23 15:44:03$0$故事和唱词都太好了，太好了。
378$26383524$锁麟囊(京剧)$从什么地方出发$2023-02-09 15:21:47$0$2023.2.9线上打卡 国家大剧院版《锁麟囊》体验了一把以前爷爷奶奶的快乐，第一次看完一部京剧，好听好看，入坑了。立马下单买了两张湖北京剧院的《锁麟囊》现场票，去现场体验下国粹的魅力。
379$26383524$锁麟囊(京剧)$收青$2020-09-24 20:10:57$0$2020迟小秋，剧本本身很俗但已经是很难得的京剧了～不知道迟小秋什么时候退休已经明显很吃力了（）
380$26383524$锁麟囊(京剧)$景明$2020-08-16 11:58:43$0$草 第一次看京剧。真好看啊！(发出了没有文化的声音.jpg
381$26383524$锁麟囊(京剧)$🌻$2021-09-23 22:23:35$0$迟小秋一颦一笑眼波流转，俱是风情
382$26383524$锁麟囊(京剧)$Yequii$2020-06-03 18:59:32$0$戏曲文学太美了。
383$26383524$锁麟囊(京剧)$為此春酒。$2020-09-17 02:10:18$0$不太喜欢实景布景呃呃呃
384$26383524$锁麟囊(京剧)$津瑕$2021-04-27 12:00:58$0$婉转慨慷
385$26383524$锁麟囊(京剧)$❧$2021-11-19 13:30:51$0$眼神太美了
386$26383524$锁麟囊(京剧)$Eleuterio$2019-04-28 09:37:40$0$雨过天晴各自散去
387$26383524$锁麟囊(京剧)$地味な小作農$2021-06-26 14:42:23$0$种福得福如此报，愧我当初赠木桃。可惜朱楼一段实体的布景倒显得身段水袖有些奇怪了，这也是京剧这种舞台艺术的特殊性决定的吧。
388$26383524$锁麟囊(京剧)$leon5050cn$2018-12-21 09:20:40$0$程派入门戏，铁打的锁麟囊，铁打的春秋亭。
389$26383524$锁麟囊(京剧)$1228$2020-01-29 15:02:08$0$听的是程砚秋大师版的“积德才生玉树苗”
390$26383524$锁麟囊(京剧)$小柴胡$2021-02-15 23:40:45$0$薛小姐眉眼可真灵!
391$26383524$锁麟囊(京剧)$momo$2020-02-02 14:15:26$0$"这才是人生难预料，不想团圆在今朝。
回首繁华如梦渺，残生一线付惊涛。
莫再痴嗔休啼笑，教导器儿多勤劳。
今日相逢得此报，愧我当初赠木桃。
外行看热闹，休念逝水，多种善因。
程派看“唱”，确实好听。"
392$26383524$锁麟囊(京剧)$拉丁米粥$2023-02-17 21:40:47$0$很感触看哭了，好听也好看。
393$26383524$锁麟囊(京剧)$豆友199410567$2022-09-11 17:50:00$0$“分她一只珊瑚宝，安她半世凤鸾巢”“此时却又明白了，世上何尝尽富豪。也有饥寒悲怀抱，也有失意痛嚎啕。”“柳暗花明休啼笑，善果心花可自豪。种福得福如此报，愧我当初赠木桃”！ 纪念人生看的第一本京剧。词真的好美，角儿演得也好美。
394$26383524$锁麟囊(京剧)$瀚海一舟$2019-01-24 00:29:21$0$第一次接触这样的京剧电影，感觉确实是很好的形式。作为一个京剧的局外人，我经常惊叹于这种艺术背后所包含的逻辑，一个故事在发生的时候，我们观众就大概知道他的结局会是什么样的，在这种情况下为什么表演依然具有意义呢？然而在剧中不断反复回旋铺陈迂回之后，这个故事竟然真的神奇的被赋予了充实饱满的意义，而且让人感动。这让我重新反思一个知道的结果的故事的过程依然可以为这个故事赋予意义，因此我看的不仅是一个故事的结果，或者曲折的情节。另外，在这样一个时代里，这个故事给了我一次相信善良的机会，我想这样的故事当然可以被称为是精神的麻醉剂，但能够经久不衰也许就是因为可以满足人们相信善良的需要吧。不论哪个时代，人们永远有相信善良的需要，而相信的前提是情节的饱满、真实，曲折程度反而不那么重要。
395$26383524$锁麟囊(京剧)$无忧的热雨$2020-02-16 23:25:24$0$冷暖空造，善与善报。
396$26383524$锁麟囊(京剧)$momo$2020-04-18 00:56:48$0$薛湘灵是什么人美心善的仙女！前头送锁麟囊那里虽然很感动但觉得对她一个富家小姐来说也不算什么大事，但后来身无分文无依无靠还把粥送给别人！甚至连碗都一起送了😂别跟赵守贞结金兰了，结婚吧！（bushi
397$26383524$锁麟囊(京剧)$秦淮$2021-04-04 21:22:25$0$"我正不足她正少，她为饥寒我为娇。回首繁华如梦渺，残生一线付惊涛。
"
398$26383524$锁麟囊(京剧)$ben$2020-12-04 19:29:56$0$ 他为饥寒我为娇 分我一支珊瑚宝 安她半世凤凰巢  经典 
399$26383524$锁麟囊(京剧)$拂手去青苔$2019-05-18 21:04:06$0$薛湘灵小可爱你跟赵守贞过吧😘
400$26383524$锁麟囊(京剧)$遗忘诗行$2022-07-18 19:22:42$0$热闹
401$26383524$锁麟囊(京剧)$无人之境$2021-09-19 14:21:01$0$啊，打开了新世界的大门
402$26383524$锁麟囊(京剧)$a$2019-02-16 22:47:29$0$小学的时候在11套熬夜看的…后来看了次现场
403$26383524$锁麟囊(京剧)$没用的阿吉$2021-01-09 18:45:37$0$情节是再简单不过了，但是唱的、演的真好看
404$26383524$锁麟囊(京剧)$Old羊$2021-04-07 18:00:52$0$他教我，收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因。
405$26383524$锁麟囊(京剧)$格拉托尼$2020-02-13 23:06:20$0$童年时 父母听戏较多 我不懂 这出京剧是唯一完整听完并深受吸引的 看完只觉得家也好人也好景也好 那时那刻一切都和戏中人一样完满 兴奋地入眠 第一次体会到戏剧的魅力快乐不已
406$26383524$锁麟囊(京剧)$Since_1712$2021-03-05 13:22:07$0$这才是今生难预料，不想团圆在今朝。 回首繁华如梦渺，残生一线付惊涛。 柳暗花明休啼笑，善果心花可自豪。 种福得福得此报，愧我当初赠木桃。
407$26383524$锁麟囊(京剧)$瘋狂的蘇子嫻$2021-12-26 22:25:49$0$迟老板不愧是大师！程派后继人！到最后难免有些热泪盈眶。到底是老天爷，在教我，收余恨，免娇嗔，且自信，改性情、休恋逝水，苦海回身，早悟兰因。
408$26383524$锁麟囊(京剧)$夢遊飛行士$2023-01-23 13:53:20$0$他教我  收余恨  免娇嗔  且自新  改性情  休恋逝水  苦海回身  早悟兰因
409$26383524$锁麟囊(京剧)$问LOVE为何物$2022-04-01 20:07:59$0$这个版本的锁麟囊确实是迟团很好的版本了
410$26383524$锁麟囊(京剧)$人生浪费指南$2020-11-18 00:43:11$0$迟小秋太好看了，迷住我了。“这也是老天爷一番教训 他叫我 收余恨 免娇嗔 且自新 改性情 休恋逝水  苦海回身 早悟兰因”终于补完这句词的出处剧目了。
411$26383524$锁麟囊(京剧)$沈从嘉$2020-02-26 02:39:27$0$迟小秋这版是不错，不过个人偏爱海燕那版的。
412$26383524$锁麟囊(京剧)$祁野$2019-07-23 00:44:12$0$被春秋亭惊艳到滚来补课
413$26383524$锁麟囊(京剧)$:D$2022-06-28 14:14:59$0$完整观看的第一部京剧，体会到京剧魅力。迟老师一把好嗓子。
414$26383524$锁麟囊(京剧)$朝暮色$2020-02-29 20:13:35$0$“这也是老天爷一番教训  他叫我 收余恨 免娇嗔 且自新 改性情 休恋逝水 苦海回身 早悟兰因。”
415$26383524$锁麟囊(京剧)$NS$2021-05-18 17:47:16$0$想看迟老板现场
416$26383524$锁麟囊(京剧)$ChiChi$2022-07-09 16:15:48$0$这才是人生难预料，不想团圆在今朝。回首繁华如梦渺，残生一线付惊涛。
417$26383524$锁麟囊(京剧)$冷玩$2019-05-03 11:06:12$0$看了迟小秋又去看了张火丁，不同的气韵。迟多了柔和怨，张多了孤和正。
418$26383524$锁麟囊(京剧)$阿姆斯壮$2021-11-07 11:52:53$0$“小小囊儿何足道，救她饥渴胜琼瑶。”
419$26383524$锁麟囊(京剧)$Ginkgo$2021-06-24 01:14:53$0$收余恨 免娇嗔 且自新 改性情 休恋逝水
420$26383524$锁麟囊(京剧)$林宿山$2021-09-30 22:12:05$0$"参透了辛酸处泪湿衣襟，我只道铁富贵一生铸定，又谁知人生数顷刻分明。

想当年我也曾撒娇使性，到今朝哪怕我不信前尘，这也是老天爷一番教训。

他教我收余恨、免娇嗔、且自新、改性情、休恋逝水，苦海回身，早悟兰因。"
421$26383524$锁麟囊(京剧)$而已$2022-11-11 19:06:30$0$感谢老胡和小赵老师
422$26383524$锁麟囊(京剧)$霖$2021-12-20 10:03:20$0$“他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因”词可太好了。迟团团唱的可是太好了。因为这一句对京剧开始上头～
423$26383524$锁麟囊(京剧)$卢登的葵笙$2021-01-10 11:30:05$0$"主角很棒，配角也出彩。
唱腔、念白和表演都很细腻，唱词精致。剧情确实不好，也并不深刻。"
424$26383524$锁麟囊(京剧)$独伊无二$2019-06-02 14:30:39$0$"一直不太喜欢程派唱腔，觉得太沙哑，听多了觉得原来程派也很好听。
最后锁麟囊出现后的节奏可急死我了！！！！哈哈哈"
425$26383524$锁麟囊(京剧)$爱郊野不爱派对$2019-06-01 12:58:49$1$这个电影版春秋亭部分迟小秋的这个眉眼，这个身段，这个唱腔，啊我死了。
426$26383524$锁麟囊(京剧)$拾溦$2020-05-01 13:36:43$0$人美心善薛湘灵，电影版扮相真好看，迟妈演的好温油，赵守贞也美！
427$26383524$锁麟囊(京剧)$Megan$2020-07-04 16:59:08$0$现在想起来电视上曾经起劲放过很多部戏曲电影，服饰制景典雅精致，小时候直见就痴迷，从此和姐姐争夺遥控器权。
428$26383524$锁麟囊(京剧)$川冴$2020-07-29 18:10:12$0$太美了太美了 迟团团
429$26383524$锁麟囊(京剧)$朝月亮吹起口哨$2022-04-20 15:54:02$0$美轮美奂，叹为观止！
430$26383524$锁麟囊(京剧)$白鲤$2020-05-03 17:23:33$0$春秋亭和朱楼那段看得我是又哭又笑，不得不说京剧的感染力那是绝对的！骄傲却不骄纵，温柔而又坚强说的就是薛湘灵吧！！那就收余恨免娇嗔且自新改性情休恋逝水苦海回身早悟兰因吧！！ps弹幕真的能把眼泪给我憋回去hhh会被笑死
431$26383524$锁麟囊(京剧)$Luna的防妖眼镜$2022-01-19 11:59:34$0$词真的好美啊，唱的也好美
432$26383524$锁麟囊(京剧)$Bourguignon$2019-11-29 00:10:40$1$"迟小秋版。
就此入坑京剧。
唱词唱腔美极。
投桃报李是佳话。"
