$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26289144$滚蛋吧！肿瘤君$付玲$2015-08-08 21:43:39$4735$作为一个癌症患者，我没什么好说的。
235$26289144$滚蛋吧！肿瘤君$書衣偵探華斯比$2015-08-08 22:24:09$3$白百何的表演真心赞！那些个小动作、小眼神把人物刻画得相当到位；相比之下，吴彦祖就有些“花瓶”了，不是很出彩。这真是一部有泪有笑的电影，其中最搞笑最解气的当属众人“调戏”熊顿前男友、沈腾饰演的那个渣男的那段。最后熊顿的追思会泪点满满。正能量治愈系喜剧电影！五星推荐！
236$26289144$滚蛋吧！肿瘤君$nichkhun$2015-08-20 17:55:26$2$差一点就5星了 白百何演技真是绝了 要搞笑有搞笑 要催泪有催泪 另外也要感叹岁月真是一把杀猪刀 男神啊 游园惊梦时是啥样 妖夜回廊呢 嗯 拜拜了
237$26289144$滚蛋吧！肿瘤君$笑书神侠$2015-08-14 23:48:33$2$看过漫画，最初听说要改编电影时期待值并不高，不过还好没有失望，笑中带泪，白百合演的不错。
238$26289144$滚蛋吧！肿瘤君$温文暖$2015-10-20 13:09:19$2$白百合和妈妈说对不起那里演技巅峰了。每次都是碰到爸妈的场合哭的，爸妈戏太少。眼睛疼
239$26289144$滚蛋吧！肿瘤君$梦魇$2017-04-13 22:39:06$2$有些不会离开的人无论如何都不会走，而有些下定决心要走的人，无论你怎样卑微都不是能挽留他的理由。
240$26289144$滚蛋吧！肿瘤君$琨霓$2015-08-19 21:37:35$2$白百合的演技渐入佳境呀 而吴大帅哥也真真有点老了 还好英气犹存~乐观的态度真是谁也抢不走的财富 想说把每一天当成上天的礼物来过 人生应该会幸福很多~~
241$26289144$滚蛋吧！肿瘤君$杭州小蒋$2019-09-03 20:14:32$2$一定要精彩的活下去，每年都要看一遍，虽然剧情很一般，但是能时刻提醒自己
242$26289144$滚蛋吧！肿瘤君$莫空$2015-08-23 00:46:47$2$谢谢熊，谢谢白百何
243$26289144$滚蛋吧！肿瘤君$小菲二二$2015-08-25 19:26:41$2$怎么感觉对白百合转粉了
244$26289144$滚蛋吧！肿瘤君$sherliss.wei$2020-06-03 10:41:59$2$不说其他的 白百何电影电视我都喜欢看
245$26289144$滚蛋吧！肿瘤君$Icilian$2015-08-31 20:33:45$2$电视电影质感太强，不过这题材有先天优势，难得没有过分煽情，可惜搞笑部分太多了使得前半部分很拖沓。而为了营造轻松氛围又刻意淡化了患病治疗过程，使得面对死亡的部分来得不够自然，这是比较大的一个扣分点。白百合专注小妞电影五年，终于磨出演技得到升级，给同辈演员做了一个很好的示范。
246$26289144$滚蛋吧！肿瘤君$韩小四$2015-08-22 23:26:39$2$"还挺感人的，白百合的演技得到证明了。一直在忍着眼泪，到躺在妈妈怀里说话的时候真的忍不住了。就是有点长，有点拖，像电视剧一样。
开头的分手，还以为又来一遍失恋33天呢。吴彦祖真的是颜值担当，但普通话真的不能再进步了吗？"
247$26289144$滚蛋吧！肿瘤君$业余影迷徐淼淼$2016-01-15 23:42:17$1$看了电影又去看了熊顿姑娘的微博，也看到了她爸爸以及艾米的微博，生活还在继续，挺好的。
248$26289144$滚蛋吧！肿瘤君$癸道$2015-08-13 23:43:50$2$故事很一般，但是观影体验还不错，轻松且感人。白百合终于有一个标签式的作品了
249$26289144$滚蛋吧！肿瘤君$羞羞哒$2015-09-03 13:11:29$2$言情小白路线，白百合一贯演的了这种贫嘴犯二却让人飙泪的剧，亲情戏的细节完全加分，看到熊爸对着满满的薯片低声呜咽、熊顿摸着熊妈的嘴唇说着密码。一度觉得自己存在于这世界上的证据可能就是亲人心里最柔软的一块礁石。
250$26289144$滚蛋吧！肿瘤君$送你五颗香菜$2021-01-01 18:59:57$4$昨天看了小红花，很难看。又来重看了肿瘤君，白姐快出来拍电影吧！！
251$26289144$滚蛋吧！肿瘤君$汪金卫$2015-08-08 23:38:18$2$开场非常糟糕。尝试把生活漫画化，但把女主角演成了作死女神经。夸张过头的室友生活还不如《微爱》接地气。进医院后有所收敛。剃头戏不错。有些地方依旧没收住。转场很牵强。结尾催泪比较成功。演员演技无功无过。就是该哭哭，该乐乐。没有什么发挥的地方。白百合不错地演绎了角色。两星半
252$26289144$滚蛋吧！肿瘤君$MC whour$2015-08-26 09:12:53$2$也没感动得稀里哗啦，个人认为某些台词略刻意，女主倒是个脑洞大开的女子，亲情牌于个人比较有效，彦祖。。怪怪的，白百何的演技值得肯定
253$26289144$滚蛋吧！肿瘤君$Bearkiii$2015-08-17 21:50:09$2$白百合比王珞丹挑剧本的眼光好很多。
254$26289144$滚蛋吧！肿瘤君$南希$2015-10-14 08:25:34$2$很感人，白百合继失恋33天后第二次贡献了最好演出。人生无常，与其怨天尤人，不如乐观面对。
255$26289144$滚蛋吧！肿瘤君$魂$2015-08-14 22:07:18$2$内容比较空。导演可以去学习一下《抗癌的我》
256$26289144$滚蛋吧！肿瘤君$良卓月$2015-08-15 13:15:36$2$敢爱敢恨，有喜有悲，笑中带泪。在妖怪、大圣、鸡血草根英雄和无病呻吟的青春横行的暑期档，终于带来一些现实人生的温度。
257$26289144$滚蛋吧！肿瘤君$苏半夏。$2015-08-24 23:54:35$2$"其实你知道，我是因为熊顿才来看的这部片子。熊顿真的太乐观，白百合演的还行，但是剧情有点不符实，很多小细节都没有展开，很多事情太突兀。
大多时候，我都在一种哭的抽过去的状态，要是熊顿还活着该多好。"
258$26289144$滚蛋吧！肿瘤君$杜望川$2015-10-28 21:54:29$2$前半段的存在感弱了点，后半段挺煽情。毛豆和恶作剧前男友两段挺搞笑。有很多感动人的点，朋友一起剪光头，还有熊顿和妈妈的对话，都挺催泪的。感觉如果去掉行尸走肉的幻想戏份，踏踏实实的煽情会更好点。白百合演技不错。听说是根据真实故事改编，那个真实的熊顿一定很了不起。
259$26289144$滚蛋吧！肿瘤君$柯里昂$2016-01-10 19:49:23$3$比片名有趣，全片笑点和泪点部分分割的很明确，脑洞得比较大才能get到，熊顿可能是白百合目前为止诠释的最好的一个角色，感动还是有的，一些想象出来的部分有漫画的味道，比较有趣，不过片子在情节设置上还是有拼凑的痕迹，鼓励下给三星吧，另，吴彦祖的花痴粉好多好多2015-7-29
260$26289144$滚蛋吧！肿瘤君$叶落深秋$2015-08-18 22:44:40$2$白百合演技真是不错 把熊顿这个可爱又坚强的姑娘演的活灵活现 感动万分 和妈妈在床上拥抱着道歉的一场戏让人看着心酸又难过 父母该有多伤心 朋友该有多难受 连最后的爱情都那么让人不舍 你不是我 你不会明白你对我的意义 你是我生命中只会遇见一次的惊喜！感谢熊顿 赐予我们力量 让我们用微笑驱散雾霾
261$26289144$滚蛋吧！肿瘤君$敲鱼粉干敲虾面$2015-12-22 15:59:10$3$和小明在家里的横店电影城看的，似乎是第一次在家里和小明看电影。看完电影走回家的路上哭到傻，不是因为剧情，而是感觉一定要好好活着，为了我妈妈……
262$26289144$滚蛋吧！肿瘤君$方洛洛$2015-10-24 19:57:52$2$最后20分钟挺好，你是我一生中只能遇见的一次惊喜。泪目~
263$26289144$滚蛋吧！肿瘤君$武侠小王子$2015-10-13 20:30:19$0$凌乱的120分钟都不如最后的8分钟来得值钱，笑中带泪，泪中触碰死亡。
264$26289144$滚蛋吧！肿瘤君$Patrick峰峰$2015-08-18 23:32:45$2$很出乎意料的一部片子，原来白百合的演技可以这么好。多样的表现形式、内敛而不过度煽情、合适的演员cast，国内也算有部够水准的小妞电影了。一下觉得国产电影也不能就统统一棍子打死，万一有惊喜了呢。最喜欢爸爸抓薯片和光头那段蒙太奇。找一个姓熊的朋友去一起看这部片子保证你会错乱半天
265$26289144$滚蛋吧！肿瘤君$华丽小艾$2020-10-05 02:19:07$2$白百何表演灵动多变是她最大的优势！
266$26289144$滚蛋吧！肿瘤君$尹天雪$2019-01-20 22:14:32$3$在里面哭的不行不行的，特别感人，很感人很坚强
267$26289144$滚蛋吧！肿瘤君$水月$2015-12-22 15:48:07$2$感动的一塌糊涂就对了
268$26289144$滚蛋吧！肿瘤君$文白$2015-08-05 12:56:46$2$其实挺不喜欢这片的，但又不可否认拍的还行，开头的贫嘴以及幻想部分非常非常讨厌，到后来又开始连续不断地煽情，给三星的原因是煽的还算到位，不让人反感。
269$26289144$滚蛋吧！肿瘤君$一只很萌的鸡蛋$2015-08-17 20:49:41$2$百合姐接片的逼格要比王小姐高太多啦，看完她们各自一部电影后我以后再也不会搞混两人噜。
270$26289144$滚蛋吧！肿瘤君$没心没肺好开心$2017-04-14 10:11:29$2$很励志的故事，因为真实，所以感人。
271$26289144$滚蛋吧！肿瘤君$Kumiko.$2015-08-16 09:12:22$6$我想我所有认识的人，不管是怎样的关系，都能健康无事地度过这一生，哪怕平淡，哪怕是一条每天抱怨的单身狗，也千万别和健康分手。
272$26289144$滚蛋吧！肿瘤君$Heidi X$2016-02-29 13:51:42$1$整体拍出一种刻意煽情绝症小时代的感觉。乐观≠智商缺陷！
273$26289144$滚蛋吧！肿瘤君$Sophie  Z$2015-10-27 08:21:34$1$想起了豆瓣上的脚脚，永远的22岁。
274$26289144$滚蛋吧！肿瘤君$Zola$2015-10-12 08:58:19$2$真实改编，真挚情感，笑中带泪，适可而止，同类型片中的翘楚，白百何完美演绎。
275$26289144$滚蛋吧！肿瘤君$维罗尼$2015-08-27 21:24:08$2$白百合演得真好 没想到
276$26289144$滚蛋吧！肿瘤君$LilKim$2015-10-16 03:16:02$2$白百合演得非常可爱，整部电影不是悲情的，而是暖暖的。
277$26289144$滚蛋吧！肿瘤君$仙女蕊$2015-08-13 22:53:49$2$白百合的演技让这部片子上了一个台阶。人生就这么一次，好好过吧。
278$26289144$滚蛋吧！肿瘤君$宅达拉压马路$2015-10-13 11:47:54$2$三星半吧，剧情很狗血，但白百合演得很不错啊~以前她演同类型的片子太多了总是不够走心，这回边讲话边掉眼泪可是用心多了
279$26289144$滚蛋吧！肿瘤君$谧蝎$2015-08-15 18:02:28$2$有笑有泪，节奏把握刚刚好，盛赞导演以及白百合的演技。
280$26289144$滚蛋吧！肿瘤君$月儿弯弯$2018-05-31 20:45:39$5$健康真的很重要。
281$26289144$滚蛋吧！肿瘤君$mOco$2016-02-14 22:55:28$3$过多的幻想片段与不真切的表演增添了观众的跳脱感；为追求戏剧效果而牺牲的真实感太不值得（即使谁都知道感情线在国产院线片中之不可必要性）；剧作上的跳跃最让我难熬（缺少铺垫，巧合堆砌，生造情节点的突兀）……PS：没有痛苦对比下的乐观都太虚假，然而，每一个癌痛患者的坚强都让人绝望。
282$26289144$滚蛋吧！肿瘤君$秋天的老酸奶$2015-08-17 00:19:44$1$感觉又不幸成为了全场唯一没哭的女性。。。
283$26289144$滚蛋吧！肿瘤君$名字里都有个狐$2015-10-19 10:57:46$2$没觉得有多好看。
284$26289144$滚蛋吧！肿瘤君$茹影随形$2017-05-12 16:30:32$2$春节后单位举行读书报告会，有个选手选的就是《滚蛋吧肿瘤君》，而这部电影中的人生百味谁能体会，对身体上多了二个不明物体而准备手术的我来讲，大概除了生与死，再没有别的大事了吧。
285$26289144$滚蛋吧！肿瘤君$圆石$2016-01-21 09:47:14$1$国内编剧还是有进步
286$26289144$滚蛋吧！肿瘤君$晒太阳的咸鱼$2015-08-21 00:27:21$2$白百合好可爱，最后很感人…
287$26289144$滚蛋吧！肿瘤君$梅林$2015-08-26 23:06:16$2$煽而不烂，搞而不恶，故事叙述实实在在，改编也没有脱离本色生活，绝对是白百何饰演的N个绝症女主中最成功的一个角色。
288$26289144$滚蛋吧！肿瘤君$梵$2015-10-24 20:28:31$2$吴彦祖老了。。。原来白百何是有演技的，把熊顿演的好立体
289$26289144$滚蛋吧！肿瘤君$小钟$2015-10-18 19:13:07$2$白百合最后演技大爆发，吴彦祖还是打酱油的感觉
290$26289144$滚蛋吧！肿瘤君$如错看了都好-$2017-06-09 18:14:53$1$还蛮喜欢这种风格的电影的  尤其是结合真实故事真实人物改编，一切的友情 爱情都发生的很自然，没有强行打感情牌。最后，吴彦祖的医生好帅好帅！
291$26289144$滚蛋吧！肿瘤君$老罗Lazzaro$2015-10-17 17:48:24$0$面对绝症的积极乐观态度是大方向，剩下的全是活在满是想象世界里少女的各种YY，结尾煽情戏还挽回一些眼泪。对白氏小妞电影依旧继续疲劳，为态度加分。
292$26289144$滚蛋吧！肿瘤君$郭大侠$2015-10-12 15:56:35$2$剧情一般，但是白百合塑造熊顿的动情之处演技不造作，结尾还是让我很感动。
293$26289144$滚蛋吧！肿瘤君$若葵倾叶$2015-10-12 19:09:10$2$不管怎样都要活的开心，很喜欢白百合这样大笑的女子
294$26289144$滚蛋吧！肿瘤君$侃侃而谈$2015-08-15 16:00:48$0$只为了熊顿，哭着看完的
295$26289144$滚蛋吧！肿瘤君$我的饭好了吗$2015-08-18 21:54:28$2$先撇开白百合的演技和吴彦祖的颜（白百合演技我觉得不差，吴彦祖的颜反正不是我的菜），整个影片让我笑出声一次（我真的不爱出声），散场后都是姑娘哭泣和擤鼻涕的声音。
296$26289144$滚蛋吧！肿瘤君$煎饼果子爱切糕$2015-10-30 23:23:15$2$看见白百合跟妈妈躺在一起那段我简直受不了，一直流泪，然后我就把那段快进了。
297$26289144$滚蛋吧！肿瘤君$白马窃玉$2020-07-08 22:21:02$1$演技和眼泪撑起了这个两句话就能说完的故事。
298$26289144$滚蛋吧！肿瘤君$利奥波德$2015-08-22 00:29:58$2$感觉白百何完全化身熊顿啊！不做作不煽情
299$26289144$滚蛋吧！肿瘤君$5633khh7523$2015-08-17 23:26:57$2$冲熊顿，给满星，白百合演的很不错
300$26289144$滚蛋吧！肿瘤君$边界$2015-08-16 17:37:49$2$有笑有泪，满分好片！看完后跟小雨姐说：“再去看《捉妖记》啊？”，小雨姐“怎么回事，喜欢白百合啊！”
301$26289144$滚蛋吧！肿瘤君$南有乔木$2020-10-04 15:52:53$2$几年前看的，现在还记得情节，以及哭得很惨
302$26289144$滚蛋吧！肿瘤君$海阔天空$2015-08-20 00:13:22$2$一个真实的悲剧，靠着白百合精湛的演技，添色不少。题材过于压抑，不会给5星
303$26289144$滚蛋吧！肿瘤君$熊阿姨$2015-08-25 23:25:46$2$回来搜了半天熊顿的信息，感叹造化弄人，这是个值得被记录的故事。白百何演技还是有点做作，前半段的表演太让人出戏了，吴彦祖也是年老色衰，整个脸明显地松弛了。
304$26289144$滚蛋吧！肿瘤君$樂$2016-01-18 00:15:17$2$能把樂觀拍成傻逼也是難得。結尾救場，勵志的還是熊頓本人。
305$26289144$滚蛋吧！肿瘤君$墓岛GRAVELAND$2015-10-16 22:17:34$1$"从漫画一般的表现手法，还有脑洞大开的意识流。由此可窥导演力求拍摄出一部脱胎于“小妞电影""却不愿和市场上的同类型烂片同流合污，但也只能做到这一点，奥斯卡则玄虚之至，虽然熊顿的乐观感染着观众，却暴露出了导演对于医学的一无所知。熊顿的肿瘤并没有滚蛋，然而再一次与奥斯卡无缘却是不争的事实"
306$26289144$滚蛋吧！肿瘤君$20thCenturyFox$2016-03-21 01:45:42$3$"白百何太装太轻佻，吴彦祖有点僵有点暖。两处值得回味：一处是熊顿最后一次在病房跟梁医生谈心 她说""如果我不是有病 你懂的""""我懂什么?...我懂我懂"";一处是熊顿葬礼vcr她慌张又激动地说我还没挑遗照呢!片方选白百何演这个角色是对的,她观众缘太差不太容易引起同情,看完了不至于难受。"
307$26289144$滚蛋吧！肿瘤君$乱.$2015-08-16 14:15:14$2$完全控制不住哭成傻逼！最后和妈妈在病床上依偎那场戏以及最后葬礼上的vcr 真的 白百合演技燃爆！
308$26289144$滚蛋吧！肿瘤君$Jabbahy$2017-02-09 13:14:08$1$光头！光头！
309$26289144$滚蛋吧！肿瘤君$十个斗的眼窝浅$2016-01-13 21:14:50$0$白发人送黑发人。妈妈和女儿告别那场戏感动哭了。白百何哭戏真不错。吴彦祖老了。
310$26289144$滚蛋吧！肿瘤君$达文西$2015-08-20 23:43:04$2$如果背景音乐少一些会更好 除了白百合真找不到第二人选 一定要做一个有趣的人，然后有趣的活下去
311$26289144$滚蛋吧！肿瘤君$喜悦之地$2017-01-25 21:02:58$1$看到抄袭超杀女走廊大战那一幕真的被雷翻了
312$26289144$滚蛋吧！肿瘤君$闪闪发光$2020-10-12 23:28:37$3$快进了好多搞笑剧情。一路哭到尾。白百合演技高光。愿所有人的健康平安。爱这个世界。
313$26289144$滚蛋吧！肿瘤君$乌龙茶$2015-08-14 03:11:26$5$熊啊，你的男主角是吴彦祖！
314$26289144$滚蛋吧！肿瘤君$小黑屋进行曲$2015-08-15 18:39:46$2$为了爱自己的人也要努力活下去啊。至少在看电影的时候对人生没那么绝望了。熊顿在天有灵知道吴彦祖演她的医生会不会开心的转圈圈啊。餐厅撕逼出门下雪小时代即视感。
315$26289144$滚蛋吧！肿瘤君$劈马喂柴$2015-08-24 01:34:00$2$2015.8.23 @上地橙天嘉禾
316$26289144$滚蛋吧！肿瘤君$已注销：$2015-08-15 22:40:22$5$我本来以为这是部励志片 没想到是部喜剧爱情片 虽然哭得惨惨的 但是我还是要说 感动有余 剧情分布不均 剪辑奇怪 就酱 （我害怕如果真的有那天我爸爸也会到超市里拿着乐事哭 这个细节把我哭崩了）
317$26289144$滚蛋吧！肿瘤君$momo$2016-07-26 16:57:24$2$五星给曾辉煌于这个世界的熊顿
318$26289144$滚蛋吧！肿瘤君$小阿giao$2020-07-10 23:59:08$2$听名字以为是喜剧，结果看到最后哭的惨惨的，白姐演技可以的，复出吧白姐！
319$26289144$滚蛋吧！肿瘤君$蜷蜷$2015-08-14 20:17:13$1$哭哭笑笑。人生的意义。
320$26289144$滚蛋吧！肿瘤君$璃茉$2020-03-26 21:55:25$2$哭的稀里哗啦的，主角演技很好
321$26289144$滚蛋吧！肿瘤君$GIVIND$2015-08-13 16:15:18$2$不错的表演，最后的谢幕，温暖又戳中泪点，熊顿已经成为一种精神。怀念，祝福，祈祷。//特效虽多但是效果不錯，白百合是有演技的，台词念白彰显功力，比同时代的某某些人层次高多了。虽然这么说不地道，但是有必要点个赞的时候一定不要客气。
322$26289144$滚蛋吧！肿瘤君$ʕ ᵔᴥᵔ ʔ$2019-01-21 14:15:25$3$题材很励志，但是白百何这个角色的性格又是似曾相识
323$26289144$滚蛋吧！肿瘤君$禅心月$2020-10-06 03:28:24$1$补看完后来补评价，很不错的是憬。真的喜欢白百何。她是天生的演员。
324$26289144$滚蛋吧！肿瘤君$张苑希$2019-10-05 22:03:58$0$女主那些天花乱坠的韩剧、美剧脑洞挺搞笑的，依旧是白百合驾轻就熟的轻喜小妞电影，爱情线点到即止不似前两作（《分手合约》、《被偷走的那五年》）那么狗血淋头，家庭线和友情线刻画的生动细腻，女主形象也比较接地气不失真。ps.女二夏梦在电影里的镜头也太像小宋佳了，脸盲症又双叒叕犯了。
325$26289144$滚蛋吧！肿瘤君$流公式$2020-10-07 20:20:47$1$多浮誇的東西白姐都可以演得合理，快點回到神壇吧姐！
326$26289144$滚蛋吧！肿瘤君$我真的很可爱！$2020-10-04 22:26:36$3$被热搜勾起回忆了，又看了一遍，没有想象中那么煽情，但是和爸爸妈妈的片段也太太太好哭了，熊爸刚刚知道病情在超市摸着薯片哭，最后熊顿在病床抱着妈妈说对不起，真的真的，白姐演技太好了，共情能力好强
327$26289144$滚蛋吧！肿瘤君$\t^h/$2015-10-18 17:55:42$0$白百何演得不错，吴彦祖还是挺帅的。前面频繁变画幅好像没什么必要，一些想象片段还有未尽人生计划拍得效果都有点廉价…… 真实故事很感人，可惜电影没做出运用漫画原作的尝试。
328$26289144$滚蛋吧！肿瘤君$爱杀猪的何志武$2015-08-14 21:06:59$2$两边的女生都哭了。白百合演技太赞。
329$26289144$滚蛋吧！肿瘤君$少玩手机$2020-05-23 01:05:39$2$喜欢白姐😍彦祖好帅😍
330$26289144$滚蛋吧！肿瘤君$Dako$2022-08-26 19:12:14$3$看电影的时候觉得熊顿好幸运，有一群那么好的朋友，有一个那么帅的主治医师。看完觉得自己也很幸运，还健健康康平平安安地活着。
331$26289144$滚蛋吧！肿瘤君$爬行隧道$2015-08-19 18:07:39$2$大概哭了6次，决定好好活着，今晚先大吃一顿！
332$26289144$滚蛋吧！肿瘤君$身边身边$2015-10-27 12:52:42$1$人生可能就是如此冰火两重天，既可以笑得无比开心，也可以伤心欲绝。这部电影给我最深的体会就是开心的时候要努力让自己更开心，不开心的时候只有坦然面对。在命运面前无力抗争，因为有些事情是在努力也做不到的！
333$26289144$滚蛋吧！肿瘤君$冲啊$2020-10-04 14:07:12$2$很久以前在电影院看的，今天看热搜突然想起来，女主向她妈妈说银行密码的那一段太感人了，白姐 演得也到位
334$26289144$滚蛋吧！肿瘤君$隔壁家的桃太太$2016-02-25 18:20:38$1$导演能力有限，编剧人生阅历有限。白百何片尾独白演技炸裂，傲视群花，所以不管这个人怎么素质差，未来都有她的市场。
335$26289144$滚蛋吧！肿瘤君$苹果碳酸水$2015-08-16 00:11:40$0$吴彦祖这么帅为什么不看！
336$26289144$滚蛋吧！肿瘤君$脆皮仙人球$2015-08-24 20:52:39$2$白百合演技爆棚（TAT ）Always look on the bright side of life.
337$26289144$滚蛋吧！肿瘤君$小锡兵$2015-08-22 00:16:48$0$夸张过度，部分三俗，没有意外，但很感动。掉了好多眼泪。亲情，友情，恋情，爱与被爱最重要。你对于我，你的意义。喜欢爸妈的部分，还有消毒液和护手霜那一段。
338$26289144$滚蛋吧！肿瘤君$小M$2015-11-22 18:43:18$1$看完电影看了看熊顿的微博 觉得电影还是用心了的 很多细节 比如医院门口吃烤地瓜。。还有mj行尸走肉的细节什么的 珍惜生命吧
339$26289144$滚蛋吧！肿瘤君$芊颖$2018-10-31 00:32:45$2$"白百何的演技我还是服的
很感动，准备有空二刷"
340$26289144$滚蛋吧！肿瘤君$古尔齐亚$2015-08-14 18:56:39$1$很好地运用了电影语言，是现在为数不多的剧本一般但用电影语言表达到了极致的片儿
341$26289144$滚蛋吧！肿瘤君$环山村人$2020-10-05 02:18:24$3$很感人的励志悲喜剧，风格独到。白百合的表演很到位，看来熊顿没选错人。
342$26289144$滚蛋吧！肿瘤君$桃梨.キララ$2015-10-18 10:17:58$1$这样去奥斯卡？一分给的是吴彦祖的演啊
343$26289144$滚蛋吧！肿瘤君$望潮$2015-08-13 22:52:47$2$熊顿说人不能因为害怕失去而不去拥有，对吗？嗯！在天灾人祸、生老病死之前，好好活，使劲儿活，尽力活得有趣吧。一个向死而生的故事被真实故事原型人物赋予了一种暖心的光环，基调哀而不伤，让观影体验微妙且动人。就电影本身而言，精良之作，诚意满满，白百何超自然表演加足一颗星。
344$26289144$滚蛋吧！肿瘤君$momo$2015-10-14 00:40:07$0$看了很难过。
345$26289144$滚蛋吧！肿瘤君$夜帘墨影$2015-08-14 20:32:10$2$没想到还真的被这部片子给整哭了，这可能是白百合最出色的一次演出，几位配角也都可圈可点，这样一部电影是没有必要从技术层面过多讨论的，带上自己的亲人朋友去电影院感动一次吧。对了，我怎么能不提我家祖哥，怎么这么帅！
346$26289144$滚蛋吧！肿瘤君$匆匆$2016-01-10 15:45:17$2$白百合的演技很棒，很多人都是为了看她才看这部影片。这是一个真实又令人感动的故事，不乏幽默充满欢乐，结尾催人泪下。我们每个人都要坚强面对困境。
347$26289144$滚蛋吧！肿瘤君$盘子$2016-01-25 02:12:28$1$这样的题材，剧作就不仅是分寸问题，而是要小心毫厘——我翻了一下微博，熊顿父母是认可的，所以也许是我矫情了。一星给白百合的表演，一星给吴彦祖的帅。
348$26289144$滚蛋吧！肿瘤君$天马星$2015-08-23 11:55:46$0$@2015-08-23 11:55:46
349$26289144$滚蛋吧！肿瘤君$KFCharlie$2015-08-06 11:52:19$2$看了首映。题材超五星，卡司四星，表演四星，剧本三星，拍摄三星，笑点二星。整体三星半。
350$26289144$滚蛋吧！肿瘤君$傻乐的猫$2018-07-20 20:44:10$0$其实当亲人离去的时候往往是不哭的，甚至也没太大情绪波动，因为人的理智会占上风命令自己情绪稳定，只有看电影可以尽情大哭因为这时候的情绪发泄其实很安全，反正是电影嘛。
351$26289144$滚蛋吧！肿瘤君$DEPARTURES$2015-08-09 17:03:47$3$感觉拍成了烂俗的小妞喜剧片，全程花痴幻想，本来对绝症片感觉就一般，星运里的错看着没啥感觉，但一比高下立分，比起星错和抗癌的我，这片就煽情过度，男主刻画太平面，虽然吴彦祖还帅，后面画风转变生硬，这是一个很好的真人真事题材，熊顿是一个很乐观的好姑娘，但这些远远不能让肿瘤君成为一部好片
352$26289144$滚蛋吧！肿瘤君$Naza$2015-08-13 21:09:46$2$看完给我妈打了个电话，我妈说我都二十多的人了应该学会照顾自己身体，我一下子就不服了，我明明才20好吗，什么叫20好几？女主挺贫，跟我跟我妈之间还挺像的，不过我妈是用我生日当她银行卡密码..
353$26289144$滚蛋吧！肿瘤君$Q。$2015-09-01 10:43:00$3$“死亡只是一个结果，怎么活着才是最重要的。”因为这部电影，开始有些喜欢白百何了。★★★
354$26289144$滚蛋吧！肿瘤君$西区苛刻$2020-05-23 01:33:59$2$挺好玩的小妞电影
355$26289144$滚蛋吧！肿瘤君$面白饭Θ☉Θ$2015-08-19 03:00:54$0$哭成狗，特别是离开家这么远，好想爸妈(´•̥̥̥ω•̥̥̥`)
356$26289144$滚蛋吧！肿瘤君$VivianS$2021-11-14 07:10:16$0$韩延可以的，白百何演技是真的不错，觉得分数偏低了，至少也得7.5分以上吧，难得最近看哭的片子
357$26289144$滚蛋吧！肿瘤君$少女N$2016-02-09 23:37:24$1$“生命虽短，爱却绵长”，真的非常非常羡慕熊顿这么乐观和积极的性格，她让能与她相遇都变成了人生中美好的事情，以及吴彦祖大帅哥来演梁医生了，开心极了吧！
358$26289144$滚蛋吧！肿瘤君$朱熠$2015-08-17 10:50:58$0$有笑点，白百何还行，但整体乏善可陈，最要命的是看上去很假，戳不进心窝。
359$26289144$滚蛋吧！肿瘤君$xx@百年孤独$2015-08-18 21:15:00$0$最后的泪点，影院里偷欢。8.18 with sky
360$26289144$滚蛋吧！肿瘤君$莫道桑榆晚。$2020-05-11 17:48:30$2$我爱白小妞！娱乐圈真找不出这一款了，希望这姐能尽快走出风波，继续拍戏。
361$26289144$滚蛋吧！肿瘤君$木风$2017-04-05 00:46:44$2$半夜一个人在电脑前面哭到不行。每个人都应该有熊顿那样的态度吧。她就像太阳，明媚温暖又肆意。连葬礼，都要自己主持，不要哭声和纸花。唯一一点遗憾的是吴彦祖的口音有些出戏。
362$26289144$滚蛋吧！肿瘤君$I can fly$2016-01-12 22:25:38$0$人不能害怕失去就不去拥有
363$26289144$滚蛋吧！肿瘤君$元気一杯咪噶酱$2015-09-02 21:42:33$0$各种泪流满面
364$26289144$滚蛋吧！肿瘤君$Deborah$2015-10-27 15:15:38$1$乐观啊搞笑啊其实都还好，就是一到牵涉父母的情节就彻底泪奔了，最受不了开头过生日给妈妈打电话和最后病床上依偎着打毛活儿的妈妈说“妈妈对不起。下辈子还做你女儿”，这种事情，父母是最受不了的，如何能够扛过去啊。白百合一贯这种没心没肺的乐天派角色虽然大同小异，但还是挺讨喜的。
365$26289144$滚蛋吧！肿瘤君$bay135$2015-08-16 10:52:19$1$三星半。。还不错，有些地方有些电视剧的感觉，刚开始有些特效也比较出戏。。但是也能拉的回来，人物特点鲜明，笑料不雷，细节不错，最后还能做到温情感人。。很不容易了。
366$26289144$滚蛋吧！肿瘤君$WIKI魏$2016-02-29 16:40:15$1$整个剧最美的其实是李媛
367$26289144$滚蛋吧！肿瘤君$Fornever$2015-08-16 22:56:26$2$把这种题材的煽情力度拿捏好，需要一个善良的团队。
368$26289144$滚蛋吧！肿瘤君$Wonder$2017-02-09 01:39:42$1$这个冲奥真是想多了。
