$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26260853$速度与激情8$阿呆同学$2017-04-12 00:08:19$1701$妈的杰森斯坦森好帅啊好帅啊好帅啊好帅啊！！ IMAX太酷炫了！
1$26260853$速度与激情8$虾坨坨艺仔$2017-04-12 21:09:29$1281$喜爱大场面的朋友们千万不要错过这部汽车版的釜山行。
262$26260853$速度与激情8$影呆$2017-04-20 22:37:21$1$各种family, family, family...硬生生把飙车大戏拍成保守的直男角度的家庭宣传片
263$26260853$速度与激情8$用户9736$2017-04-15 19:23:15$3$极限特工的阴影已经笼罩了所有范迪塞尔参与的片子 所有
264$26260853$速度与激情8$晨暮$2018-02-23 12:30:37$12$用一个星期时间看了之前七部，然后去影院看的第八部。还行吧
265$26260853$速度与激情8$韧勉$2017-06-12 07:46:53$1$车开的简直玄幻，飞车神剧。
266$26260853$速度与激情8$我是美工$2017-04-18 02:54:57$2$速8，太烂了，大烂片。演技面瘫，节奏拖沓，剧情扯淡，动作老套，屌丝幻想，一钱不值。感觉这片就是迎合第三世界二三线城市里那些对跑车，美女可望而不可及的屌丝心理。没啥出奇冒泡的地方。赛隆在里面的拌像也丑得要命。一些耍酷摆炮丝的慢动作镜头也让人尴尬得不忍直视。
267$26260853$速度与激情8$生人回避$2017-04-20 00:12:56$2$失望至极，满篇的槽点，迪塞尔不能说做着制作人，就完全冲着《XXX3》的套路一直抄袭，飞机上的动作戏完全跟甄子丹如出一辙，还有强行洗白和推倒重来的梗，还有那多达一半篇幅的叨逼叨和无止境的卖弄感情路数，实在硬伤，真的腻歪。
268$26260853$速度与激情8$|$2017-04-17 16:31:34$2$太中二了
269$26260853$速度与激情8$能工巧匠沙门哥$2017-04-15 21:21:30$1$you either like it or not. But please don't *think*
270$26260853$速度与激情8$三七莲华$2017-05-03 22:25:27$2$居然还没下映，吃完饭就顺便溜去看了看。真是诚实的特效商业片，大部分时间都在认真地烧着钱，每一秒都坦诚地散发着金钱的味道。至于剧情？这种狗屁不通的逻辑讲什么剧情？看看Shaw兄弟酱油那么几分钟就够了啊。
271$26260853$速度与激情8$张苑希$2019-04-17 17:53:30$0$郭达强森冰释前嫌携手越狱救世界，多米尼克忍辱负重帮衬反派喜当爹。僵尸车如雨点般坠落，俄罗斯冰面酷跑滑行，导弹击爆了核潜艇，主角团外挂依旧牛逼。再次感叹好莱坞商业大片里的反派真的是吃饱了撑着，有钱有闲满世界游玩买买买不好么，非得变着法儿的毁灭世界。布莱恩·托雷多，如果上集是完结篇多好。
272$26260853$速度与激情8$阿念$2017-05-20 23:50:09$1$那哥们掉海里了，起来一点水珠都没有？
273$26260853$速度与激情8$红酒白酒和啤酒$2017-04-20 17:08:32$2$从哈瓦那开着着火的车子比赛开始，这第八部就开始了毫无逻辑性的胡编乱造之旅。坏人可以变成好人，好人可以变成敌人，敌人最后都是伐木累。上天入地，胡天黑地，一切物理、逻辑、科技的都不起作用，唯一起作用的就是大！场！面！
274$26260853$速度与激情8$口水软之助$2017-05-01 21:19:22$1$光头好多！动作场面看着挺爽的~僵尸车好搞笑~~买车不能买兰博基尼啊 除了样子好看啥都不行！！小baby的名字戳泪点&gt;  &lt;
275$26260853$速度与激情8$山水田园$2021-08-04 21:43:53$1$"二刷。""接盘侠""格雷目测已尽力，但他确实不懂""速激""，也并不适合A级制作。（当然，他更不懂""黑衣人""）尽管动作/追逐戏某些调度颇有水准（纽约中段，监狱暴动），大场面在""质""未提升（也很难提升）的前提下愈发""量""化堆砌；尤其长达32分钟的压轴战，繁多的人物与程式化的转折交错，形成单场构建的明显臃肿感。塞隆的反派亦显得做作，不失为一大败笔。纵然进行系列前所未有的""黑化""与""洗白""，都无法与前几部纯粹的刺激与感情流露相提并论；为续而续的野心未减，故事拼死挤出的反转也瞬间被剥夺悬念感。收在第7部的确是最明智的，问题不仅关乎编导创意的峰值，更在于IP本身价值的极限。"
276$26260853$速度与激情8$苏乏$2021-08-14 11:44:04$0$这鬼一样的分分合合可太艹了
277$26260853$速度与激情8$viennavirus$2017-12-01 14:33:25$0$反正都科幻好几集了，各位英雄怎么还不去开X-Wing？
278$26260853$速度与激情8$zhang 2nd$2017-05-20 13:58:17$0$塞隆
279$26260853$速度与激情8$与碟私奔$2018-09-06 20:17:03$0$"【补標】系列的的强弩之末

*【2018/9/9】高清满屏版+公映5.1国配(136分钟版本)
"
280$26260853$速度与激情8$凛冽的阳光$2017-08-12 06:27:28$1$都一次对潜水艇有了一个直观的大小印象，动作场面确实又上一级，同时，剧情也不白痴，很难得很难得
281$26260853$速度与激情8$悍客.罗$2017-08-27 11:59:09$1$砰砰砰，啪啪啪，噗噗噗
282$26260853$速度与激情8$你的盒饭掉了$2017-05-22 01:35:57$0$不。。。好。。。。看
283$26260853$速度与激情8$顗礼$2017-04-15 23:24:33$6$脑残剧情➕败于话多的反派，价值观输出都是狗屎，Bug多到没眼看，动作场面也只会让人审美疲劳，还有恶心的特供3D，然后，范光头把自己当超人拍了是吗？呕
284$26260853$速度与激情8$Joy R.$2017-04-14 21:49:47$9$杰森斯坦森帅爆！跟小宝宝的那段好逗
285$26260853$速度与激情8$Tom$2017-04-14 22:30:47$3$从开头燃到结尾，这种片子就不需要细抠剧情了，走肾不走心，等下一部吧
286$26260853$速度与激情8$米兎愛唱片$2017-05-16 00:04:12$0$搞笑的活都留给英国佬，老美全秀💪去了，这个系列拍的越来越爽了
287$26260853$速度与激情8$Dr.Ray$2017-04-16 14:16:36$3$7分。文戏滑坡到出现了三观不正、反派智商掉线以及大团圆等套路，砸钱砸到世界大战也没让感官刺激提升多少，倒是塞隆的冷艳、郭达的嘴炮以及女王的客串更为亮眼。遥控车那段脑洞爆炸但还可以玩的更开，多半颗星给对这个系列这么多年的爱，以及最后还是戳到HIGH点的冰上大战。
288$26260853$速度与激情8$思路乐$2017-04-15 22:31:56$1$"【C－】一如既往的大场面，但前半段明显看出编剧想要玩一些新套路，结果故事和内核简直就是一塌糊涂；但没想到后半段的各种反转和高潮又把这个岌岌可危的故事圆了回来。看来速激系列还能延续好长一段时间。
PS:你们就这么把郭达洗白了？他杀了韩耶！！！！"
289$26260853$速度与激情8$披着人皮的鬼$2018-04-19 10:08:37$1$赶紧纳入变形金刚宇宙吧
290$26260853$速度与激情8$UrthónaD'Mors$2017-04-16 18:33:49$1$愫妒、与基情
291$26260853$速度与激情8$深夜声噎$2017-04-15 22:33:08$2$为什么一定要拯救世界
292$26260853$速度与激情8$豆瓣酱$2018-01-04 00:11:11$0$逻辑薄弱，动作来补
293$26260853$速度与激情8$daangel$2017-07-12 14:59:47$1$味还是那个味，也还是一流动作片，天降车雨和潜艇都“豪气”，五马分车有“技巧”。就可惜主旨还是炒冷饭，有惊喜的冷饭。
294$26260853$速度与激情8$Bill$2017-04-16 08:23:56$2$把之前两部的反派又拿了出来，形成了一个“连环套”的效应。三个光头一台戏。
295$26260853$速度与激情8$盔酱兮$2017-04-16 01:01:17$1$热追踪导弹炸不死一辆车但是能炸死一艘核潜艇。无下限洗白shaw兄弟就是为了无下限卖萌（此处确实略萌），感觉看了一场假的系列电影。对我来说值回票价的还是最后那一下，布莱恩多米尼克。
296$26260853$速度与激情8$獅$2017-04-16 00:04:59$3$妈呀哈哈哈哈，roman笑点担当，想看郭达一家的外传，感觉妈妈是个很厉害的人！！
297$26260853$速度与激情8$兔安叽$2017-07-22 17:03:03$1$完全看不进去，要是去电影院可能得睡着。特效的视觉刺激就像吸毒，一开始爽，慢慢就会麻木，只能一直换更重的。赶紧别拍了，环球有这钱弄几个好剧本。
298$26260853$速度与激情8$林||我们谈什么都像谈死！$2017-04-18 08:46:42$1$荷尔蒙电影，看的时候爽，看过发现啥也没有。哦，有个小baby好乖，然后妈妈被塞隆杀了，爸爸于是带着他和小情人愉快地生活在了一起。
299$26260853$速度与激情8$鸣胖胖$2017-05-01 11:30:37$3$这世界已经沦落到要靠几个开车的来拯救了。
300$26260853$速度与激情8$xīn$2017-04-16 13:22:02$0$万达辽宁盘锦店2017.4.15.7:40pm
301$26260853$速度与激情8$Wongwongwong$2017-04-22 23:54:23$0$超乎预期
302$26260853$速度与激情8$nikki$2017-06-09 18:10:12$0$可能因为没在电影院看吧，前半看得我一直在走神，只知道撞来撞去的，后半还好一点，当然笑点还是挺好笑的。另外找的BB很可爱嘛。
303$26260853$速度与激情8$林火叶泪$2017-04-18 14:05:10$1$无需走脑，就是飙！就是燃！
304$26260853$速度与激情8$零度倾斜$2017-04-14 20:15:24$1$从一开始把它当学车励志片来看，到现在只要推续集就去看，其实我不算这系列的粉丝，主要是和死党约定的习惯👌  PS：大数据时代，《速度与激情8》终于也开始玩信息战了，所以，电影里的黑客塞弗系统真的实现了吗？ PS又PS：塞隆女神气场秒杀范老大（反正我一直对老大无感
305$26260853$速度与激情8$瓜。相信这个世界很变态。$2017-04-15 19:44:33$1$荷尔蒙电影。
306$26260853$速度与激情8$大白汐$2017-06-03 11:02:06$2$我不在了你就马上去搞女人，还搞出个孩子，如今你为了孩子又背叛我，最后你告诉我我还是最重要的还带着一个孩子，你特么到底想让我怎么样，突然就喜当妈我也很绝望啊，还得保持微笑
307$26260853$速度与激情8$铃铛$2018-03-08 21:33:20$18$所谓视觉冲击也抵不过毫无逻辑的剧情，确实是审美疲劳了。
308$26260853$速度与激情8$Hangain$2017-04-14 16:52:35$6$这桶爆米花我爱吃，除了范迪塞尔迷人的眼神，引起事端的小屁孩儿才是大Boss，超可爱。除了飙车就属强森和郭达，通缉令11号和 罗曼的搞笑斗嘴了，还有音乐超棒，僵尸车街头追逐大战场面燃爆了。总之，语无伦次后就一句话：这部电影超棒。已计划二刷。
309$26260853$速度与激情8$YQY-Vader$2017-04-30 23:39:35$1$搞错没有，老大叛变真的奇怪，完全经不起推敲。最关键的反转就那么糊弄过去了，逗我呢？台词一句比一句蠢。这个系列已经完全沦为砸钱的科幻片。还是最喜欢第五部，第五部之后真的一部比一部差。
310$26260853$速度与激情8$雪$2017-05-25 06:55:38$0$碎車機
311$26260853$速度与激情8$饥饿艺术家$2017-04-25 08:04:13$3$那几个大块儿头憋着气儿说话的死出吧
312$26260853$速度与激情8$豆瓣酱|心营造$2017-04-22 00:27:15$2$我的第一次4DX的体验，感觉十分糟糕，都怪电影前一口干了的牛奶，还有电影中座位不合时宜的晃动……让老子无法被带入剧情，还差点造成晕车般的呕吐……电影里的那个谁谁谁，被误会叛变的大正派，你跟大家好好沟通一下会死啊？愚弄队友的感觉是不是很爽啊？
313$26260853$速度与激情8$薇羅尼卡$2017-04-19 10:29:13$2$我塞隆女神美如画~！看得弯的不行不行的。场面越来越大了，玩的越来越high了，下部到月球应该没啥问题吧？（PS：这片能不看3D就不要看~！如果真要看3D的，一定不要看前排的，来自血一般的忠告！
314$26260853$速度与激情8$水瓶座女孩$2017-04-18 08:24:13$1$见过喜当爹的，没想到还特么可以喜当妈！PS：最后的神起名，也是醉了。。。
315$26260853$速度与激情8$第七大陸$2017-04-15 14:09:40$2$imax来看,真.大片，不过啥时候算个完啊
316$26260853$速度与激情8$ibelieve$2021-05-21 23:37:03$0$又长又无聊…
317$26260853$速度与激情8$hsupernova$2017-08-03 22:38:14$1$车联网丧尸
318$26260853$速度与激情8$千与千桐$2017-04-17 14:34:29$1$全部美国好莱坞直男元素放在一起 逼到极致 就会给大家带来一种奇异的快感
319$26260853$速度与激情8$鸟小姐希洛$2017-10-11 22:23:41$1$竟然是查理兹·塞隆！！没认出来……
320$26260853$速度与激情8$Lonely$2017-07-06 04:02:35$0$7.0/10 分。爆米花就该这么火爆热闹！居然没有彩蛋，却有导演加长数字版。杰森·斯坦森在飞机上的枪战，绝对是抄袭 奇洛·李维斯 的《疾速追杀》。。。
321$26260853$速度与激情8$Strelizeia$2017-04-19 10:02:00$0$背景音乐和跑车还是各种燃
322$26260853$速度与激情8$樱夏枫雪$2017-04-22 18:21:56$0$只能说车像是不用钱般一辆辆给砸坏~
323$26260853$速度与激情8$永延散人$2017-07-07 07:59:56$1$除了场面大 完全没了逻辑 也没有街头飙车的快感 根本不知道团队为什么活下来 又为什么每个人都比复联还生猛。。。郭达演的不错但是杀了家人的仇就这么莫名其妙的抹去了。。。han被弄死也就算了连位置都被抢了。。。
324$26260853$速度与激情8$一瓶子蕨$2017-04-16 17:47:04$3$拿著拍mv的態度拍電影嗎⋯⋯
325$26260853$速度与激情8$bay135$2017-05-07 18:22:59$1$三星半。。场面合格的娱乐爆米花大片。。但绝对不是出色bug越来越多
326$26260853$速度与激情8$猪头妖怪$2017-04-16 19:22:30$2$在统治了国际象棋和围棋之后，人工智能想要完全替代人类还有很长的路要走，不过大可把取代《速度与激情》系列的编剧作为一个可行的起点。
327$26260853$速度与激情8$炘少$2017-04-18 12:40:48$0$OK啦，你仲想点~~~
328$26260853$速度与激情8$杨小歪$2017-05-01 23:10:36$1$一口一个伐木累 还以为再看跑男 呃 也是跑男 没毛病|| 三观太歪 在论坛里dom准是渣男典范||人在衣装马在鞍 塞隆Mad Max里 嫩脏也不好看 这下梳了个脏辫儿 还挺好看||场景还行 多给一颗星
329$26260853$速度与激情8$摩诃曼珠沙华$2017-04-16 16:43:23$0$炫是真的很炫啊！虽然不知道在说什么，但是看上去都很厉害！
330$26260853$速度与激情8$超级英雄发骚友$2018-09-08 22:53:06$1$阅！难以置信该系列已经拍到第8部了，持续保持旺盛的吸引力让人难以置信，这次轮到了光头范迪塞尔来被家人拯救，还带上了大美女反派塞隆，另外郭达的洗白有点让人尴尬。。由始至终所谓的“家庭之上”就是狗屁，洗洗睡吧。这次场面确实够大而且一点儿也不难看，视觉刺激相当优秀，配乐也特别有感觉，没有去电影院看实在是太可惜了。看来缺了保罗沃克未尝是一件坏事，戏份全搁巨石强森和郭达身上还是可以接受的，动作戏绝对是一大亮点，看他们打架就是过瘾！其实有点烦腻那个黑人光头了，希望下一部还有的话把他炒了吧，那个IT黑人也可以T了，留黑人IT女就行。终于暂时把素鸡系列看完了，希望第九部或者外传能尽快面试，打：8.0分。
331$26260853$速度与激情8$水脉$2017-05-01 10:23:53$0$出人意料的不错。故事线过关，反派（查理兹塞隆）够硬，少了无脑撞车，多了不少笑料。郭达斯坦森的戏份大大增加，会成为常驻？
332$26260853$速度与激情8$梅岭藏殊梅长苏$2017-04-20 09:20:54$2$屎一样的剧情，都说市场决定方向，可特么黄金时间排片全是速八，你要怎么选？老怪观众口味泡沫快餐，特么自己电影拍得烂还要怪观众。
333$26260853$速度与激情8$熊仔面$2017-04-15 16:16:29$0$真心无聊，这个系列快完蛋了
334$26260853$速度与激情8$腿仔仔🍖$2017-04-18 00:57:59$3$昨晚看的午夜场，半夜一点多快两点，前排居然有人带着一个四五岁的小孩去看，不过小孩没闹，因为已经熬不住睡着了……然后孩子爸爸全程在用手机看人民的名义，孩子妈妈在刷朋友圈……我好方。说回电影，一场前女友意外怀孕引发的血案……
335$26260853$速度与激情8$得儿然$2017-04-14 23:41:33$1$洗白白！前作大BOSS们统统是警察！服不服？！？！
336$26260853$速度与激情8$中華慕斯妹$2017-04-28 14:15:08$1$全程开挂依然
337$26260853$速度与激情8$费小丑$2017-04-14 23:22:35$3$有点鸡肋。
338$26260853$速度与激情8$面白饭Θ☉Θ$2017-04-16 18:32:11$0$想搞信息战就会显得剧情跟不上，特别是剪辑，前面有一半的戏份都觉得好跳跃。小婴儿真是萌死了，最后起的那个名字意料之外但也是情理之中。反正还有第九部吧，有也会去电影院看的。
339$26260853$速度与激情8$软蛋黄$2017-04-26 14:31:59$0$最亮点当然是杰森斯坦森，看着以前的反派回来联手，肯定会满足粉丝期待。僵尸车，核潜艇的想法挺好，场面越做越大，下次再玩要非得玩到太空里去。
340$26260853$速度与激情8$枪杀杰西詹姆斯$2017-04-24 22:00:47$1$也算在速8睡过的人了，就差叫激了！退场门口吃个冰淇淋爽一爽。。。
341$26260853$速度与激情8$Wonder$2017-07-02 14:50:05$1$强行黑化，强行洗白，强行喜当妈，强行伐木累……全片影响最深刻的镜头是中国移动和QQ的广告==
342$26260853$速度与激情8$Lucida$2017-04-23 15:52:35$2$被友人拉过去看的，没看过前七部，对这种肌肉男和飙车无感。为了救家人牺牲这么多无辜的生命真的好吗？看着小北鼻萌萌的大眼睛我想的是被强当妈的女主知道私生子该有多难过🤷♀️友人说我get的点太奇葩了还是不懂我👋
343$26260853$速度与激情8$光年‖影视歌三栖民工$2017-06-10 04:22:15$2$丧逼脸和肌肉混搭出来的空洞的傻逼
344$26260853$速度与激情8$面面🌈$2017-04-17 17:04:53$1$没新意，没逻辑，热血直男最爱的电影，还是想被巨石强森强奸。
345$26260853$速度与激情8$张博$2019-05-13 22:17:10$1$为了救家人，让全世界陷入核战争危机，一时间背叛了所有的朋友，也是没谁了。
346$26260853$速度与激情8$淡水无香$2017-04-15 15:14:25$7$我也能当编剧啦！
347$26260853$速度与激情8$==$2017-05-11 23:20:18$0$说不看还是看了……爱上了郭达
348$26260853$速度与激情8$楚大刀$2017-04-12 22:52:36$3$为什么最帅的男星是郭达！能找点帅哥美女吗！还要吉赛尔！
349$26260853$速度与激情8$猫语猫寻$2017-04-25 11:53:29$2$挺热血的，但还是更喜欢7，老温果然让后面的导演很难办，开车穿楼开车跳伞那两场戏至今让我印象深刻，这部被潜艇追和遥控车群的两场戏很棒，郭达身手真不错。结尾一家亲差评。对于F 的水平来说，这部太平庸了。每一个大导演都要玩一次速度与激情，不知道什么时候轮到李安！下部该谁玩了？
350$26260853$速度与激情8$高歌$2017-04-15 10:51:02$6$你告诉我第一部里的一群小混混，怎么就变成第八部里的超级特工了？ 一部普通类型片变成大制作，跟007和碟中谍也没有区别了。
351$26260853$速度与激情8$Enjoy🌈Rachel$2017-04-15 23:10:34$0$没看过1234567就随便看看啦。杰森斯坦森口音太萌，塞隆女神美哭但可不可以不要再演这种脑残角色了。。。最后黑lambo也是黑得深沉
352$26260853$速度与激情8$drunkenstain$2017-04-25 21:54:40$1$这个电影的目的就是收集大魔王，曾经坏人通通要洗白成后几集里的队友。
353$26260853$速度与激情8$蒙大拿$2017-04-15 14:21:53$1$还不错，塞隆美，看到车子那么撞还不坏有点烦
354$26260853$速度与激情8$猫四儿$2017-04-20 00:26:04$2$刚好坏蛋打死小三，带着儿子跟老婆幸福快乐的继续生活是什么鬼！
355$26260853$速度与激情8$Eco$2017-04-24 21:27:05$0$僵尸车。大宁60帧。有速度没激情
356$26260853$速度与激情8$逸宸$2017-05-06 22:16:17$0$场面的确更大，但平白也更无脑更没新鲜感了。全片也就塞隆有较高的存在感，不过看样子以后还有的闹腾呢。
357$26260853$速度与激情8$Q·ian·Sivan$2017-08-15 22:59:44$0$「Doesn't matter what's under a hood. The only thing that matters is who's behind the wheel.」「Necessary? Nothing is necessary. Everything is a choice.」「He's got this thing. It can see everything. It's called the Devil's Bum Hole or something. → It's called the God's Eye.」
358$26260853$速度与激情8$451½°F™$2019-03-12 20:42:59$0$中段犯罪团队入侵汽车们的智能系统阻击「速激队」颇有人工智能大战肉身党的味道，不过大多数时间都是无意义爆破与过量飙车的堆砌，自第4部以来扎实的悬疑风格荡然无存，最后只能依靠斯坦森和小BB的卖萌。
359$26260853$速度与激情8$Torrilla$2017-04-14 21:50:33$2$男主线真恶心 
360$26260853$速度与激情8$天天把豆豆来豆$2017-04-15 14:08:07$6$画面有些还是惊艳的.
361$26260853$速度与激情8$Syfannn$2018-12-24 21:33:56$0$三个我最讨厌的光头凑齐了！！！
362$26260853$速度与激情8$影$2017-04-17 15:06:11$0$本打算看零点首映的，结果是上映第四天才看，当然毫无疑问首选imax3d版本和最佳座位，看完依然是比较满意的，对于这个系列已经是有非常深刻的情感的了，一个个熟悉的面孔和激动人心的轰鸣声，还是那么享受并且被感动着，继续期待续集
363$26260853$速度与激情8$颍原真吾$2017-07-02 11:43:49$0$The problem with putting your foot on a tiger's neck is you can never let it up.
364$26260853$速度与激情8$刷鞋大王$2018-03-14 11:02:06$2$话说速激系列的重点不就是轰轰隆隆的大场面？反正天女散车的画面把我震撼到了。即使主角叛变和反派洗白再雷人，但不得不承认这确实很对观众的口味，尤其是斯坦森这样的反派-.-这里最幸运的是女主，不仅除掉了情敌，还不用遭罪免费当妈，还是从小就开始养的后妈
365$26260853$速度与激情8$孫大爺$2017-04-15 21:55:00$1$看的第一部速激，还挺有意思，全程都在从座椅上弹起，说一句：我去，这也行？
366$26260853$速度与激情8$春风绿江南$2017-04-15 14:56:26$6$最喜欢的保罗不在了，真的好遗憾！
367$26260853$速度与激情8$杰诺拉泽$2018-01-03 02:09:50$0$teamwork make america great。
368$26260853$速度与激情8$Louis_YY$2017-05-02 08:45:02$1$剧情实在没看头，给郭达老师＋1星
369$26260853$速度与激情8$野马般的思路$2017-05-06 18:41:05$1$真的不好看了啊！孩子妈死了女朋友白捡一儿子的剧情醉人！
370$26260853$速度与激情8$电车吃货$2017-04-16 08:52:32$1$看个感官刺激，不用在意为什么主角不死
371$26260853$速度与激情8$dcrlee$2017-04-17 08:37:21$1$简单，套路，创意枯竭，但是观众们不会管这些啊，只要能看到那么多出名的光头一起飙车，下一部我还会去看。这种电影还是要刷IMAX的好，身临其境的感觉真的是太棒了。如果电影大部分场面都能保持住僵尸车那段的想象力，再拍10部我也还会去看！
372$26260853$速度与激情8$Macadamia$2017-04-23 09:29:09$2$对这种电影本身并没有兴趣 但是有人说想看陪他去看之后发现里面的音乐和美美的超跑我还是能欣赏到的 就是剧情实在可以赶上漫威套路了
373$26260853$速度与激情8$實習生$2017-06-03 16:14:44$1$可以啊，郭达分分钟就洗白了，可以可以可以。
374$26260853$速度与激情8$踢迩达$2017-04-16 07:55:47$3$爱郭达。心疼下一部编剧。
375$26260853$速度与激情8$老几林$2017-06-08 01:34:01$2$最后打潜艇太刺激啦 但这系列真的快成少林寺了
376$26260853$速度与激情8$阿咪老师Ami$2017-04-16 22:38:26$1$"“that's my girl""嗷嗷嗷嗷嗷  这样的男人我只想为他生仔！"
377$26260853$速度与激情8$獨孤求敗$2018-05-01 16:44:03$0$女boss没有挂，还会拍 9
378$26260853$速度与激情8$德卡的羊$2017-11-16 23:51:56$1$25/100，诡异的观念输出，漏洞百出的剧情，越来越夸张和脱离现实的动作戏与飙车戏，所以下一部是不是要归类到科幻片了？当然，作为爆米花片的爽感还是有的，不需要要带脑子，飙点肾上腺素就完事了。
379$26260853$速度与激情8$17950$2021-08-17 16:15:32$1$别说素鸡系列剧情弱鸡，毕竟前面看过的所有剧情我都完全不记得了……但僵尸车潮这事吧，团队敢想敢做还能执行到，就很屌（至于汽车打潜艇什么的我觉得只要敢想就行…）
380$26260853$速度与激情8$暴殄天物$2018-01-18 17:25:16$2$如果简称为速8容易让人误解为快捷酒店的名称，所以建议大家简称为激8
381$26260853$速度与激情8$此心光明$2017-07-07 08:24:41$1$半小时不看也可以续接的电影。看的时候很爽，看过了就觉得哎呀不看就好了，如吃洋快餐一样
382$26260853$速度与激情8$Lan~die$2017-10-11 08:17:40$1$"优点：僵尸车大战等场面亮眼，塞隆冷艳。
缺点：仇人强行基情，塞隆弄成怨妇缺乏角色魅力。"
383$26260853$速度与激情8$Leon$2017-05-21 20:16:59$0$BongBongBong-HongHongHong！汽车雨劫核弹炸潜艇！我是老司机我是光头我牛逼！we are 伐木累！
384$26260853$速度与激情8$Nenya$2017-04-16 01:27:06$1$你想让莱蒂喜当妈你就说嘛，你又不说。有时间通知新朋友，就不会跟你队友讲嘛。
385$26260853$速度与激情8$好痛$2017-04-14 03:57:50$23$"科幻作品？
玄幻作品？
太能扯了(ಥ_ಥ)"
386$26260853$速度与激情8$三年$2017-04-17 15:38:36$1$主角都是隔壁marvel走错片场了吧 个个特异功能+主角光环屡试不爽 bug颇多尿点颇多 除了杰森斯坦森帅的 其他真的难以下咽啊
387$26260853$速度与激情8$狄飞惊$2017-04-15 17:59:21$3$夜戏太多，乌漆抹黑，后期狂轰滥炸也过于不节制，感觉钱虽花了，但视效并不让人舒服。
388$26260853$速度与激情8$望仔放弃减肥了$2017-05-09 22:01:56$1$去特么的伐木累…真·你鹅几在我手上！郭达和蔡明真是棒，主角与其说是捡了个娃的大佬不如说是他的好基友女儿奴啊！被全系列女配角颜值碾压的女主角喜当妈的感觉如何呀？
389$26260853$速度与激情8$介意$2017-04-29 23:19:21$0$Nothing but a biological lie. 紐約一段其實有意思，但實在讓人不安。
390$26260853$速度与激情8$Oasis$2017-04-18 08:21:08$1$完全不知道要说什么，然而也没兴趣知道。3d看得眼睛疼，可能是选错影院的问题。塞隆女神的脸撑不了几分钟，郭达放弃之前更有魅力的反派人设。真是无聊好困
391$26260853$速度与激情8$魔鬼的情诗$2017-04-24 00:28:40$0$别的也不干了，堆砌场面足够干掉中国市场🙄降维打击啊这是
392$26260853$速度与激情8$亲爱的猥琐猪$2017-04-28 23:05:03$0$肉搏更多的人，撞毁更多的车，换更大的场面比如核潜艇，到更危险的地方比如俄罗斯边境，设更阴险的局比如让主角“叛变”……智能控制车流的点子不错，团队合作的氛围依旧热血又轻松，不过运镜与叙述还是差7不少。总体来说，还是比较喜欢这个不科学的现实热血系列……
393$26260853$速度与激情8$＊银河甜心$2017-04-16 00:01:59$1$身边男生一个人来看，笑得投入又开心，很好
394$26260853$速度与激情8$ZeonGin Sou$2017-05-08 01:51:18$0$一如既往酣畅淋漓。动作继续玩出新高度。笑点有。亮点多。视效强。弱点依旧：剧情基本傻。洗白也坑爹。突如其来的儿子玩儿呢？不太喜欢范迪塞尔强行渣。
395$26260853$速度与激情8$榛子肉桂汤力水$2017-04-14 03:10:38$6$感觉看的不是电影～每一秒都是壕
396$26260853$速度与激情8$Hi Friday$2017-04-14 16:37:02$2$反正我看的很爽，非常爽，特别爽，啪啪啪哐哐哐biubiubiu加上嘴炮小哥负责搞笑hhhhhhhhh是一个合格的爆米花。最后给儿子起名叫Brian有想到还是很感动。
397$26260853$速度与激情8$半语人$2017-04-14 04:00:10$8$赛车片成了科幻片，伐木累的人谁都不会死，最壮的两位疯狂嘴炮，碾压式的打戏毫无紧张感。然而毫无必要的速八肯定会赚翻，速九好好弄吧。
398$26260853$速度与激情8$旧书君$2017-04-21 21:24:49$1$没有塞隆姐姐这一集基本没救。这个系列已经黔驴技穷到溜潜艇和核弹了。武力膨胀得让人疲劳。雪地里小便那个梗真的污得很高级，这是除了丧尸车以外最好玩的地方。学习了！
399$26260853$速度与激情8$人鬼无间$2017-04-15 00:16:55$1$德一袄
400$26260853$速度与激情8$Woodring$2017-09-05 11:44:14$0$飞回HK路上看的~最大感想是，塞隆姐姐下部还来么。。。以及，这部真的没东西好拍了，人物剧情都不走心就算了，玩车也不走心就不该了。。。
401$26260853$速度与激情8$蓝生$2017-04-16 09:07:35$2$中间有点儿小闷，其他就很爽了~~
402$26260853$速度与激情8$这里X货真多$2017-07-07 08:15:29$1$个人崇拜要不得，耍酷装逼不能代替演技，爆米花电影也要有演技啊。要不是有两个黑人插科打诨，我看的能尴尬死。
403$26260853$速度与激情8$巴喆$2017-05-29 21:22:30$0$这种片子还来看第8部的，那就是来爽的，撞撞撞，然后 we are 伐木累。还在乎反派洗白白？？运动镜头还是这么hi，纽约一千多辆僵尸车飞撞、天将车雨和俄罗斯潜艇追逐那几场戏真是要爆！巨型爆米花大片。7.4
404$26260853$速度与激情8$Rapunzel$2017-04-28 14:02:50$1$你第9集如果不跟变形金刚cross一下的话我看是不够你们折腾的了。之前不懂它在中国票房为何好的出奇，昨天看的时候忽然明白了，这电影的粉丝跟当年古惑仔的影迷应该是一拨人。而且街头混混开始干核弹潜水艇了，你就说牛逼不牛逼吧！
