$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
1199$35372742$无名$我思故我在$2023-04-16 22:40:33$0$故作深沉，剧情稀碎
1200$35372742$无名$X.$2023-01-22 12:35:10$1204$一个简单到无聊的故事，毫无共情。用剪辑生造悬疑，一场戏劈两半，头一段尾一段。未免太蠢了。除了梁朝伟，其他人演的好差啊！！！！！
1201$35372742$无名$有点儿冷$2023-01-22 13:07:20$67$看完只想说，这拍的是神马玩意儿！我就问你谍战片，主线故事是啥？没有核心故事作为骨架，其他不都在空中楼阁么？突兀地重复镜头，串起故事，简直乱七八糟！理解这电影的卖点为啥梁朝伟和周迅了！因为除了他俩，啥也不是！
1202$35372742$无名$豆友1285694950$2023-04-10 11:17:57$1$个人很喜欢，虽然时间线不是顺序但介绍的很清晰，很多隐喻，看得很震撼，不得不说剪辑和导演的水平很高，赞。
1203$35372742$无名$7oo11oo$2023-04-11 13:52:51$0$其实不孬 甚至从打斗戏开始对导演故弄玄虚的叙事也没意见了。但看这部电影 很难不对参演的青年演员感到失望 他们实在演绎不了气质深重的角色。
1204$35372742$无名$墨鱼饼（emo中$2023-02-26 21:06:43$0$怎么说呢，不如罗曼蒂克消亡史，虽然有的镜头还算喜欢，但故事太太太过于简单了，而且还很俗套，觉得导演退步的程度
1205$35372742$无名$Dtechive$2023-01-31 01:23:19$12$“我也是”像一个大熨斗空降而来，把本来很鲜活的人物形象轧得平平整整👍👍
1206$35372742$无名$豆友甜茶$2023-01-22 12:22:16$19$一部不可多得，值得一看再看的电影，程耳真的太懂镜头，太会讲故事了，梁生用谈笑风生演出了暗潮汹涌，王一博用疯批邪气掩盖着自己的真正目的。最后的大反转真的让人目瞪口呆。
1207$35372742$无名$白河夜船$2023-02-15 16:00:12$4$一个如此苍白简单的故事非得拍的故弄玄虚，张婧仪和王一博把我演笑了，梁朝伟也不够松弛
1208$35372742$无名$妞妞麻麻$2023-01-22 11:40:08$368$梁朝伟，周迅，我说你们还是爱惜点羽毛吧，什么烂片都接吗？这么缺💰，这演的啥呀
1209$35372742$无名$🎨 王欢 cindy$2023-04-09 15:40:31$0$慢热到中后段才感受到了这部剧的好👀，刚进入角色，就要结束了。画面好看，人物好看，剧情好看，倒叙让人渐入佳境。
1210$35372742$无名$在遇见你之前$2023-01-22 12:42:12$332$柳州保利“王一博无名超好厅！”“王一博全球热映厅！”“王一博一战成名厅！”是大年初一的第一下头
1211$35372742$无名$小阳肖恩呐$2023-01-22 12:34:34$540$不想人多凑热闹就起了个大早去看的，电影节奏很紧凑，结构也很有特色。主人公的姓名确实是一个也不清楚。电影一开始嗅到了王家卫的风格，转念一想这是程耳导演的作品，原来是梁朝伟给了这种错觉。从此就记住了程耳。
1212$35372742$无名$马冠群$2023-03-07 20:00:14$3$口碑两极分化？真没看出来哪里要黑
1213$35372742$无名$唐风宋影$2023-04-15 10:29:41$0$程耳风格的再度呈现，氛围感强烈。
1214$35372742$无名$thresh1120$2023-01-22 14:15:39$211$无疑是罗曼蒂克消亡史的延续。无论是剧情，镜头语言，还是剪辑，以及人物关系，都不由让人想起来罗曼，是复刻还是呼应？只是浅野忠信更有张力，罗曼里各个人物都刻画得很棒，哪怕是戏份很少的闫妮和倪大红。也许程耳想弥补一些拍罗曼时的遗憾，所以换了个时空，场景和角度，去再拍抗战时的上海和香港。打戏很棒，程式美学依旧，俯瞰，远景，郊外，字幕，桌椅，血水，西装，日料。但是逻辑关系，感觉要弱于罗曼，就像罗曼里喂猫的一份秋刀鱼让人念念不忘杀人者的温情一面，还有倪大红的清粥小菜，袁泉的点心，而无名吃了N场饭，只有醉虾的跳动有点意思。毕赣的路边野餐是无法言说的好，但同样手法的地球最后的夜晚不忍直视。这个类比不太公平，因为罗曼实在优秀，而无名也没有很差。感谢大年初一有人请我看电影。
1215$35372742$无名$JackyWoo$2023-04-12 18:16:49$1$最后的苦肉计有点骗到我了
1216$35372742$无名$乐乐$2023-01-22 11:52:47$124$画面可以说是华丽，虽然有些拍的是残垣断壁，但是在大银幕上看到，还是非常震撼。各位演员也完全融入到了那个年代，民国就是这么一个充满颠沛流离，充满悲情的时代。每个情节都有存在的意义，最后揭秘的时候，是会让你大呼“原来如此”的，真是爽到每一个毛孔。
1217$35372742$无名$之丘(^-^)v$2023-01-22 13:29:02$433$花了时间花了钱，来影院受罪，故事讲得太高级不是我们能看懂的(／_＼)大怨种
1218$35372742$无名$cartiwu$2023-01-25 03:06:58$368$在现有语境下《无名》已经做得很不错了。无名者，人鬼难分也，都不会有好下场的。现在只拍了身份上的难以辨认，不能拍的是欲望和动机的模糊。还是有风格的片子。
1219$35372742$无名$古比雪夫$2023-01-22 12:06:31$87$第一次电影没看完就出来了，周迅为啥戏份那么少，被绑架了就眨眨眼，上当了，浪费钱浪费时间，还不如看熊出没
1220$35372742$无名$芳草菲菲$2023-01-22 13:14:17$82$128分钟时间不知道想表达什么？完全找不到主线在哪里？，年轻人演技又拉胯，真后悔贡献票房了。
1221$35372742$无名$豆友523❤️$2023-01-22 14:03:53$227$不好看
1222$35372742$无名$江上傒人$2023-04-13 19:07:50$0$故事整体比较平淡，叙事有点割裂
1223$35372742$无名$Dolbyyyds$2023-02-15 21:47:39$6$卧底类型的电影，影片整体还是非常有美感的，视野很开阔，画面、构图，摄影都不错。
1224$35372742$无名$.$2023-01-23 07:44:49$41$怎么说呢 能在春节档看到一部这样的电影是我的荣幸
1225$35372742$无名$黑色七月半$2023-04-11 19:01:12$2$出字幕才发现那个超级大美人是江疏影，我竟然以为是李小冉？？
1226$35372742$无名$阿卅$2023-04-13 08:10:15$0$顺序有点倒，一开始没看明白
1227$35372742$无名$晴天$2023-02-02 02:47:30$17$整体来说是一部挺有质感的电影，配乐、画面都很不错，导演个人风格非常明显，影片中倒叙插叙非常多。梁朝伟周迅演技真的很绝，王一博演的比我想象的好，影片后半段和梁朝伟的对手戏感觉也不让人出戏，最让人出戏的反而是黄磊，黄磊一出现就感觉他要去做饭了。
1228$35372742$无名$约瑟夫$2023-04-13 19:50:06$0$不好不坏、可看可不看的那种，主要是各类型的观众都想照顾到，但却没照顾好，看完了就完了，没什么可以回味的地方
1229$35372742$无名$北极游牧钉子户$2023-03-19 19:51:28$0$还可以，梁朝伟和周迅的对手戏全片最佳片段。王一博比我想的要好，前期演身手矫健心性混沌的狗崽子，演的竟然还可以。情绪激荡幽微之处，和王传君对峙、最后看到何先生……眼神还是过于呆滞。出来一看为了过审删改过，可惜。
1230$35372742$无名$苏苏极了$2023-01-22 11:16:01$16$好无语，不看字幕听不懂，画面又是灰暗的，看的眼睛都不舒服。剧情啥的就别说了，看不懂。为迅哥来的，大清早的，找罪受
1231$35372742$无名$虫虫$2023-03-26 21:12:39$5$同时上映多部电影，这一部是最像电影的电影。
1232$35372742$无名$vermoo🌈$2023-01-22 13:33:23$362$为了让观众猜不出，加了毫无意义的内容很减分，演技的差距好明显
1233$35372742$无名$伦敦的雾$2023-04-18 15:39:37$0$故事太碎了，春节档不适合。黄磊有点像文章，王一博有点像张哲华，但不如张哲华演的“少爷和我”系列。梁朝伟的头发依然梳的光亮。这种影片有点太学院派了，往往卖相不好，就像一个人如果太有追求，太有原则，在职场通常也很不如意。
1234$35372742$无名$谷雨$2023-03-15 00:30:02$1$除了节奏太慢，其他都还好。
1235$35372742$无名$艾石$2023-04-10 14:40:37$0$导演在自己的艺术追求和市场接受度之间徘徊了，以至于两边都没讨好。如果选前者，就必须换掉某位演技拉胯的演员、剪掉个别重复多余的“解说”镜头；如果选后者，那就把碎片化剧情整合并按顺序讲解，让观众更轻松地接受故事情节。最后我想提一句所有台词里让我觉得最矫揉造作却也令我印象深刻的一句：“那汪先生一定很痛苦，原本是用来写诗的笔，现在却要签署这种文件。”
1236$35372742$无名$龙井$2023-04-19 00:08:38$0$打乱的故事线让人一头雾水，谜底早就揭开但很多过场有些敷衍和累赘。
1237$35372742$无名$ludayuanchishi$2023-01-22 13:14:21$382$难看，大年初一为什么遭这个罪来看这个，浪费时间浪费钱
1238$35372742$无名$牧无清$2023-04-18 03:42:23$0$主线剧情叙事的不太好，内容分类拆分成几个小故事倒是不错
1239$35372742$无名$pq$2023-04-17 21:25:44$0$除了音乐之外都还挺好的，剪辑节奏很顺畅，微言大义的感觉。
1240$35372742$无名$柏林墙$2023-04-16 12:08:32$0$王一博看得我好尴尬
1241$35372742$无名$芒果酸奶$2023-01-22 12:16:53$472$王一博演技真的一言难尽，张婧仪都比他演得好。上海话没字幕，看不懂说什么。大过年的还是适合去看合家欢的电影。
1242$35372742$无名$夏末初秋87$2023-01-22 11:44:14$158$不愧为程耳导演，全体演员演技在线，很爽、很精彩，梁朝伟稳、王一博惊艳，让人深思回味，绝对值得三刷或者多刷！
1243$35372742$无名$赢家$2023-04-10 13:30:09$0$谍战文艺片，影院票房这么高有点水分。在家看看就得了。梁朝伟和王一博打的真狠，都是gcd，没必要打的这么狠，假戏做做就可以
1244$35372742$无名$逍恸$2023-01-22 14:15:13$836$节奏太混乱了…镜头像是在刻意凹美感，我愿称之为小视频合集之王一博的眼泪大秀
1245$35372742$无名$霏霏$2023-01-22 11:31:54$99$一部电影能做到这么无聊也是厉害，看得我昏昏欲睡，还没到一半都有人走了......
1246$35372742$无名$琥珀川$2023-04-16 01:33:48$0$看到用狗子对比和影射那里，最后狗子被炸死就绷不住了，小日本你等着，这血海深仇迟早要报!!
1247$35372742$无名$曼玉姐姐$2023-04-16 23:02:45$0$剪辑很奇怪  风格很王家卫  王一博是帅的  但是演技差周迅梁朝伟十万八千里
1248$35372742$无名$CC$2023-01-22 13:34:32$310$宣传说是商业片我以为程耳改了，结果还是故作玄虚的风格，不肯好好讲一个故事，以前有演技好的演员撑着，还能吹个人风格片，这部电影高光都放一个毫无演技表达不了情绪的王一博身上，彻底成了烂片。拍电影给观众喂SHI还要从观众口袋掏钱，你们捧自己人拍拍电视剧差不多了，别太过分。
1249$35372742$无名$那些鱼怎么办$2023-04-10 09:09:26$0$程耳的风格在消亡，变得俗气了，6.5
1250$35372742$无名$汤圆什么馅-$2023-01-22 14:19:20$117$剪辑挺混乱的…后半段稍好些，全片最好的地方应该是打戏部分
1251$35372742$无名$shibuya emiri$2023-02-05 18:58:55$8$哈哈哈哈易先生后继有人哇？ sociopath站对了队，暴力就是美学。
1252$35372742$无名$笨笨熊$2023-01-22 11:45:12$182$看过的电影中最难看的一部，呆若木鸡的演技！
1253$35372742$无名$JOJO$2023-01-22 12:17:51$454$给一星是因为最低只有一星！我的天！中国电影史烂片排行榜，无名敢排第二，没人敢说自己第一吧？字幕也不做一下？导演是对演员的台词多自信？拜托你的演员嘴巴都张不开好吧！你指望他能说的清楚些什么啊？我是脑子抽风了，大过年的来电影院看鬼子虐杀中国人吗？？看隔壁熊二不好吗！！
1254$35372742$无名$老漠$2023-04-15 22:19:16$0$每一个场景每一个画面都好看，但整体看下去就不好看。不是没看懂，不是不知道说了点啥事，只是觉得很没必要。叙事形式上的故弄玄虚导致观影的感受像看了两个多小时的大先导片，氛围感很足，叙事很累
1255$35372742$无名$讨厌丑猩猩$2023-01-22 12:00:40$306$啊啊啊啊啊我真的强烈推荐，梁朝伟和周迅不用多说一如既往的稳。王一博也可以，因为我之前没有看过他的剧包括他成名的那部也没有看，所以在这部电影里，我觉得他表演的非常好，很惊讶。特别喜欢他和梁朝伟的那两段打戏，然后我真的要夸夸陈耳导演的镜头美学，真的绝了，我特别喜欢那几个俯拍的镜头，特别震撼！！！特别喜欢！！！然后大鹏和黄磊会给你之前不一样的感觉，然后另两位女演员虽然戏份不是特别多，但是都会让人印象很深刻，两种不同的风格，推荐推荐👍👍，我能说那个狗狗演的都不错吗😊
1256$35372742$无名$Jiehhhhh$2023-01-22 11:39:59$1014$如鲠在喉，如芒在背，如坐针毡，稀碎且无聊的剪辑.....
1257$35372742$无名$豆友264007289$2023-01-22 11:24:33$150$看之前以为高大上，看完之后一般般，浪费我一张电影票
1258$35372742$无名$卡冈图雅$2023-02-15 15:27:06$6$非线性叙事风格就像一篇散文，剧情片选择故事性强的小说自然更讨喜；期待以后出个导剪版，所有猜测就可以证实了
1259$35372742$无名$某某某$2023-01-22 11:16:29$133$一直看不到点映不知道口碑咋样，没想到还是被难看住了，大过年浪费钱，就不该抱有一丝期待，也是，连主演梁朝伟都不宣传不在乎的电影能好看到哪去，剧情稀烂毫无意义，其他人演技我也不评价了，懂得都懂，无语😓中途换场去看别的电影去了
1260$35372742$无名$24分之一$2023-01-22 14:12:16$368$大年初一看这真是我做的最错误的决定，就不该挺我妹的推荐，毕竟早就该知道她是王一博粉丝就代表着必定不客观。叙事无逻辑，镜头没美感，演技无表情，想不通我为什么要进电影院。王一博拜托多练练再挑战电影吧，今后绝对离得远远的，可惜了周迅
1261$35372742$无名$路人甲$2023-04-20 20:39:31$0$鸡蛋炒柿子做的再精致它还是鸡蛋炒柿子
1262$35372742$无名$1111$2023-03-25 08:33:21$0$前一个小时看的人抓耳挠腮
1263$35372742$无名$局外人$2023-02-18 15:53:13$2$毫无任何惊喜，错乱时间线的擅长也没有了，今年真的是每部都是红色教育，最差的程耳
1264$35372742$无名$Miss$2023-01-22 11:42:00$183$“我看过他们的故事 ，他们就有了姓名。”        枪战打戏酣畅淋漓、悬疑反转紧张刺激、群像角色饱满鲜活、镜头语言处处诉说。每个演员的表现，演技都很好，太惊喜了，不愧是程耳导演[强]
1265$35372742$无名$胡胡胡冠希$2023-02-27 10:37:12$1$王一博——桌面清理大师，用抱头的动作表达自己痛苦的情绪。梁朝伟，周迅姐，王传君，程导演。你们怎么能不笑出来的啊？但是u1s1王一博的两场打戏的确弄的不错。让我惊讶的是，大鹏居然还挺有那味儿，演挺好的。
1266$35372742$无名$村雨$2023-01-22 14:16:07$567$前面起调删掉一半更好呀 王一博行 最后致敬何藩多一🌟
1267$35372742$无名$浪漫人渣🤺$2023-02-24 01:29:48$2$看了两遍，第一遍在广州看得觉得好看，回到成都又看了下就还好了。
1268$35372742$无名$pagyanga$2023-01-22 13:59:39$250$程耳蒙太奇的神
1269$35372742$无名$炸酱面$2023-04-16 15:53:42$0$这个剪辑和顺序真困惑，只感觉意义不大，画面不错，最后就是这哥们的演技真不敢恭维，没表情啊，还是梁朝伟帅
1270$35372742$无名$大花$2023-02-10 16:54:17$0$时间节点稍注意一下不难猜。看完还是想重温风声！
1271$35372742$无名$Neo$2023-04-10 04:54:35$0$镜头画面运用得不错，服化道不错。故意把情节顺序打乱。反转再反转。文艺范。7.5分吧。
1272$35372742$无名$桃子老湿$2023-04-20 09:42:33$0$跟罗曼蒂克消亡史风格一致
1273$35372742$无名$zzzzzzzz24$2023-01-22 13:12:20$428$冲着梁朝伟去看的，只能说真浪费时间和金钱，票价还挺贵，剧情看得莫名其妙，迅儿哥也没有以前灵了，王一博就不用说了，那张脸出现在大荧幕都怕做噩梦，演的什么玩意。算了算了吧，我何不去看熊出没，还能开心点。
1274$35372742$无名$好好的$2023-04-20 10:33:37$0$细节拉满，构图精巧。凭他的眼界与能力，不过是一省一市。你不会的，真正想刨腹自尽的人是不会说出来的。
1275$35372742$无名$小导演$2023-04-17 00:22:19$1$不是打乱叙事顺序，画面构图唯美就是牛逼电影了，形式大于内容，不痛不痒的故事，低于程导以往的作品水准
1276$35372742$无名$米米$2023-01-22 11:40:50$81$不愧是程耳导演，牛大了。值得
1277$35372742$无名$Mr  Wu$2023-01-29 07:41:43$16$这部片子绝对是被引流耽误的神作。所有演员都贡献了不错的演技，看电影的感觉像在拼拼图，观影体验很有意思，感觉更让人印象深刻，全程被影片走向吸引，跟着剧情走向猜测、疑惑，随后，一切的谜团都在观影中被合理地解开。别被骗了，这部片子有绝对7点5分以上含金量
1278$35372742$无名$宇宙未曷$2023-01-22 12:06:10$161$梁朝伟 //前期打乱顺序的安排观众会很难进入状态，直到后面顺序逐渐恢复正常以往的那些部分依次出现补充，所以如果你是安心看着会努力很难受，需要你记住所有的细节与出现过的环节。虽然如此设计有特点，但是很多都是简单重复，就是演了两遍，如果省事甚至可以直接拷贝前面的片段再剪一次。王一博和张婧仪真的好会瞪眼睛，王一博饰演的角色其实很缺少灵魂的铸造，根本看不出来他为何如此卖命，很多用力的动作设计真的很浮夸不内敛。周迅戏份很少，比江疏影还少的样子。王传君王一博黄磊是不是喝酒了拍的浮肿太严重了吧。梁生时刻在线，但不能力挽狂澜。很多声画设计是你以为要发生什么了结果什么也没有，而有的确实闷声干大事。//
1279$35372742$无名$不惊悚的不看$2023-01-22 11:08:12$155$梁朝伟和王一博的打戏太精彩了
1280$35372742$无名$焦佐伊$2023-02-26 23:05:31$0$还是一流的镜头语言，非线性叙事给简单的故事增添不少效果，就是不太适合奔着春节档的观众
1281$35372742$无名$Selena$2023-04-15 17:58:56$0$剧情实在莫名其妙
1282$35372742$无名$做个幸福的人$2023-01-22 11:32:56$86$里面的打戏真心精彩啊，看着好爽。片子最后，王一博的表现真的会让人惊讶，眼前一亮。亦正亦邪演的恰好，让人舒服。
1283$35372742$无名$阿V$2023-04-11 12:53:06$0$"洋泾浜上海话真的难受=""="
1284$35372742$无名$轩轩云朵$2023-01-22 12:39:15$76$大年初一，就是看电影，上午正好看了无名，觉得很精彩。值得回看。
1285$35372742$无名$Hhhang$2023-04-10 11:21:05$2$好难看的故事，发面馒头很出戏，梁朝伟这些年都成烂片王了
1286$35372742$无名$流浪小狗勾$2023-03-10 14:58:19$0$镜头语言和剪辑有时会给我布达佩斯大饭店的即视感，但剧情太过简单，没有什么悬念，和“悬疑”这个标签实在是不匹配。比如从一开始黄磊投诚就知道梁朝伟是地下党，因为在黄磊还没报陈小姐的名字的时候梁朝伟就已经写下了“陈”字。观影从头到尾都没有被悬念吊胃口或者恍然大悟“原来是这样”的感觉。是拍得不错但是剧情没什么意思的片子。
1287$35372742$无名$不老的海味$2023-04-24 05:43:58$0$老套，散乱
1288$35372742$无名$Oh拉玛干$2023-03-05 14:40:17$4$应该说是春节档里最回归电影本质的一部片子。可以看得出导演坚持自己作者性的表达却无力于资本和市场制度的要挟。影片用插叙完成悬疑这条线，以穷其境的结构美学勾勒大时代下的洪流与小人物。然而最喜欢的是程耳对于爱情和浪漫的表达，叶先生和方小姐的故事如果能展开来讲一定很精彩很好看。好想看导演个人剪辑版啊。
1289$35372742$无名$罗荒野$2023-01-26 02:30:16$45$虽然最后的打戏加的莫名其妙且不合逻辑，但至少程耳证明即使拍动作戏他也能轻松拿捏。
1290$35372742$无名$大猪蹄子小蛮腰$2023-04-14 08:48:45$1$我觉得电影的魅力剪辑要占一大功。2个小时讲一个故事，引人入胜的感觉。越到后面越过瘾。
1291$35372742$无名$双鱼石头座$2023-04-12 08:36:34$0$形式大于内容，想走王家卫的路，只有一部分画面类似，台词和剧情简直是灾难。
1292$35372742$无名$dcyuan$2023-03-18 17:58:03$2$程导的抗战三板斧：上海话、日本人、王传君
1293$35372742$无名$陈邑人$2023-04-10 00:28:10$1$其实还好，挺喜欢这种氛围的，但。为啥请王一博呢，让本就不出彩的故事更加逊色。
1294$35372742$无名$豆木木$2023-01-22 12:32:55$158$一部值得去二刷的片子
1295$35372742$无名$shuishui$2023-01-22 11:49:13$81$程耳的故事还是很喜欢，影厅几乎满了，大鹏惊喜，王一博这个角色很有趣啊，周迅和江疏影好美，真的是一部角色没有名字的电影，无名
1296$35372742$无名$我不熬夜$2023-01-22 11:41:04$346$我只能说不愧是程耳！空镜和氛围拉满！超级多细节和隐喻！是一部需要静下心来去感受的电影，上海话、普通话、日语交织真的好带感！2023第一部喜欢的电影！
1297$35372742$无名$就叫这个吧$2023-01-22 14:00:09$94$确实超出我的预期，看到有人说这里面的狗都会演戏，哈哈哈哈，确实是这样，老戏骨一如既往地稳，王一博的表现出乎意料，看片段真的完全看不出他是好的还是坏的🤣🤣
1298$35372742$无名$安联小丑$2023-04-18 21:53:06$0$不说某人演技，坚持看到一个小时确实接受不了这种叙事风格。各花入各眼，打多少都是自己的感受。反正我不是拖，不尬吹也不乱踩
1299$35372742$无名$CC$2023-04-15 19:59:43$0$不明白为什么要用这样的叙事方式
1300$35372742$无名$羊踯躅-易桑$2023-01-22 14:22:22$159$为什么没字幕？
1301$35372742$无名$羊头狗肉$2023-02-13 00:12:40$1$张婧仪出现的时候我第一反应是老狗在哪里？下一个镜头……在笼子里
1302$35372742$无名$Moonquakes$2023-03-07 20:30:09$2$摄影5星，音乐5星，表演5星，扣分的地方说一下，汪和蒋斗就行了为什么强行插入它们，接受不了
1303$35372742$无名$Patrick$2023-04-10 14:59:51$0$“改编不是乱编，创作不是瞎说，艺术家的追求呢，艺术家的节操呢”这部剧毋庸置疑最大的争议点就是王一博。说好听点，全片一个表情一条过，展现了卧底的从容不迫。说难听点，真就尼玛绷着个脸拍全片啊。就这还给他怼脸拍独角戏？（你好好一个爱豆，街舞实力这么可以，真的别来沾演员的边了）电影风格很奇特，我管这叫乱序，这种风格我个人不喜欢，纯个人，这种风格就跟我面试一样，想到哪说到哪。“你觉得他不合理，就找个底，把它升华合理”，但这个底它兜不住啊，就且说那段打斗戏，你为了让它获取信任，有必要这么打吗？是真打，往死里的那种打，最后告诉我只是为了做的真一点？最后，我要吐槽王传君，开始对他反感，你觉得爱情公寓抄袭，为了艺术追求，直接走了。现在又为什么要和小鲜肉同台搭戏呢？
1304$35372742$无名$萌仔$2023-04-19 22:53:04$0$剪辑到底是按什么逻辑进行的？完全摸不着头脑 最后那个 我也是 确实是尬
1305$35372742$无名$iurvl$2023-04-15 11:11:38$1$故事比较简单，剧情撑不起来整部戏，程耳只能想尽办法堆砌了华丽的视听体验，时间打乱的剪辑。某丈育的演技还不如那条受伤的狗
1306$35372742$无名$红尘客栈$2023-01-22 13:17:31$199$越看越烦躁，本来很期待的，结果很失望
1307$35372742$无名$赤豆糕$2023-01-22 13:33:13$134$陪我妈来看梁朝伟，结果他才出来了多长时间，简直挂羊头卖狗肉。这就算了，台词尴尬无聊，剧情稀碎不知所云，一上来就让人看日本人屠杀中国人，画面要多阴间又多阴间，我妈这种看啥都好看的看完都一言不发，真是造孽大过年的来看这种电影。过年还是看喜剧片的好。
1308$35372742$无名$萌不拉$2023-01-22 12:38:14$328$冲着梁朝伟和周迅去的电影院，而且真的很久没看过梁朝伟的电影了，满怀期待地第一时间去看了。我看完真的很失望……麻烦以后影帝影后选片子的时候不要和面瘫流量合作了，我真的是前一秒入戏下一秒就出戏，很痛苦。我怕被某个人粉丝攻击就不说是哪个人了，大家心知肚明，看完就只剩下一种感觉:“强捧遭雷劈”。
1309$35372742$无名$爱慕$2023-01-22 11:39:50$282$烂片
1310$35372742$无名$枝枝果冻$2023-01-22 11:27:49$244$剧情画面逻辑无可挑剔，不是我预设的那种主旋律，甚至不应该被归类主旋律，一贯的程耳风格，一贯的程耳美学
1311$35372742$无名$我们去躲雨吧$2023-03-12 17:17:32$2$打戏精彩 抽烟镜头也太多了吧…打卡中国电影博物馆，屏幕太强了o(*////▽////*)q
1312$35372742$无名$爱是谁的猫是谁$2023-01-22 14:09:07$80$程耳好牛程耳好牛程耳好牛！比罗曼完美！
1313$35372742$无名$四个又$2023-03-13 21:58:06$0$为什么二星是较差三星是还行.. 能不能有个2.5星说一般which means也没有很差也就是so so的地步呢..上一部罗曼蒂克消亡史确实看得很嗨，包括这部电影觉得也不是会自己在家里点开看的类型，美化说就是觉得电影院看更好，还好找了票贩子买的票，原价买应该悔死我，感觉就是故弄玄虚，叙事手法稍微impressive一下，但也就仅此而已，或者为梁朝伟廉颇一样的打戏再加一点分，但流量演戏还是被反噬啊，剧情来说也没什么说的，要真是流量一杆到底不反转我还觉得小惊喜难道不更值得粉丝催演技炸裂眼光好吗，一般般中差的，导演你不该是这个水平！
1314$35372742$无名$一只脆皮虾$2023-04-08 15:09:28$2$质朴的镜头语言，搭配错乱有序的故事剪辑。程耳导演风格拉满，个人很喜欢。“装”的很有格调，“聊”的很有韵味。
1315$35372742$无名$flora$2023-01-22 12:12:56$167$披着程耳外衣的商业烂片！！！
1316$35372742$无名$蔡姑娘_$2023-02-26 23:08:16$1$09 三星半 《无名》其实蛮不适合春节档的，是那种前面需要抽丝剥茧，到最后结局才能恍然大悟的类型，对比起来还是更喜欢罗曼蒂克。
1317$35372742$无名$哇哦$2023-01-22 12:13:54$565$本来冲着大哥来的，结果被王一博的猪头劝退！靠！太辣眼睛啦！邪祟退！退！退！
1318$35372742$无名$又要起名字$2023-01-22 11:23:33$151$诶不错诶 过两天再看一遍
1319$35372742$无名$等风来🍀$2023-01-30 23:53:33$35$全程皱着眉头看完，看的云里雾里。觉得有两个刻意，一是刻意前后剪辑，导致看的都不太懂，明明氛围到了可以给结果的地方偏偏停止，让你猜；二是一些镜头给的太刻意，少有的语言和对话对剧情感觉也并没有太大作用。当然也可能是我不懂得欣赏。
1320$35372742$无名$微信用户$2023-01-22 11:55:16$123$"这样的电影才是电影！！！每个镜头都特别有它该有的存在！打戏真的是惊心动魄！不得不说全员演员都牛逼😭😭😭我到现在都还没出戏！值得三刷以上！！还有还有地表最强摄影机把人物皮肤的机理和光影完美融合！简直不要太牛！"
1321$35372742$无名$Zhihao$2023-02-17 14:01:48$5$看罗曼蒂克消亡史就像把自己的眼睛抠出来，这部片子一样。
1322$35372742$无名$走路的鱼$2023-04-12 08:26:10$0$叙事线顺序还是导演的风格。
1323$35372742$无名$wowyuese$2023-01-22 11:24:18$187$过年看这么个电影真的是晦气，尼玛对话全是上海话结果还没字幕，王一博的演技真的是惨绝人寰，他就没有演技这个东西？梁生你是有多缺钱接这么个烂片？？？
1324$35372742$无名$无止境的梦$2023-02-05 20:07:51$6$造型凹的确实帅，但剧情有点太单薄，也没有什么值得回味的地方。
1325$35372742$无名$热灰$2023-02-10 00:00:56$0$7
1326$35372742$无名$míac$2023-01-22 12:04:05$135$一星给梁朝伟王传君等演员一星给视听语言
1327$35372742$无名$连泉$2023-01-22 11:23:53$222$只能说除了画面其他没啥好吹的。现在的电影和剧就不能好好讲一个故事吗？这种风格和面瘫脸实在是不搭。
1328$35372742$无名$懵懵鱼$2023-01-22 11:43:33$234$本来以为就我早起去看电影，没想到那么多人会早起去看呢，还是去看自己不喜欢的，这评论区真真看不懂啊，说回电影，画面很好看，值得去影院观看，全员演技在线，认真看片的不会说看不懂，当然你如果不专心边刷手机边看那可能是会觉得自己没看懂啦，国内确实缺少这样独特风格的影片，值得二刷回味，反正我看得很爽
1329$35372742$无名$宅在家中看电影$2023-04-18 18:05:08$1$你能感觉到导演想很用力的表达，模仿，但是就不是那个味，非说别扭吧，可能有点过分，但确实让你容易坐不住，看不进去。演员部分不用多说，该好的非常好，该扯淡的也确实扯淡。谁是演技派，谁是偶像派，谁是啥都不是派，只要看过，一目了然。三星吧。
1330$35372742$无名$XS爱吃鱼$2023-03-09 00:05:11$1$周迅开门拥抱梁生那一幕，这两人的表演真特么动人啊！！！导演有必要给那位这么多特写吗？很努力的在特写上寻找信息量和情感点但我啥也找不到啊啊啊啊啊
1331$35372742$无名$一隻眼看天下$2023-04-16 00:23:07$0$画面很不错👍喜欢💕剧本就这样 剪辑的有点装
1332$35372742$无名$lilyqingchuan$2023-01-22 11:30:48$67$妈妈呀，值了，我要再去二刷，三刷，忍住，不剧透，啊啊啊啊啊啊啊，耳，爱死你了，你是我亲大爷。
1333$35372742$无名$渡口无边$2023-01-22 13:40:46$191$大字幕很明显在学墨镜王，摄影美术也是。气质是有的，但都不是程耳的。除此之外，一地鸡毛，十分稀碎。
1334$35372742$无名$生祥$2023-04-13 11:13:12$0$还蛮有导演个人印记的电影，王一博只会翻白眼吗？故事其实很单薄，但是被导演叙述得比较高级。
