$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11589036$功夫熊猫3$翻滚吧！蛋堡$2016-01-23 17:00:54$1303$让跳舞娘的去玩双截棍，不怕被淋淋吸吗
266$11589036$功夫熊猫3$白桃味的小猫咪$2017-03-14 12:49:44$5$好看，国语配音都很不错。
267$11589036$功夫熊猫3$待城$2016-09-27 19:05:17$4$这次阿宝跟着熊猫爸爸回到了熊猫村，去保护自己的家乡，而鸭子爸爸对阿宝的爱也是让人感觉很温暖
268$11589036$功夫熊猫3$梁氏佑卿$2016-02-09 13:03:15$0$"还是那么萌，但是有刻意卖萌的感觉，不是很自然了。对气功的理解也是真心浅，突然一下全村就有挂了，突然一下主角的挂就来了。而且，气功培训班不是骗局吗？怎么还开上了？
三星给画面音乐和节奏，真良心。"
269$11589036$功夫熊猫3$一碗云吞$2016-10-23 08:41:58$1$kai每次出场的音乐好带感，根本不像反派。。。画面很棒，熊猫不萌，故事幼稚，剧本太差。。。
270$11589036$功夫熊猫3$ZeonGin Sou$2016-02-08 03:00:53$0$此等特效，此等笑料，此等动设，实属上等，剧情推动简直行云流水。再对比前段时间看的小门神，什么鬼……
271$11589036$功夫熊猫3$不忘$2016-02-05 19:40:32$0$老师是让每个人发挥自己的特长  领导也是
272$11589036$功夫熊猫3$ゆゅ$2016-09-09 14:35:12$1$剧情有屎 气功有毒
273$11589036$功夫熊猫3$jagpumpkin$2016-02-15 17:14:51$1$就……熊猫流水线。而且阿宝照着Jack Black那样儿画也就算了，整个熊猫村都长这样，太凶了，555. 牛头天煞这造型气质动作真没有参考Mickey Rourke在《钢铁侠2》里的造型？
274$11589036$功夫熊猫3$Lycidas$2016-01-23 17:04:38$33$为什么把master shifu，鹅爸，还有和教练长得一模一样的反派写得那么可爱！变态！犯规！（give me more!）我，一个谜之喜爱老年人症候群晚期患者选择放弃治疗…
275$11589036$功夫熊猫3$慈悲鞋底$2021-02-05 23:58:03$0$主要说，气
276$11589036$功夫熊猫3$没想到|小红绳护体$2016-05-26 06:20:34$1$technically, 我应该不算看过...
277$11589036$功夫熊猫3$picnic$2022-03-20 23:26:08$0$还是喜欢第一部，2和3动作场面多了花哨了，故事性的内容少了。
278$11589036$功夫熊猫3$穆如初$2018-08-10 10:54:41$0$还是前两部好
279$11589036$功夫熊猫3$简里里$2016-02-05 18:01:50$2$赶脚是拼凑成章。
280$11589036$功夫熊猫3$齊克斯尼力佐飛$2016-05-15 21:53:19$0$略炫，但略低幼。
281$11589036$功夫熊猫3$阿吉娃娃$2016-02-04 21:20:52$1$基本这个系列以后就是东方梦工厂专为中国观众定制的了吧，视效一贯的出彩，剧情则越来越低智幼龄化，大概适合幼儿园的小盆友这个年龄，人物出场乱渣渣，全片节奏像熊猫嘴里塞的包子满满当当，成龙的配音分分钟让人出戏
282$11589036$功夫熊猫3$贺兰迈克$2016-08-17 05:36:58$0$画面非常燃，但是败在卖蠢部分太多了。但看完我依然有种后悔没去院线支持的感觉
283$11589036$功夫熊猫3$刘康康$2016-06-01 11:52:57$2$属于不去电影院看在家看就看不下去的那类电影……“认识你自己”这套苏格拉底的人生观，其实带有本质论色彩的，因为按照柏拉图的解释，每个人出生时就决定了你会成为什么样的人，你分有了勇气的理念就会成为战士，分有了智慧的理念就会成为哲学家。说白了，决定论色彩浓厚。
284$11589036$功夫熊猫3$容貌焦虑主理人$2016-02-04 05:31:42$0$成熟的画风几近完美了。虽然是给小孩子看的动画片，但也可以拍成两个小时的长片吧，太短了，不够看啊。剧情没有前两部深刻。
285$11589036$功夫熊猫3$了了$2016-02-05 11:57:05$1$场景+配乐。别的就没什么好说的了，太低幼，看得想睡觉，这部之后不用再拍了吧，反正北美表现一部比一部差。
286$11589036$功夫熊猫3$火腿子$2016-01-30 12:19:54$1$熊猫村敲可爱！！！！！每次看这个系列都蜜汁感动qwq
287$11589036$功夫熊猫3$BLAKE$2016-03-07 22:07:29$0$寒假，北京和苏一朕一起。库布里克书店。
288$11589036$功夫熊猫3$焕鈅$2016-02-04 20:10:56$1$虽然都是大俗套，但是，我，没法对萌化的四川胖达滚滚们唧唧歪歪。
289$11589036$功夫熊猫3$玥玲大可爱$2016-01-29 15:19:40$0$跟谭耗子去看的~蛮不错的，最后有点感人~然后，应该是完结篇了吧？！
290$11589036$功夫熊猫3$十一伏特$2016-02-08 15:48:49$1$看着屏幕上几十只黑白圆滚滚的熊猫来回翻滚，就笑开了花。喜剧效果一流，卖萌效果一流。节奏前紧后松，行为目的设置和人物性格塑造上一般，不过对于一部新年合家欢的电影也已足够，适合大人和孩子一起享受90分钟的。中文配音也听感甚佳。
291$11589036$功夫熊猫3$铎奇$2016-05-07 00:04:00$0$看了跟没看似的。on flight.
292$11589036$功夫熊猫3$该Yann你去光禹$2016-02-12 12:04:15$1$幼稚！
293$11589036$功夫熊猫3$厦门雷少$2016-03-27 07:06:20$0$人物有点儿多。配角出彩的少，着墨的不多。
294$11589036$功夫熊猫3$過期貓糧$2016-01-30 13:51:40$9$功夫熊猫让我佩服的一点就是每次都能把平凡的剧情讲得如此精彩。抑扬顿挫节奏紧凑，角色演绎恰到好处，细节生动有趣，3D效果超棒，iMAX可以看起来。影片结束时一个小孩在荧幕前比划起了功夫，第一次让我觉得熊孩子没有那么讨厌。
295$11589036$功夫熊猫3$烈焰红唇龙$2016-04-03 11:39:05$0$旧瓶装新酒，找回自己算是没变味的鸡汤。
296$11589036$功夫熊猫3$F$2016-01-30 21:51:03$0$还是很好笑呀
297$11589036$功夫熊猫3$听风阁$2016-01-29 11:48:08$1$我阿宝回来了。我阿宝做老师了。国语配音给了啊！
298$11589036$功夫熊猫3$eros$2016-01-29 13:44:45$1$功夫熊猫之原力觉醒。
299$11589036$功夫熊猫3$饭夫斯基$2016-01-31 03:57:34$0$3D效果太好了。故事也很有趣。
300$11589036$功夫熊猫3$弗小贝$2016-09-09 15:29:33$1$画面故事不错，功夫也太糊弄人了吧
301$11589036$功夫熊猫3$琧婯$2016-03-04 01:15:36$1$画面是真不错，故事逻辑弱到难以想象。。
302$11589036$功夫熊猫3$七彩云男$2016-01-30 21:57:48$0$合家欢
303$11589036$功夫熊猫3$一小片$2016-02-06 19:35:42$1$不是我喜欢的那种萌，全程好敷衍的感觉
304$11589036$功夫熊猫3$Fawn$2016-02-03 13:33:53$1$我觉得既然是“中美合拍片”，就应该在肤浅化的中国元素堆砌之外再见出一点灵魂，可能是我要求太高了。
305$11589036$功夫熊猫3$[已注销]$2016-01-31 11:58:55$1$Oh man Po got friendzoned soooo bad…
306$11589036$功夫熊猫3$魏晓波$2016-02-01 23:48:57$1$深得中国功夫故事精髓，真正厉害的功夫不是学习的，而是靠机缘和意念。
307$11589036$功夫熊猫3$DK小眼镜儿$2016-02-22 19:44:18$1$可能我预期的太好了。感觉没有前两部好。
308$11589036$功夫熊猫3$PROMISE921$2016-03-07 09:00:03$0$真心听不出来是朱莉配的音 哈~~感觉还是第一部最好
309$11589036$功夫熊猫3$海盐$2016-05-17 21:00:36$1$只可惜不是国人做的！
310$11589036$功夫熊猫3$YummyMeow$2016-05-17 21:59:50$1$一直觉得爸爸百分之百是黑的，很纠结。
311$11589036$功夫熊猫3$深夜的阿斯伯格$2017-02-01 15:20:39$0$原来气功就是秽土转生啊是忍术啊，斯过亿!作为续集没有啥突破。
312$11589036$功夫熊猫3$fr$2016-01-30 23:17:24$1$阿宝阿宝，还是我圆滚滚憨憨的正义阿宝神龙大侠啊。 3D imax画面美呆。 和爸爸们的亲情很感人，熊猫村的圆滚滚们很可爱，合力打败天煞的过程很精彩。贯穿整集的主题明确，找到自己做最好的自己。最适合成人和儿童观看的动画影片，阿宝棒棒哒。
313$11589036$功夫熊猫3$Suri$2017-12-28 14:13:42$0$熊猫怎么就那么萌呢？鸭子爸爸有点太感人了
314$11589036$功夫熊猫3$Vince♫$2016-02-04 23:44:30$0$神算子的声音毫无违和感，全家观看味道更佳
315$11589036$功夫熊猫3$UglY_MoNey$2016-02-06 23:18:40$0$对不起，但首先。。。villian的主题定在了梦龙的im so sorry导致我每次一出场我都要站起来一起唱的节奏（谁的错！？还有啦~老白和席梦思大舅子真的是配音配的太！棒！啦！很多时候我根本专注点不在故事情节上啦！！画面的切换有点过于碎，画面的颜色很强，功夫熊猫特色水墨效果也到位！
316$11589036$功夫熊猫3$dbhk$2016-02-08 17:08:19$0$3.5星。和那谁一起在电影院看的，场景特别是中国元素做得美轮美奂，细节也是梦工厂一贯质量保证。故事中规中矩，不算特别有新意但也还过得去。
317$11589036$功夫熊猫3$Helicopter$2016-01-30 16:52:01$0$各种中国元素——衣食住行功夫——被如此美轮美奂呈现，是值得感激的事呢…场景风格也很多变，从3D到水墨，动作场面的剪辑也非常流利。故事内核简单但传递给孩子已足矣，而且算是将道家思想和老美的just be yourself做了很好的融合，唯一就是高潮那场戏有点太借助神力了。
318$11589036$功夫熊猫3$小年左$2020-02-02 03:31:21$0$神龙大侠就是“我”之后，找到“我”就能成为好老师，寻找自我的内核没变过，鸡汤喝起来美味可口还能增强体力，好笑好看，还能有小领悟，可以了。
319$11589036$功夫熊猫3$小明$2016-02-05 15:49:03$1$好敷衍的故事啊。
320$11589036$功夫熊猫3$北极熊$2016-02-06 11:43:21$1$一天之内跟三个熊孩子看了两次，好像我已经老了吗？中国元素包裹的美国故事，孩子们喜欢就好吧。
321$11589036$功夫熊猫3$了了不了$2016-01-25 21:44:23$1$配音是惊喜：）
322$11589036$功夫熊猫3$Chuck$2016-07-14 01:28:33$0$好看好看！！！希望再繼續拍啊~千萬別停！！！
323$11589036$功夫熊猫3$17950$2016-06-07 20:13:12$0$這系列真的除了第一集外都不能看……
324$11589036$功夫熊猫3$木偶$2016-02-12 20:20:41$0$乐呵呵，萌萌哒。另外成龙配音阿宝亲爹，有种阿宝那么闹原来是磕了药的原因。
325$11589036$功夫熊猫3$苗$2016-02-03 20:25:30$1$有一种磅礴的喜感
326$11589036$功夫熊猫3$小溪笑嘻嘻$2016-07-02 11:55:06$0$2D和3D動畫運用得不錯呀～
327$11589036$功夫熊猫3$魏无忌$2016-02-01 16:18:36$1$对这一系列不算感冒。但本部的中国风实在是全面又细致，你可以注意到带印章的山水画卷轴，奶奶家的老物件也做了龙套道具。这份用心可以给平庸剧情多加一星。熊猫以「圆」、「肥」为萌，显然这两者都背离了对女性的审美。所以片中的「美美」只能走谐星路线，阿宝很难在系列终结前完成人生大事了。
328$11589036$功夫熊猫3$MY BMM$2016-02-21 12:01:05$0$幽默诙谐，美轮美奂，禅机十足，励志向上~做最好的自己。可惜如此中国风的电影不是中国制造。
329$11589036$功夫熊猫3$Loyf$2017-09-16 21:48:03$0$double dad defense.........
330$11589036$功夫熊猫3$卡塞尔少年$2016-02-02 23:56:15$1$他说比国产的什么大圣强 真是恶心 事事拿己之弱项比他之强项 看见梦工厂就立刻脸都不要跪下死舔人家屁股 根本来不及看看自己所拥有的是不是那么卑微！中国动画可以崛起到这个地步 需要的是鼓励鼓励和支持 这种崇洋媚外就会闪一边嗑瓜子说风凉话的狗人 怎么不去吃屎呢！没尊严不要脸的让人恶心！
331$11589036$功夫熊猫3$正在$2016-05-14 19:53:43$0$画风多变，然而都是套路
332$11589036$功夫熊猫3$Mia$2016-07-12 23:49:34$1$有病啊 熊猫能拍三集
333$11589036$功夫熊猫3$.$2016-02-15 17:33:18$1$美工好
334$11589036$功夫熊猫3$夭夭酱$2016-02-16 20:41:56$1$中国风很赞，笑果十足，萌点很多，功夫熊猫的牌子已经打响了
335$11589036$功夫熊猫3$远古善良养猫犬$2016-01-31 17:19:47$1$不需要努力练功，只需要每天开开心心的做自己，自然就能成为一代大师。美国反智主义的又一株毒草。
336$11589036$功夫熊猫3$Lynne.Z$2016-02-01 02:15:13$1$好失望。。。什么水剧情，特效再牛也架不住烂剧本，在电影院看的只有国语配音。。听着很烦，尤其是成龙配的，总出戏。
337$11589036$功夫熊猫3$孑然殇逝$2016-01-30 18:44:24$0$后悔没看国语配音版的了
338$11589036$功夫熊猫3$张腾森$2016-01-30 19:32:48$1$熊猫家族的滚式前进真是萌萌哒
339$11589036$功夫熊猫3$一個死槍槍$2016-05-13 05:26:24$0$打個牛魔王的就成仙了 真是草率 哈哈
340$11589036$功夫熊猫3$合纥$2016-02-23 21:53:43$1$全靠萌点撑着了，连坐了一大半的小孩子看片过程都很沉寂，反应稀稀拉拉。想想也是故事老少不逢缘了。
341$11589036$功夫熊猫3$猪脚脚$2023-04-21 18:38:31$0$停留在表面上的好看，惊讶于美术设计上的细节之丰富，但可惜剧情浪费美术。三部里还是最喜欢第二部。
342$11589036$功夫熊猫3$淋$2016-02-12 13:31:09$1$血统造英雄
343$11589036$功夫熊猫3$小蛋蛋$2016-02-06 18:36:09$1$大概胖子会被胖子感染😂萌点满满
344$11589036$功夫熊猫3$illusion不忘记$2016-06-03 22:27:40$1$好可惜过年那阵没时间去电影院看，今天在网上看完了。异彩纷呈，目不暇接，最关键的是，现在看到这部片子，对我最近的工作太有帮助了，又一次更新了三维动画知识库！冥冥中的巧合自有天意。
345$11589036$功夫熊猫3$ring$2016-02-12 18:01:54$1$刚进影院看到满坑满谷的小豆丁们，心里顿时一紧：早知道应该把可可带来，看谁吵的过谁。电影开始后，小朋友们看的都还挺专注，又有点后悔，如果把可可带来，说不定她也能专心看呢？
346$11589036$功夫熊猫3$飞羽$2016-02-11 20:53:07$1$简单的合家欢娱乐电影：）
347$11589036$功夫熊猫3$忘记$2016-01-31 17:38:29$0$功夫滚滚~特效依然出众，中国元素一如既往地精彩，气功设定一如既往地扯淡。人设有趣，台词惹笑，喜欢乌龟大师和浣熊师傅O(∩_∩)O
348$11589036$功夫熊猫3$更深的白色$2016-04-22 01:11:36$0$草草了事。熊猫找回气什么的，感觉再往前一步就中国梦主旋律了。
349$11589036$功夫熊猫3$dataframe$2016-01-29 09:55:42$8$萌萌的阿宝又回来了 依旧中国风的、、梦工厂
350$11589036$功夫熊猫3$明天开始戒db$2016-02-13 10:44:25$0$画面一般，剧情幼稚，根本就毫无看点啊
351$11589036$功夫熊猫3$w2jmoe$2020-06-13 16:53:49$0$很棒的动画电影续集！... :q
352$11589036$功夫熊猫3$周眠$2016-01-29 22:21:52$3$三部熊猫中最可爱的一部。干得漂亮。恍然看到平行世界的另一个中国好梦。
353$11589036$功夫熊猫3$Wayne$2016-04-05 18:44:08$0$特效是很好，不过剧情开始不给力了
354$11589036$功夫熊猫3$Velox$2016-03-22 20:45:37$2$技术越来越成熟，故事套路越来越没新意，对相关文化概念的理解越来越跑偏，笑点越来越低，装疯卖傻越来越没节制
355$11589036$功夫熊猫3$布拉德痞特儿$2017-08-15 16:17:32$0$作为好莱坞流水线作品，功夫熊猫系列还是保持在很平稳的水准上的，笑点比较自然，故事也较完整。
356$11589036$功夫熊猫3$伯克希尔$2016-02-15 22:04:26$0$画面很赞，感觉镜头切太快都没能把细节看清楚，神龙大侠的成长历程让人想起老星战的Luke，大概因为它也若有若无地苦哈哈了，反派出场时候的BGM特别燃，还想再看一遍，这个系列都是外国人对六七十年代香港功夫片的怀旧追溯。
357$11589036$功夫熊猫3$抠脚诗人$2016-07-19 09:24:21$0$挺有趣
358$11589036$功夫熊猫3$幻觉的黎明$2016-01-23 20:35:40$0$一直有预感自己在吃的方面还有很大的潜力！
359$11589036$功夫熊猫3$哈比$2019-03-23 01:12:37$0$师父、气、李山。喜欢爸爸们的爱。以及找到自己的立意。Who am I？把自己最习惯。最擅长的一面用到极致，这的确可以速成 做出点成绩。但是要长远，还是要多多注意正统路线，提高基本素养。
360$11589036$功夫熊猫3$女神的秋裤$2016-02-01 23:01:33$2$可能状态不好，在电影院也有点看不下去。。。笑点生硬也不走心，老是走神，还有点困。。。
361$11589036$功夫熊猫3$阿伦和饭师傅$2016-04-17 18:32:43$0$le grand rex  16-04-2016
362$11589036$功夫熊猫3$灰色堡垒$2016-01-29 21:07:55$2$感觉这个系列已经走入瓶颈了，要想突破应该找一个深谙中国文化的好编剧厚积薄发地表现出来，而不是仅止于堆积一些表面元素。这种场面闹翻天又没什么内容的动画片，也就是《精灵旅社》那个档次的（卖萌倒是做得比《小黄人》好），观感就像玩了一个快餐式的电子游戏。P.S.配音阵容好豪华。
363$11589036$功夫熊猫3$Super朱$2016-02-02 11:46:50$1$这一部导演很明显挺重视中国市场的 用了很多中国元素 甚至翻译乌龟也是wugui 但是觉得就这样吧 并没有什么惊喜 适合孩子看 不适合大人
364$11589036$功夫熊猫3$蓝霉沉皮$2021-01-12 23:34:50$0$搞笑更加卖力，但故事跳脱了点，没什么动心之处。主题是使命，是成仁，比前两部更具东方特色，但依然能看出邓布利多军，舍生取义，在天堂重遇邓布利多选择去留的影子。主线偏弱，节奏略乱，反派又双叒叕是个不高兴的逗比。师傅坐实了过渡期交接员身份，自身定位和实力成谜。这几个系列的配角塑造都比较敷衍。关于熊猫爸爸线，荒诞中孕育着昭然若揭的危机感，做得完全不出人意料。娇虎的爱情线倒是搞一搞啊！
365$11589036$功夫熊猫3$烏滌非$2016-03-28 04:22:05$0$有那麼一瞬的衝動想打兩星……上一部竟然是5年前了。當時還是在埃及看的。天哪。
366$11589036$功夫熊猫3$喵星人不吃鱼$2016-02-15 00:32:43$0$几个老外对中国文化的理解，在外国人里算很好的了。想起若干年前，第一部上映时候四川有人抗议说不要这样的熊猫，请问当年的傻缺你们还在吗
367$11589036$功夫熊猫3$Q.Henry$2016-06-11 20:21:42$0$一部电影里有一个耍贱卖萌搞笑的胖子就够了，多了就审美疲劳了
368$11589036$功夫熊猫3$Sally?imdb9?9$2016-02-14 01:12:00$0$又看的中配……还我赛胖！！！这次的坏人有点蠢，没有王爷风骚。鹤变绿反而变帅了……shifu变绿还是…很萌……
369$11589036$功夫熊猫3$变形的文科生$2016-01-20 23:17:59$1$吃货都是潜力股，乌龟大师是真爱。
370$11589036$功夫熊猫3$花样年华$2016-05-16 13:41:49$0$萌萌哒
371$11589036$功夫熊猫3$翟墨子$2016-03-03 23:19:54$0$制作精灵，视觉效果突出，但是看的过程中只有一个感觉“小”，好像盖世五侠都没有什么表现——分两天看完的，记不大清了
372$11589036$功夫熊猫3$Rorschach$2018-07-17 20:58:23$0$新鲜劲儿过去没那么好玩了   我好像只看了一半
373$11589036$功夫熊猫3$二当家李多余$2016-02-09 16:47:28$0$和福克先生一起看的电影，还是不错的，知道了一些让人伤心的事情。
374$11589036$功夫熊猫3$憨大仁$2016-02-01 17:28:56$0$萌哭了！
375$11589036$功夫熊猫3$莱尼圆$2016-03-18 22:58:11$0$中式元素的设计一如既往地精致而考究，古代服饰、少林拈花指、水墨画、毛笔字、鞭炮……中国味更浓了；画面细节的呈现和整体视觉效果也更甚前作。阿宝终于登上了片头梦工厂的月亮logo。故事线衔接得很好，阿宝认亲返乡，来到如世外桃源般的熊猫村。功夫上有关气的设定难免玄幻，也多亏了3D效果的支撑
376$11589036$功夫熊猫3$Sabrina$2016-07-30 22:18:21$0$1. 气 2.做自己 3.合作  梦工厂这几年跟迪士尼的差距越来越大，该去找新题材了。熊猫系列到此吧。
377$11589036$功夫熊猫3$观察人类$2016-03-14 21:10:52$1$没新意，感觉下一部又随便编出个boss，结果阿宝又超越了自己打败了怪兽。这跟怪物史莱克有什么区别，多动动脑子吧，合拍是个学习的过程，看完疯狂动物城再看它对比更明显了，好在片尾曲加分。
378$11589036$功夫熊猫3$凯丽要一夜暴富$2016-02-06 23:38:09$0$@UA
379$11589036$功夫熊猫3$筱晗$2017-07-16 11:46:23$0$虽然其实是美国精神，但很正能量
380$11589036$功夫熊猫3$小缎$2016-10-29 22:47:33$0$要是梦工厂换成国产某影视公司，剧情估计是被骂死的节奏，这都什么走向啊……当然动画效果是真的好，所以真希望哪天国产动画有这个效果水准，但核心是纯中国元素，嗯我还是去看大圣归来了
381$11589036$功夫熊猫3$千叶县29℃$2016-07-20 17:34:28$1$情节很苍白，制作很精致
382$11589036$功夫熊猫3$pksky$2016-08-14 18:07:35$0$不得不为Master Oogway的音译点赞...神秘村庄就是一堆包子脸，梦工厂拍出了浓烈的中国风...鸭子爸爸就是美国人眼中的华人形象代表...比迪斯尼更加低龄，比上一部inner peace还要再无趣些...
383$11589036$功夫熊猫3$猛晃$2016-01-31 00:49:09$0$简单欢快，好不累赘。就是喜欢这样的一种感觉。 配乐美工都很棒。
384$11589036$功夫熊猫3$冬季向日葵$2016-01-30 19:38:11$1$少儿频道，轻松休闲，还是蛮可爱的～略单薄些。
385$11589036$功夫熊猫3$西木的风$2016-09-27 00:12:56$0$自我意识的觉醒和实现，在东方文化背景下颇有趣味，但总体还是热闹有余，回味不足。
386$11589036$功夫熊猫3$说了我是黑无常$2016-03-12 11:44:09$0$虽然还是看/听得挺开心但这反派设置和终极境界……武侠片拍成玄幻片就……这个系列在我心里的巅峰就是病娇孔雀那种传统武侠世界扭曲革新者式的角色了，至于气功大师...反正不是靠爱的真谛炼精化气的。16.3.12 @北京UME影城华星店
387$11589036$功夫熊猫3$私~川流$2016-01-30 10:28:35$1$一边看一边就感觉尴尬症要犯了。功夫真有这么容易吗，真有这么炫酷吗，我都觉得不好意思。笑点感觉比之前有些勉强。熊猫们也不够可爱。依旧喜欢老虎，毕竟是朱莉配的音。
388$11589036$功夫熊猫3$qw0aszx$2016-01-23 21:26:21$2$和第二部齐平，没有亮点也没有什么失误，画面精美，用来打发时间也不错。 7.0分★★★☆
389$11589036$功夫熊猫3$口袋_肥力士$2016-01-30 22:15:24$1$中国风元素融入的真好。无论是师傅的“只做能力内的事情不会进步”还是后面的“教别人是让他成为自己”都透着浓浓的哲学感。阿宝对于tiger的喜爱简直要溢出来了啊还带着小人偶ww
390$11589036$功夫熊猫3$浴巾小狼$2016-02-13 06:04:31$0$对于中国和功夫的浪漫幻想。
391$11589036$功夫熊猫3$白$2016-10-16 08:51:03$0$比第二部好看。笑点很多~~~看的我哈哈大笑
392$11589036$功夫熊猫3$仁慈的父$2016-01-29 08:59:26$0$昨晚看的0点首映。笑料还是蛮多，语速太快我反射弧太长总是笑料都飘走十里路了才开始哈哈哈，配音只有黄磊和张国立出彩，有个周董的梗还算是好笑，其他人抱歉没听出来。建议看IMAX版效果很不错，重要提醒，不要等字幕出到最后想看彩蛋，我告诉你们吧，压根没有彩蛋，开始放片尾曲的时候请果断走人。
393$11589036$功夫熊猫3$宅拾叁$2016-02-01 20:09:45$0$专门看了国配，很好。中国元素真不算吹，水墨画真美。
394$11589036$功夫熊猫3$涵湘宁$2016-02-14 07:24:12$0$和第一部差不多水准，比第二部好看一些。
395$11589036$功夫熊猫3$madaoooo$2016-03-06 19:08:05$1$抄袭火影，反派这不就是佩恩六道+秽土转生吗
396$11589036$功夫熊猫3$半袖$2016-09-12 13:38:56$0$想要一个八卦手杖……20160912
397$11589036$功夫熊猫3$张兮兮$2016-06-28 00:03:04$0$太过简单的正义终将战胜邪恶，没有见到任何亮点，太失望了
398$11589036$功夫熊猫3$易$2016-02-02 00:43:02$0$中国元素更多了，好玩依旧，不过确实没什么发展。
399$11589036$功夫熊猫3$逍遥吧$2017-04-08 20:47:31$1$国语版的张国立配音真不错啊
400$11589036$功夫熊猫3$阳光清清$2016-02-02 02:51:02$0$找到真我，涅槃重生
401$11589036$功夫熊猫3$吃坚果的松鼠$2016-02-01 23:47:29$0$西方的理念加上中国文化，一如既往的合家欢。
402$11589036$功夫熊猫3$Monalisa$2016-03-06 20:16:06$1$功夫熊猫总是能带来很多回忆，像是第一部时候躲在寝室里的被子里看，第二部的时候和高中的舍友去看，第三部则是自己去看，心境也大不相同，从中二少女到黄金时代，现在则是单身汪~甚至我都等到了哲学里的终极问题，我是谁？我怎么还没成为神龙大侠啊……
403$11589036$功夫熊猫3$陆眉$2016-02-01 18:46:07$1$我再也不一个人看阖家欢乐的电影了
404$11589036$功夫熊猫3$seamouse$2016-02-06 22:48:10$0$角色加入的恰如其分，也非常合理化的丰富了剧情，可不知是自己点高了还是别的原因，觉得不怎么好笑了。
405$11589036$功夫熊猫3$黑狗成$2016-05-28 20:26:15$0$反派收集癖挺不错，懂中国。
406$11589036$功夫熊猫3$凉眸丶$2016-01-15 19:40:58$1$期待美美配音 期待电影 29刷起
407$11589036$功夫熊猫3$午后Ice Tea$2016-02-02 23:59:01$0$"其实我一直觉得小浣熊师傅是跟阿宝一样重要的男一，自然第三部在我来说没了小浣熊师傅的戏，看起来不那么过瘾了！
"
408$11589036$功夫熊猫3$Anondot$2016-03-06 07:10:31$0$三观很正，只是有点吵
409$11589036$功夫熊猫3$最爱百年孤独$2016-08-11 21:05:50$0$画风精致，情节欢快，只是对“道”的阐释感觉还差很远，是个遗憾。
410$11589036$功夫熊猫3$小颗白胖子$2016-09-22 15:32:33$0$对进字幕时的水墨画风背景最有好感。
411$11589036$功夫熊猫3$海娃兒$2016-02-07 11:30:10$0$6.7分。很欢乐，但没有突破
412$11589036$功夫熊猫3$ladbat$2019-02-04 22:36:56$0$熊猫跟神龙合体那不是全世界无敌了 还有啥好说的
413$11589036$功夫熊猫3$鸟鸟弗斯$2016-02-29 06:56:25$0$功夫熊猫出自外国人之手，但是全片都好中国，像是中国电影加了英文配音。反观卧虎藏龙2简直就是一泡屎。最后的神龙大侠战斗套装好好笑！！！
414$11589036$功夫熊猫3$桥山小野姬$2016-02-06 06:12:15$1$Oriental Dreamwork
415$11589036$功夫熊猫3$拣尽寒枝$2016-01-29 14:31:31$1$老少咸宜的故事，一如既往炫丽的画面，萌死人不偿命的各种熊猫，配上IMAX极致的效果呈现，棒！
416$11589036$功夫熊猫3$大树$2016-08-24 20:29:55$0$爱上杨幂的小奶音怎么治
417$11589036$功夫熊猫3$花开有声$2016-05-02 16:01:57$0$作为一部合家欢类型的动画片，萌萌的熊猫在此续集中承担了搞笑和俘获人心的作用，虽然没有太大的突破，但也没让观众太过失望。
418$11589036$功夫熊猫3$白牙尖$2016-12-31 15:16:33$0$熊猫桃花源出来的时候，仿佛到了湘西。节奏笑点都无可挑剔，这次中国元素被梦工厂玩得得心应手。2016最后一天，功夫熊猫收场。
419$11589036$功夫熊猫3$减肥减肥减肥$2016-03-07 22:36:06$0$喜剧效果尚可，卷轴里面的词句倒是惊喜了一次，不但意义正确而且颇有古风~就是领悟气功使用那里有点生硬……一群胖熊猫恶意卖萌片段不太喜欢。
420$11589036$功夫熊猫3$陈囿$2016-07-06 12:32:55$0$剧情太弱
421$11589036$功夫熊猫3$河狸$2016-01-29 22:18:47$0$一个阿宝就蠢萌得天翻地覆，一堆“阿宝”谁能受得了？作为历代最强boss的牛（鹿？）魔王生不逢时，真的有点心疼它。
422$11589036$功夫熊猫3$八尾猫大仙$2016-02-20 16:09:41$0$好俗套的故事啊，一点惊喜都没有～
423$11589036$功夫熊猫3$eugne$2016-03-09 21:20:03$0$终于看了仍在上映的《功夫熊猫3》。到了第三部，反倒是失去了以前两部的感觉。以前可以看台词，看场景设置，到了这一部，就只能看熊猫的生活状态了。总的来说，是一部完成度很高的动画作品，但是并不足够出彩。
424$11589036$功夫熊猫3$少年派的崛起$2016-02-03 13:40:48$0$ 更多呆萌的熊猫角色，这一部聚焦阿宝的身世，有笑点也有泪点，视觉效果出色，节奏紧凑。很成功的中美合拍动画片
425$11589036$功夫熊猫3$孤岛$2016-11-17 04:28:02$1$周杰伦的猴子配音：哎哟，不错哦
426$11589036$功夫熊猫3$cocojamboo$2016-03-27 17:54:11$0$动画精美，故事性好，但是对好莱坞有点审美疲劳了。。。
427$11589036$功夫熊猫3$素梳影$2016-07-29 03:51:57$0$有主角光环一瞬间可以超越副主角30年修炼，也可以超越反派500年修炼，呵呵。
428$11589036$功夫熊猫3$霾桑 等108个人$2016-07-25 09:33:44$0$台词有趣，故事太套路
