$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25921812$驴得水$心生$2016-10-28 00:28:43$16948$过去的如果就让它过去了，未来只会越来越糟！
210$25921812$驴得水$木哥的小小农场$2019-02-09 04:48:26$9$孙校长想当农村教育家，老裴想找回男人的尊严，周铁南想得到佳佳的爱慕，佳佳想揭露社会的黑暗，铜匠想出人头地，特派员想贪美国人的钱，美国人想花钱做慈善。每个人都有自己的欲望，被欲望驱使着却浑然不知。唯有张一曼，只为活得自由。闹剧结束，每个人似乎都回到起点，唯有一曼离去，唯有她是自由的
211$25921812$驴得水$CloudWalker$2022-05-27 01:14:30$24$被压迫的、被牺牲的是女性，率先站出来的、勇敢而有坚持的、觉醒的也是女性。
212$25921812$驴得水$恶魔的步调$2016-11-03 21:33:23$4$非常韩式悲喜剧的模式啊
213$25921812$驴得水$唐小万$2016-10-28 22:19:11$15$“如果过去就这么过去，未来只会越来越糟”。啊喜欢民国。
214$25921812$驴得水$隔壁家的桃太太$2016-10-13 12:33:20$10$啊 两处泪点 看得好难受 出了影院还很揪心
215$25921812$驴得水$·$2016-10-31 16:45:27$14$好的文艺作品，都具有跨越时空的穿透力，虽然讲的是民国时期的虚构故事，但其中所展现的人性，在此时此地，一样鲜活可见。PS：张一曼真是个有魅力的悲剧角色，婊子被人恨，但婊子也被人爱，真正地被爱着，或爱过。
216$25921812$驴得水$翻滚吧！蛋堡$2016-11-23 01:46:14$9$无疑是个好剧本，但剧作上的缺陷放置大银幕被无限放大，包括人物性格起承转合等等。这也体现在创作态度上，导演没花心思（或者说没能力）进行电影化的改编，舞台式的表演台词都太尴尬了。
217$25921812$驴得水$饱肚师叔$2016-11-05 21:13:03$5$要不是昨晚浓妆艳抹，早都在电影院痛哭流涕了。
218$25921812$驴得水$曾于里$2016-10-29 12:00:04$8$喜剧的忧伤
219$25921812$驴得水$谭亭$2016-11-02 21:08:37$6$剧本不错，然而超致郁，属于我不会看第二遍的片子。
220$25921812$驴得水$花衣云影$2016-12-17 19:20:44$9$情节衔接有诸多生硬之处，但挡不住讥刺世人世相太准，看了痛快解恨
221$25921812$驴得水$卡里加里博士$2017-01-05 17:42:03$9$开心麻花的电影永远都很会讨好观众，它拍的是老百姓眼中的知识分子。“读书人”脱下裤子博人一笑，当然笑的开心，但是电影需要的是更深层次的思考，这部电影只有现象没有本质，这是它最大的问题
222$25921812$驴得水$御廌$2017-03-04 15:56:25$14$我知道大便很肮脏，不用你一口一口吃给我看来向我证明！！真的不用！！不用！！
223$25921812$驴得水$像一把刀子$2017-01-04 11:13:32$4$无论像不像电影，剧作上希望团队们能一直保持这个水准，中国的独立电影不会没有明天的。
224$25921812$驴得水$又见晴天又见兔$2016-10-29 19:19:13$13$怎么会那么好看！！！
225$25921812$驴得水$王神爱$2017-02-25 00:21:03$10$扯掉小知识分子身上最后一块遮羞布，漏出整个社会的真相
226$25921812$驴得水$放开那个浪味仙$2016-10-29 18:04:01$9$前半和话剧简直一模一样，后半加进去的一些改编不是很喜欢。话剧舞台上很自然的一些夸大表现放到电影显得有点刻意…整体还是更喜欢话剧。当年那首让人着迷的《我要你》，现在终于被更多人听到了。
227$25921812$驴得水$罗弘霉素$2016-11-06 17:22:38$9$热闹，幽默，辛辣，残酷！脱离不了话剧的影子，但对于好作品，好剧本，好演技，这都无关紧要。
228$25921812$驴得水$城南草木生$2016-12-27 02:25:24$6$作为戏剧来说，是完美的。
229$25921812$驴得水$雪里花蕾$2018-07-07 07:04:55$4$当一部电影，你越看越不想让它演完，就说明这是一部好电影，看得很爽。故事本身与如何讲故事才是一部好电影的关键。
230$25921812$驴得水$半袖$2017-01-16 22:09:12$5$不要再讨论话剧和电影哪个更好，我珍惜为一曼流的眼泪。讽刺的很多，我只牢牢记住了那一旦掌权后的嘴脸。20170103
231$25921812$驴得水$凹凸$2016-12-17 20:08:36$5$其实进电影院看电视剧是亏，进电影院看话剧是赚啊。《如月疑云》骨子里也是话剧，还不是很受捧。但是这个剧本本身太失控了，不是喜剧，是闹剧，还是头一回看到这么悲的闹剧。
232$25921812$驴得水$崇子$2017-01-09 15:05:40$13$全片儿最无辜的就那条驴了。
233$25921812$驴得水$无名氏$2021-02-19 17:30:48$16$看似用小人物暗讽国民教育政府，实际上是暗讽另一个不能说的、大家都懂的东西
234$25921812$驴得水$沉默の玩$2016-11-01 22:40:29$4$太不电影，但故事够好。官府就是打劫的，知识分子无论忍辱负重的天真刚强的虚伪势利的愤怒叛逆的自由直率的底色都是一样的怯懦，莫名其妙的优越感和大事不拘小节的自欺欺人，群众感情是纯朴，一朝得势比官府还狠。这戏码演了多少年了，这死结谁知道怎么破？
235$25921812$驴得水$ekahsklim$2016-10-31 18:55:18$5$讲讲道理 以电影形式呈现 能打8.4分？？？当然我承认剧本确实出色 表演也有力度。这部电影告诉我们一个道理 把话剧拍电影又便宜又赚钱 还能赚更多的人气
236$25921812$驴得水$思路乐$2019-05-07 17:42:32$9$【B－】是，我承认，这样的剧本在每年的国产片里十分难求。但不能因为其剧本内核的自洽性就放弃其电影感吧！同样是扎根与中国独特社会环境下的讽刺类喜剧，我当然不求你能拍出第二个《鬼子来了》《背靠背，脸对脸》，至少《不成问题的问题》那样的级别得有吧。同样是剧本优秀的国产电影，我愿意给《药神》《狗十三》五星，是因为他们真正有用镜头语言来表达创作者在背后的思考与答案，而不是把这些全部交给演员、台词和剧情转折，这对于一部电影来说真的是很不负责的。这样的片子真的是被“国产喜剧”的类型给害了，如果真的能按我所想来拍，下一个《鬼子来了》也不是不可能啊（做白日梦）.....
237$25921812$驴得水$樹$2016-10-31 21:51:41$14$如果这也是电影……
238$25921812$驴得水$林||我们谈什么都像谈死！$2017-01-17 16:40:50$5$还是对钱的贪婪让每一个人都越走越远，最后结局只能远走或死亡，是对赤诚之心的失望。那件裘皮让每个穿上的人都露出最狰狞的恶，打着理想的旗号干尽了坏事。说到底还是谁有枪，谁就决定了一切，一曼终于自由了。
239$25921812$驴得水$莫呼洛迦-屁股上的青春在歌唱$2016-11-01 22:24:21$3$〔三刷〕時隔多年，事過境遷，系統換過了，教育部換過了，世界也變了，但驢得水還是驢得水，銅匠還是銅匠，校長還是校長，裴魁山依舊是裴魁山，鐵男也還是鐵男，張一曼和佳佳也還是張一曼和佳佳。為什麼要把每個名字都復述一遍呢？因為這裡的本質從未改變過，這些人、這些事、這些瘋狂和荒謬只是酒瓶裝新酒，老狗始終玩不出新把戲。似乎唯一的不同是，羅斯先生已經不再那麼單純了。
240$25921812$驴得水$爱玛的乐园$2022-03-20 00:20:02$17$近两年看过最好的国产电影。1️⃣为了一个谎言就要有无数个谎言 2️⃣在利益面前没低头的人在生命面前可能会跪地磕头 3️⃣得不到的我就要毁掉 4️⃣利用别人也会被别人利用 ⭐️5️⃣最终都是那女人来为男性的利益献祭 6️⃣坚持正义就是太天真太单纯脑子有病 7️⃣如果过去的就过去了，那只会越来越糟。       ⁉️那些吐槽“没有电影感”“导演只是在摄像”的人，你们真的看懂这部电影了吗？？？？？？？？？？我理解你们看不懂，因为我男朋友也看不懂，他以为这是部喜剧片，但至少他不会来吐槽，他觉得挺好看。那些看不懂还要吐槽的人，建议回去多读点书多思考下脑子。
241$25921812$驴得水$JoeyLu陆柏宇$2016-11-17 08:16:06$1$其实我没看明白。
242$25921812$驴得水$怀山鹿$2016-12-25 15:13:57$6$2016年度最佳。最后的枪响再次让我想起易卜生的《野鸭》。理想主义和困局人性的抉择，对教育，权力和利益的讽刺如针入耳。真的很意外在2016年看到这样优秀的华语故事， 讽刺喜剧的巅峰，这片子会在中国电影史留下痕迹，我不潘只会随风入土。麻花主创团队赛高！
243$25921812$驴得水$许亿$2016-12-15 02:15:35$6$这个电影，太不像电影了。
244$25921812$驴得水$乔大路$2016-10-30 16:30:55$2$观感独特，人物与剧情的转折太过舞台化，跳脱了电影这种艺术的原有节奏，太有代入感容易难受，再者剧本很厉害，种什么子，不一定结什么果，过程和养料很关键，心怀巨树，结出毒草，时代只是微乎其微的因素。
245$25921812$驴得水$南悠一$2016-10-14 11:32:06$5$这不是一部电影，很廉价。但是故事很好看，请那些电影导演、编剧好好学习。
246$25921812$驴得水$Mr. L$2019-08-26 11:49:48$11$“过去的如果就让它过去了，未来只会越来越糟”，这话说得真是。泪为一曼流，传统文化中对女性的压迫和曲解，真是令人心痛。魁山的那种典型的中国男性的自以为是，”你不是放荡，就是太单纯，所以你什么人都相信”，许多中国男性喜欢把所有自己心仪的女性都意淫成圣女，给自己编织谎言；然而一曼的回答仅只是“我就是想自在点，好不容易找到个没人管我的地方，你就别管我了好吗”。这一问一答，还是在“我要你”这首歌出来之后引出的对话，里面多少深意。所谓放荡，浪，这些不堪入耳的字眼，很多时候不过是对传统道德标准的一种不经意的重新定义，无非是女孩想要“自在点”三个字而已。
247$25921812$驴得水$小斑$2018-12-26 18:28:45$1$刚开始的时候有点《不成问题的问题》的味道。看下去发现差太远了。文本不及还是其次，这个由舞台剧改编成的电影完全抛弃了影视的特点和优势，在服化道乃至表演方式上全是舞台剧的样子，偏偏又配了个实景，极其别扭令人出戏。矛盾发展完全靠拱台词输出基本靠吼也叫人十分烦躁。
248$25921812$驴得水$鴍諌🌈$2016-11-06 08:10:28$6$好堵，这个本子为了给人添堵不遗余力，戏好看但戏的痕迹太重！同是两个小时，话剧在狭窄的空间里尽可能多的放大剧情放大人性，反倒是电影少了空间的束缚语言更为自在，但话剧的本子碰上电影的表现手法，这些激烈的冲突反而变成了叙事上的负担，话剧演员到电影演员从身体到表情的的过渡稍不注意就会过火
249$25921812$驴得水$今 敏$2016-10-31 23:47:33$13$幽默不是强行被黑色的  脸谱化的人物特征  生硬的故事衔接  和戏剧化的台词感都是喜欢不起来开心麻花的原因   本身在话剧这个行业里他们的剧本都谈不上优秀  只能说中国的电影市场太弱  这都算神作/年度最佳的话  表演工作坊随便拍一部是不是都可以得金棕榈了？
250$25921812$驴得水$摩西不夜奔$2016-10-23 20:57:22$9$三星半。谨慎推荐。驴得水故事创意极好，但导演对黑色幽默的掌控力一般，小聪明多过真用心，前半部分缺乏张力，后面结尾直接失控拍飞了，中间部分的好戏没有展开。人物处理有很大问题，急于表现鸡贼的主题导致人物立不住。
251$25921812$驴得水$老莫。$2017-03-13 14:35:32$9$张一曼演的真好，还有，谁说她不漂亮！
252$25921812$驴得水$✨小宝贝✨$2017-04-06 08:53:29$7$好看，很久没看过这么走心的电影了
253$25921812$驴得水$李濛Lemon$2016-11-05 22:56:34$10$这部电影诠释了什么叫做“故事张力”。一曼与老裴唱歌聊天、与铜匠告别那两场戏，简直太美好太浪漫，但也正因为如此，后半段同僚对她的排挤与伤害才显得触目惊心。故事中的男性都有着矛盾虚伪的一面，能把自己的真性情一以贯之的恰是两名柔弱女子。一曼被戕害了，好在还有佳佳变成一颗火种奔向远方。
254$25921812$驴得水$過期貓糧$2016-11-02 07:50:00$9$感觉还是在看话剧。
255$25921812$驴得水$Melisa。$2016-10-29 14:59:31$8$我差点儿都想给满分了。已经背离了初衷的时候不懂得悬崖勒马，迟早有一天会被心中的恶魔吞噬。
256$25921812$驴得水$BurgundyRed$2016-10-30 20:45:08$6$调成黑白加快点节奏或许会制造一些奇效，还是舞台的那一套演法，视听实在太烂，像个加长版的小品
257$25921812$驴得水$宋雯婷$2016-11-07 16:00:34$8$似电影 非电影
258$25921812$驴得水$隔壁LEO在唱歌$2017-01-02 19:59:57$11$佳佳去投奔她大哥了，我们又能投奔谁呢？
259$25921812$驴得水$托小z🌈$2017-01-08 16:32:53$6$该死的是你们啊 为毛是一曼【年度最佳】
260$25921812$驴得水$EVA柴$2017-01-12 14:39:54$10$我喜欢死里面张一曼了啊啊啊啊啊啊 简直就是我的理想
261$25921812$驴得水$胖达叔$2016-10-30 17:51:03$26$荒诞剧，戏剧冲突集中，这本子写得赞，但看过并不开心，反而沉重。为了能上映，看得出改天朝为民国的削足适履。作为话剧真的不错，作为电影的弱点也很明显，但值得推荐。
262$25921812$驴得水$半城风月$2017-03-13 09:27:07$6$看似喜剧，其实是黑色幽默的悲剧，以喜衬悲，随着剧情推进越来越沉重。笑点伴着泪点，引导着观众去思考人性，追问自我。令人惊喜的是女性角色特别出彩，区别于以往的同类影片。
263$25921812$驴得水$兮称$2017-01-01 19:33:15$3$剧本厉害，演员成精，一步一陷回首已满是绝望，可比鬼子来了一样令人背后发凉的中国式讽刺佳作
264$25921812$驴得水$寒狐传媒$2017-01-09 00:37:28$2$情景喜剧。引古喻今。啪啪啪打脸。多说一句：善与恶的对立，一个促进良性循环，一个导致恶性循环。
265$25921812$驴得水$keledoll$2016-11-10 00:33:48$6$看到一曼那段，我有种穿越到羊脂球的感觉
266$25921812$驴得水$fwb$2016-12-16 20:26:59$9$这几年看到的最棒的中国大陆的现实主义作品！强烈推荐！感同身受到甚至颤栗，又纯情感动到流泪。
267$25921812$驴得水$Hachiko$2016-10-28 20:28:41$15$有成功的话剧打底，剧本成了七成，不过这同时也是种桎梏，毕竟这两种艺术形式还是有不同。荒诞感够多，也够强，笑着笑着哭，不至于，难受倒是有点，最后的戏份有些仓促，华语电影这样不错了。
268$25921812$驴得水$千寻亿选$2019-02-24 12:36:00$2$张一曼是个性开放者，对她来说，性就和吃饭睡觉一样，所以当铜匠不肯照相时，她说我来睡服他，就像请铜匠吃顿饭一样。然而这个观念超越了时代，所以当事态越闹越大时，她就成了最大的牺牲品，铜匠的反击，校长的作恶，裴魁山的黑化，正义的周铁男在被特派员虚打了一枪之后心态完全奔溃，只有孙佳是正义的，然而因为父亲的绑架也被胁迫上了这出闹剧。这部电影45万人打分，得分8.3，算得上国产电影佳片，翻了一下短评第一页，桃桃淘电影2星张小北3星木卫二2星掉线3星亵渎电影1星二月鸟语3星，这些豆瓣大V都打了低星，所以不要盲目相信影评人的评分，他们的审美往往与大众不同~~~~~~~
269$25921812$驴得水$肉嘟嘟啊肉$2016-11-08 10:03:53$20$喜欢里面的一句话 过去的如果就让它过去了，未来只会越来越糟！
270$25921812$驴得水$安蓝·怪伯爵𓆝𓆟𓆜$2016-11-19 21:58:07$2$“我要美丽的衣裳，为你对镜贴花黄。这夜色太紧张，时间太漫长。我的情郎，我在他乡，望着月亮……”与其给婊子立牌坊不如活得坦荡荡。俩泪点一个给驴一个给枪。@朝阳金逸
271$25921812$驴得水$陈灼$2017-05-07 21:32:12$8$异常沉重。女性总是被侮辱，被指使，被利用，被损害，被作贱。铜匠这个角色彻底反映了人性深处的恶被搅起来后会放大到什么程度。让人想起文革。“过去的要是就过去了，以后只会更糟。”
272$25921812$驴得水$白眉道长$2016-12-18 21:37:10$11$原来只要换个年代背景，我们就能产出好电影！
273$25921812$驴得水$edging1218$2020-03-22 13:36:32$15$"看电影感觉最荒诞的时刻是，所有人有污点，唯一有资格被评上教育家的是一头被用来吃空饷的驴。
最伤感的时刻是一曼疯了的时候，她只是想要自在又温馨的生活，却不得不被恩情道德情怀绑架，被牺牲，被背叛。可惜闹剧过后一地鸡毛，她再也回不去了。"
274$25921812$驴得水$酒兒$2016-11-03 20:56:44$13$能在北京的电影院里听到中华民国国歌，光凭这点就该打五星。电影本身也是今年国产片少有的佳作。
275$25921812$驴得水$叶洲$2016-10-31 11:42:33$4$喜剧效果一般，剧场感太强，电影感太弱，人物的代表性很直接，变脸太快太夸张。前半段还真以为是换个时代背景来深刻讽刺，到后半段的夸张荒诞变成了主题先行了，格局反而小了，结局俗不可耐。美国人演技太差，铜匠的方言是蒙古语吧？不过还是为中国荧幕能有这样的毒草加一星。
276$25921812$驴得水$人五_$2019-01-14 04:02:19$7$人好脆弱啊，五个自以为是的知识分子挨着挨着被击垮，每个人相信的东西都被击垮了。“本来就是我们做错了，造成的后果我们现在就要去面对，有什么那也是我们该受的。”“过去的事情如果就这么让它过去了，以后只会越来越糟。”这部戏红了任素汐，但看下来发现小姑娘演得也真挺好。
277$25921812$驴得水$fomalhaut$2017-01-16 10:33:07$5$incredible china。借古讽今，用心良苦，故事设定在民国时代，电影才能过审吧。舞台剧感极明显，全片只有一个取景地，山西大河堡。
278$25921812$驴得水$默语生$2016-11-03 23:34:23$7$经历剧场洗礼，剧本很扎实，但毋宁称之为小品。既想要后半段正气凛然，又丢不开前半段假装喜剧，洒狗血表演很容易煽动观众情绪，在舞台上能让戏剧冲突传到最后一排座椅，在大银幕上就只能甩人一脸。上帝之手拗剧情，人物纯属设定，所谓针砭时弊也是赶时髦的媚雅，至少迟到二十年。三星。
279$25921812$驴得水$陆钓雪de飘飘$2016-12-24 22:46:16$10$《厨子戏子痞子》看了二十分钟，给1星；《被嫌弃的松子的一生》看了三十分钟打算给2星，结果看完了给了1星；《驴得水》看了三分钟打算给1星，结果看完了给了2星。这世道多变啊。又比如《马男》，不看都给1星，并且一定会看，到了荒岛只给我一部动漫能看，我就带《马男》。好，就这样吧。
280$25921812$驴得水$贺兰迈克$2017-02-16 13:12:12$2$当暴力开始露出锋芒来时，理想就顷刻融化了
281$25921812$驴得水$Henrique Asano$2016-11-07 23:11:27$0$这根本不是电影，在电影院看了场话剧也是醉了。退一步讲，作为话剧，剧作也是失败的，后半部分简直不像话
282$25921812$驴得水$天腐之国🌈$2016-10-28 23:37:51$26$海报宣传语是“讲个笑话，你可别哭”，虽然我没哭，但是确实笑完了倍感凄凉。女性角色都塑造得可圈可点，相较之下男性角色则性格转换过于生硬，可能这就是友邻抨击它话剧感太强的原因。但瑕不掩瑜，能在院线看到这样的国产片实在惊喜，2016华语电影十佳预定
283$25921812$驴得水$筷喜旺$2017-05-04 02:55:17$9$后半段实在太刻意了。穿貂的男人果然都是狗。
284$25921812$驴得水$梦羽灵泉$2016-10-30 03:48:19$15$知识分子视角的对知识分子的讽刺，内核中二浅薄，外在乖戾粗暴，体裁设定没有做好，要么你就做好电影叙事，要么就干脆把话剧录下来放大银幕上也不尴尬，不过我倒是觉得如果能真的反倒就直接把话剧舞台搬到荧幕上，就像录播戏曲一样，对我们这种五线小县城看不起话剧的小镇青年来说也是种艺术熏陶
285$25921812$驴得水$松子蜘蛛侠$2017-01-26 01:30:26$6$我不喜欢这个片，一点也不。性的解放不等于性解放，性的解放更不等于性别平等或者女权主义。这个片子，完全就是站在男性立场对于性的误导，让人们以为这就叫做解放，这就叫做自由，这就叫做女权。两性平等，不来源于人们允许一个女性自由的享受性爱，而来源于人们打破这层枷锁去认可一切都应该别包容。
286$25921812$驴得水$🫀Psyche$2016-11-10 17:06:29$11$今年最好的喜剧片不假，人人都在扮演牲口，最有意思的地方就在于这个“演”字，逢场作戏，人们却在自然反应和同伴的暗示下搬出了自己最天性的表演——谎言。任素汐的表演真是这三年来见到最直觉的，说她是中国的安藤樱我觉得一点都不过分，但是剧本的败笔还是在于凭什么疯女人一定得死？为啥一定得死呢
287$25921812$驴得水$朱於宇愈鹏$2016-10-30 21:07:13$35$四声枪响，杀死了浪漫，梦想，务实以及骨子里的倔强。
288$25921812$驴得水$居无间$2016-10-25 01:08:34$2$本子很不错。讽刺喜剧。最初由荤段子勾兑出的粗陋笑果挺无趣，然而后面根据性和强权对人物关系不断的再结构带来了张力极强的戏剧冲突，暴露出人性的脆弱和不堪，触及到国民性的讨论。历史背景值得玩味。角色利用率高，电影感实在差。真心奉劝开心麻花不要再让话剧编导直接做电影导演了。3.5
289$25921812$驴得水$白牙尖$2017-01-19 00:58:58$3$分类是喜剧，但却只有前半段才能算得上喜剧，后半段用一个字来概括就是：脏。不得不承认角色们塑造得都很成功，整部电影只有一曼这一个角色不让我感到讨厌。其实像话剧的表演没什么好喷的，我宁愿看这种所谓没有“电影感”的故事也不想看到面瘫演员和傻逼导演来电影院圈钱。
290$25921812$驴得水$寒枝雀静$2016-11-01 21:25:32$2$“大陆院线”真的是一个很有毒的词，总而言之四星鼓励。
291$25921812$驴得水$Jonathan$2016-10-29 17:28:12$14$非常好的讽刺性黑色暴力舞台剧拍成了电影显得有点尴尬。应该是中国内地影史最讽刺的一部，从开头国民党旗到最后跳球乱飞，每一幕都是嘲讽政府和劣根性的中国人，美国佬一句不可思议的中国实在是画龙点睛。看的特别不舒服，很多地方都觉得拍的很别扭。最大的讽刺就是套用了国民党的棋子通过了审核吧。
292$25921812$驴得水$赵启辰$2016-10-22 20:59:45$9$本子非常扎实，气质还是太像话剧，不过没关系
293$25921812$驴得水$深夜的阿斯伯格$2016-11-05 15:03:04$6$用前朝的事打本朝的脸。配乐和笑点导致了风格不统一，一曼和铜匠上床的戏转的太硬。虽然笑点不俗但为什么非要拍成喜剧。这种故事片就应该找这些专业演员来演。
294$25921812$驴得水$罗荒野$2016-11-02 02:07:25$25$瞎
295$25921812$驴得水$火娃$2017-01-21 11:27:16$6$8/10。创作者没有谴责那场知青运动带给人们的心灵创伤，只是构建了一个满口黄话、睡服铜匠来唤醒自由意识的女性，男权为了各自的腐败或者理想，屈服于强权辱骂、阉割（剪掉辫子）、强奸甚至逼疯她自杀，反思了中国从丧失理想迈向追逐资本（美国人的赞助）的历史变革。至于角色夸张的行为逻辑尚可接受。
296$25921812$驴得水$Mr.Graceless$2017-05-13 22:06:04$5$先花半部时间立起一个美好的幻象，再花半部时间把它通通砸烂，基本架构算是合格。但人物完全沦为符号，剧情转折又过分突兀，主题基本靠吼，调度基本靠抖，话剧就老老实实放在舞台上演好了。
297$25921812$驴得水$InKee$2017-01-03 23:15:31$5$看的过程一直很心塞，多好的电影，发现友邻里有给1星的，难以理解。是要多［像］电影才叫［电影］？
298$25921812$驴得水$女宛心兑$2016-11-09 21:57:27$6$把美好的东西撕碎给你看，人性有太多不完美到让人憎恶的东西了。冲胆大未必真勇敢，有识不代表有德，贪、愚、弱、私可能是我们每个人。以为的变好可能是变得更坏。女主唱歌时很美，《我要你》很好听。国产加一星。虽然总体还是不够浑然天成。
299$25921812$驴得水$好样的$2016-12-15 12:39:26$9$剧本人物什么都不说。一上来看到这种灯光和镜头就先没了兴致。越到后面越来越像MV/婚庆的拍法。
300$25921812$驴得水$吃 硬$2017-01-09 00:19:41$5$至于么一个个儿解读得这么起劲，在别人作品的基础上显摆你自个儿的文采（福柯）？不会拍就是不会拍咯，全给中景镜头，跟看傻子国产连续剧一样
301$25921812$驴得水$西峰秀色$2016-12-19 01:36:48$3$我的影评被豆瓣移除了，想阅读的朋友请加我的公众号：xifenggzh
302$25921812$驴得水$深夜声噎$2016-10-22 18:05:47$9$这东西还真是非得舞台剧演员才有这功力，景美，歌好听，原版舞台剧应该比电影好，迟到20分钟左右。
303$25921812$驴得水$程晴之$2018-01-18 08:31:42$38$一个谎就需要若干个谎话来圆。理想，现实，金钱，爱情，自由，亲情，权利等等各种矛盾冲突，每个人的选择也暴露了其人性的弱点。不忘初心，方的始终，初心难得，始终难守。唉
304$25921812$驴得水$茜纱窗下$2018-04-17 11:12:19$3$国产片居然也能出讽刺片，一步错步步错，一个谎言需要用无数谎言去圆。好喜欢任素汐唱的我要你
305$25921812$驴得水$妖包包$2018-08-16 23:49:57$6$"这个片子看完第一直观感受是恶心 
不是因为看不了悲剧 这个不是悲剧
是卖弄 卖弄剧作技巧罢了 为了讽刺而讽刺 毫无高级感好吗 
只有外在逻辑形成故事 内在有立得住吗
这个片子看到的不是人性之恶 而是恶意的人性之恶
看到一些评论还提到鲁迅 提到乔治奥威尔的作品 能不亵渎大师了吗？
开心麻花的东西 此后不会再花一毛钱去看任何电影和小剧场演出了
到最后 喜剧是闹剧 悲剧也是闹剧 一帮哗众取宠的小丑"
306$25921812$驴得水$haylin$2016-11-06 23:10:09$9$这剧本就算是作为话剧也有很大的问题，居然还拍了个话剧版的电影。问题非常严重，不光是电影元素的欠缺，整个逻辑牵强+内核脆弱。讽刺揭露可不是这么用的，粗暴的手法倒是很像它本身想要讽刺的东西。
307$25921812$驴得水$瓦达西瓦又又又桑只爱这巧克力$2016-12-24 19:52:41$3$很好的话剧，很差的电影，换个导演就好了。一曼仿佛是另一个王佳芝，经过时代洗礼的大部分我们都跟铁男一样。
308$25921812$驴得水$nadja$2016-11-14 16:37:28$4$跳脱规则只想玩一把，玩过界被扔石头回不过神来，他人即地狱，我想去隐居。
309$25921812$驴得水$DreamReaver$2016-12-16 02:42:49$3$剧本有点为了癫狂而癫狂，为了愤青的目的而把所有人物都设计得自暴自弃、破罐破摔，看得很不舒服。其实故事中的困境很有现实意义，但像《一次别离》那样自然克制却深入骨髓的困境设置，才是我认为更高级的表达。电影呈现成这样可能也是因为话剧照搬，在视听语言上没有建树。电影化远不如夏洛特烦恼啊。
310$25921812$驴得水$Cherry Chan$2016-10-28 21:02:40$9$舞台剧改编而来的电影，舞台感还是很强。相对单一封闭的空间、调度、表演和剪辑，整体视听语言差不多就是情景剧的水平。剧本提供了很好的内容，但没有利用好电影的形式，算是白瞎了摄像机这颗眼睛。那些讽刺于我无甚痛痒，但表现了女性自由，我愿意多给半星。★★★☆
311$25921812$驴得水$不码字$2016-10-28 19:37:28$13$张力十足，线索都埋的很好，扣的也好，演员也好。一头驴，一群人，最后驴没了，很多人却成了驴。人和驴之间的人性人心。不好卖，原因：农村戏。和生活太远。并不是喜剧。传播点太深刻，不利于被人口相传。价值观提的太形而上。是好片，我却极其反感，极其不舒服。把丑恶放的太大。没有丝毫温度，太满。
312$25921812$驴得水$驴驴$2016-12-15 06:45:35$15$幸好有个民国，不然借古讽今都没有抓手。
313$25921812$驴得水$江寒园$2017-01-01 22:00:17$2$剧本有严重缺陷，人物性格突转生硬。（豆瓣评分8.8，好友评分6.6，事实证明还是好友评分靠谱一点
314$25921812$驴得水$11点睡$2016-10-30 22:42:50$15$这部电影已经给我造成了严重的精神污染，我现在很希望自己能忘记曾经看过这片子…不光是剧情本身，想想那么多做电影的竟然比不过一个做舞台剧的，也真是可悲。
315$25921812$驴得水$西决$2016-12-18 23:20:16$8$好话剧不等于好电影，声嘶力竭的表演在舞台上够用，可镜头里需要的只是一个眼神，片中所有表演都太着急，内心转折基本为零，每一步都在剁开肉体强行告诉你这就是劣根性，完全把一个很深刻的故事变成手舞足蹈的肤浅闹剧，一星给故事原本的荒谬，一星给强加字幕的荒谬，一句顶一万句，七十多年，荒谬依旧
316$25921812$驴得水$宇宙塑胶魔怪$2017-01-04 16:33:06$4$可见知识分子真是最没骨气的一群人。
317$25921812$驴得水$上网不装好人$2017-02-02 13:01:14$3$很不喜欢。说实话我挺认同反对的人的。很多人觉得这种讽刺很漂亮。这种讽刺哪里漂亮了？没懂为什么国内抨击自己人而高呼国外月亮圆的人为什么都这么底气十足。我承认是很多毛病，但对不起，全球哪哪都一样。人性总有美的地方，而这些地方才是人赖以生存的本色。
318$25921812$驴得水$小伙锅$2017-01-14 17:19:28$4$前半段挺好看的，后半段（从铜匠穿上皮草到婚礼的枪声）太乱来了；演孙佳的演员太烦了，场场嘶吼；有了故事和演技，其他要素是绝不能放弃的
319$25921812$驴得水$小卓同學。$2016-11-02 00:12:30$8$今年看過最好最有深度最用心的國產電影，強烈推薦，當一部話劇看就好.
320$25921812$驴得水$btr$2016-10-30 03:46:28$5$话剧/电影 中的“表演性”比较。
321$25921812$驴得水$遥远的遥远Eva$2016-10-29 23:09:19$27$无论这个话剧多成功，它作为电影是不及格的！
322$25921812$驴得水$安小安$2016-10-30 00:14:25$7$作为话剧看过6遍的粉，一直都身体力行的向所有可能的人推荐这个几年不遇的好故事。电影版在电影性上的确是偷懒了，美术/视听语言/调度方式完全没有电影化，的确属于偏科严重的典型，但这个故事还是值得更多人看到。送一星。
323$25921812$驴得水$赶鹅$2016-10-29 20:42:13$6$原本属于舞台的还是留给舞台吧
324$25921812$驴得水$阿花花啊$2017-03-03 09:30:52$5$以乐写悲的剧，女主演的很好啊~
325$25921812$驴得水$boks$2016-11-03 11:23:28$2$一荒诞，就深刻了。开枪的急转直下看到对知识分子的批判
