$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1291858$鬼子来了$被迫改名$2009-05-02 23:28:55$9526$十部南京也抵不过一部鬼子来了。
210$1291858$鬼子来了$Katherine$2011-01-23 01:46:34$0$最后那个镜头真的很精彩...不过很多情节什么的还是让我想起了《斗牛》，毕竟是先看了那部，现在想想感觉《斗牛》在很多情节上都和鬼子有点相像，都是村里的老人主事儿，都有俏寡妇，都是由分豆子决定危险任务......
211$1291858$鬼子来了$随心随性$2012-03-03 10:48:50$1$重看一遍，感慨良多，国产片很难再有片子能超过这部了！“大哥大嫂过年好，你是我的爷，我是你的儿”
212$1291858$鬼子来了$shanglin117$2009-05-30 09:35:27$2$原来我大学时候是看过的，还想起当时自己是看着睡着的，以后有时间再过一遍。（好奇你们的评价这么高）
213$1291858$鬼子来了$梅子$2017-10-01 18:18:02$1$包含着复杂、深刻和种种言语道不出的。姜文太厉害了，关于战争另辟蹊径，没有立场，自然地讲述，真实而大胆，最好地诠释了黑色幽默，让人哭笑不得，而那些哭笑背后尽是苍凉和无奈。想起年少听过的一个故事，在片中也有体现，不禁叹气。从开始就注定是场悲剧，所展现的并非国民劣根性，而是人之劣根性。
214$1291858$鬼子来了$蕉$2010-04-20 22:00:01$5$看完都不知道说什么好了.前面相对后面已经很宽松,但是屋内讨论和两名日俘的反应强烈对比.影片视角逐渐放大,随之而来的压力越来越紧凑.看客的心情在这浮夸的欢乐和隐藏的恐怖背后变得扭曲.日本人的民族性的形成源自其历史.城里人的塑造很民国时期.最后的那几幕的道理,却也不是戏谑可以说得清的
215$1291858$鬼子来了$pu~$2010-01-07 15:08:25$1$看到马大三笑得那么高兴我就有不好的预感……最讨厌这种过程很喜庆结局很悲凉的东西了……
216$1291858$鬼子来了$佳宋$2010-02-07 15:22:24$1$1、多翻些姜文的片子来看；2、叫啥耶？说话耶？3、叫啥？马大三。这是哪？挂甲台。半夜为啥点着灯？寻思事。
217$1291858$鬼子来了$如云般飘过$2012-12-18 00:06:39$6$2小時的片子 有太多感受 說下細節吧 皇軍期間戲詞＂咱應打開門戶如迎親人一般 八百年前咱是一家 使的一樣方塊字 有道是打是喜歡罵是愛 八格牙路我不見怪…＂ 國民黨來了唱＂硝煙散去萬民歡 中國人抗戰整八年 打得小日本蹶著皮革跑哇…＂現在麼都在唱著社會主義好哇 人啊 就是這個操性…
218$1291858$鬼子来了$燙傷半邊$2014-03-18 20:02:04$0$每个时代都有倒戈的份子 即使是恨透了鬼子 对于最终干净利落的下刀 对世事绝望的老三还是心存感激 人头落地眼眨三下嘴角上扬 感谢也。。可悲的民族 到底 什么才是正确 什么才是错误的 完全不由人心去评判 全是时代更替时占上风的统治者说了算 前一分钟的英雄 后一分钟就成了破坏和谐的恶人 天理何在
219$1291858$鬼子来了$blacktea$2011-02-08 22:49:30$4$一普通村民家里突然被塞进了两个俘虏 日本人花屋和翻译官董汉臣 这上下忙活了大半年 最终就快要落得个皆大欢喜时 杀人放火的惨剧还是爆发了 抗日结束后 反而是投降的花屋将自己的恩人马大三斩首 落地之头转几圈嘴角还留着一丝笑意给这世界看。何等的赤裸裸 何等的刺痛 何等的一刀直指劣根性
220$1291858$鬼子来了$溺死的鱼$2016-05-21 04:25:51$6$被“我们日本人不像XXX那么不讲诚信”一句台词震撼得脑子嗡嗡
221$1291858$鬼子来了$梁威是条狗$2011-03-23 22:52:30$0$这名儿起的好，《鬼子来了》！！这片在同类型中也属罕见。GOOD ONE。姜宏波都露点了啊~~~~
222$1291858$鬼子来了$pucker$2017-12-16 11:42:21$3$有限的人物，有限的时间，勾勒出中国人民自古以来的一切写在基因里的性格，胆小怕事、阿Q精神、蹬鼻子上脸、不肯吃亏、纯朴易被骗......人性在生死关头和利益面前的不断反转，姜文真他妈牛逼（羡慕周韵）。喜剧的外表，悲凉的内核，是中国最底层普通百姓几千年来的生活写照吧。
223$1291858$鬼子来了$哇哈哈哈哈哈$2011-07-30 12:34:11$0$!!!最近又复习了一次,看到一半的时候我终于想起来我是什么时候在哪里看的《寻枪》了,初中军训的时候!!这部片我居然看了3次...好吧我是个念旧的人,经常拿些东西出来复习...所以对我的碟柜快要满了...正考虑占用我爸的地盘...
224$1291858$鬼子来了$传说$2006-10-01 14:24:33$0$"又名: Devils by the Doorstep

导演: 姜文
主演: 姜文

制片国家/地区: 中国
上映年度: 2000
语言: 中文唐山话 /　日语
imdb链接: tt0245929

"
225$1291858$鬼子来了$找自己$2010-01-02 16:52:07$1$"我看过吗？我咋一点印象没有呢？
重看了一遍，我怎么还是没看懂呢？一定要用那么荒诞的拍点表达吗？"
226$1291858$鬼子来了$阿依达$2011-08-01 22:42:28$2$混乱场面的摇摆镜头很牛b很有风格。有大师作品的派头。片里的老百姓也是，战争时期死一批，没死的和平时期倒给弄死了，你说说。其实谁当权都一样，老百姓只求能过上个好日子。情节挺简单的，几本是俩鬼子引发的血案，但是紧凑，环环相扣，节外生枝，间中还挺荒诞可笑，好看。结尾悲壮而且悲哀。
227$1291858$鬼子来了$一只野鸡$2008-05-04 16:30:59$0$跟阳光灿烂的日子和太阳照常升起完全不是一回事儿,看着像张艺谋的秋菊打官司...－－2000年第53届戛纳评审团大奖
228$1291858$鬼子来了$lincy$2012-09-03 10:00:23$0$虽然这个故事的导火线是一个荒谬的我认为没有可能发生的，但是在这荒谬的基础上，姜文讲了一个反应真实的好故事。
229$1291858$鬼子来了$Hanni‘㌍$2009-11-16 17:34:11$2$影片一方面不仅没有表现出在抗日战争大背景下，中国百姓对侵略者的仇恨和反抗，反而突出展示和集中夸大了其愚昧、麻木、奴性的一面，另一方面，不仅没有充分暴露日本军国主义的侵略本质，反而突出渲染了日本侵略者耀武扬威的猖獗气势，由此导致影片的基本立意出现严重偏差。
230$1291858$鬼子来了$Tom$2012-10-30 16:41:44$2$国人劣根性的荒诞被表现的淋漓尽致。
231$1291858$鬼子来了$hsein$2010-08-09 23:03:08$1$剛看時還以為看了用翻譯梗用得最不彆腳的電影，看完後證明遠不只如此。
232$1291858$鬼子来了$ibelieve$2020-10-27 22:49:22$1$「大哥大嫂过年好！你的我的爷，我是的你儿！」
233$1291858$鬼子来了$[已注销]$2012-09-18 23:10:21$1$想起现在的一些人，真的是too simple,sometimes naive……
234$1291858$鬼子来了$朽木立夏警部殿$2013-10-20 17:49:44$1$最可爱最可悲的都是老百姓。不敢说这是我看过的最优秀的国产片，却是最上档次的群体表演。香川照之的演技完全可以甩国内金鸡华表。除了欣赏故事之外，更希望在电影之外，不同国籍的演员都是抱着正确的历史观在演。汉奸董汉臣的演员袁丁桑素巴拉西。
235$1291858$鬼子来了$养鸡场客卿$2022-02-24 13:48:29$5$硬语盘空，痛苦布满了二十世纪的远东历史，受害者不知道牺牲的原因，大军继续在黑暗中捉对残杀，我们仍然生活在烈焰留下的灰烬当中。
236$1291858$鬼子来了$Leo$2011-08-15 23:31:35$0$悲凉……两悲相权取其最悲，最后竟然是抵御外侮成功的中国人授意鬼子杀了中国人，头转九圈并望向行刑的鬼子，含笑！
237$1291858$鬼子来了$SHAOXIAYU$2013-12-26 08:56:57$1$挂甲台莫名其妙的被送来俩人质，全村人民都得好生照料着人质等年后别人来取，随后引发了一连串紧张激动的事情，不知不觉人质在村里待了半年了，最后他们把俘虏送回给日军换回了粮食，可是没想到最不想发生的事情最后还是发生了，全村都烧了。很标新立异的一部抗日片，专注在“人”上。
238$1291858$鬼子来了$Maya夜航西飞$2010-12-19 13:01:49$5$正视历史，直面历史，反思历史。而不是意淫历史在电影里替日本人向华人谢罪。主旋律电影看多了你别真以为当时是全民皆兵老百姓与鬼子斗智斗勇，现实就是这样叫人不舒服。吴大维的出现，让我想起了宋襄之仁。看完了姜文的四部电影，我感觉自己圆满了。
239$1291858$鬼子来了$Carla$2009-12-11 20:56:38$0$首先当喜剧片儿看的，看得很轻松，到后来。。渐渐的很震惊，说不出的滋味。好电影，经典！
240$1291858$鬼子来了$巧克力可丽饼$2017-11-25 23:29:15$2$原以为这种题材会拍得相当凝重，但是本片大多数时候还是用黑色幽默的方式来表现的，前三分之二的时候日本兵还不是太坏，临近尾声时屠村暴露了本性，片子也达到了高潮，最后只身进入国军营刺杀日军战俘的马大三被捕，由花屋将其斩首，再一次体现本片的讽刺性。本片总体很有格调，只是剧情有些拖沓。
241$1291858$鬼子来了$Julien$2017-01-11 07:17:46$1$1我心目中最棒的大陆导演2战争就是即使你只想低三下四的过着老婆孩子热炕头的过日子，即使你像狗一般战战兢兢的保命，他也会把你的一切都血淋淋的卷走3虚伪自私胆小浅薄聪明的中国人，残忍守信自命不凡的日本人。这才是本来的样子4在去除一切环境所带来的形式化的东西之后，是否还能坚持住信仰？
242$1291858$鬼子来了$千寻影客$2020-10-17 13:05:18$4$"《鬼子来了》就是那种看完你会感叹怎么现在我才看到的作品！我承认前半段我笑了，笑得很开心，但这电影是彻头彻尾的悲剧！电影看罢，我竟对之前的嬉笑产生了说不出的罪恶感！我只觉脖子一凉，四周放空，空气发紧，难以言表！
9.3分。"
243$1291858$鬼子来了$等一个人$2008-12-12 20:53:06$6$这是中国最好的电影，没有之一
244$1291858$鬼子来了$shenyang$2012-06-28 01:27:02$1$鬼才啊鬼才 姜文 虽然幽默诙谐 百姓对战争看得并不崇高 希望能躲避能存活 谁给饭谁就是爷 不管是谁当道 百姓永远只能被控制被愚弄 在导演看来 日本投降前后 百姓的命运并没有本质的改变 包括充军的士兵 真是太精彩了
245$1291858$鬼子来了$touya$2017-09-25 15:57:52$0$#常看常新#我喜欢这样的姜文。喜，悲，怒，哀，但凡能讽刺的全都讽刺个遍。马大三和花屋小三郎对立又对应，吴大维演的国军的那两段讲话才是最高潮。所以乱世之下，只有一刀刘和四表姐夫这样的人才能活的长久。香川照之怎么演的这么好。
246$1291858$鬼子来了$FUNNI$2010-02-21 23:56:07$0$这故事讲的太有意思了 老摊儿们 大哥大嫂过年好！！你是我的爷，我是你的儿！！
247$1291858$鬼子来了$Verán..Cidade$2011-09-08 16:32:55$0$不知道 不知道 多给的一分是觉得演员表演出色 然后 其实不难想到 最后 会是这样惨烈的结局 感觉 日本人就是 会那样 最后的最后居然 还让 日本人来处决中国人 这点 着实恶心了 没理解这电影怎么会被禁
248$1291858$鬼子来了$Soo Yung$2012-12-15 15:21:47$1$"不愧是中日战争片中的首作. ""大哥大嫂过年好!你是我的爷我是你的儿!""   一场热闹的陆海军大联欢、一曲美好的海军军歌、一个卸甲归田的挂甲台. 无论是日本人的天皇万岁、还是国军的一句""你不配做一个中国人、更不配做一个人"" 也翻译不了马大三那眼中最后耀眼的灿烂.  ""是福不是祸、是祸躲不过.""  Brown."
249$1291858$鬼子来了$虚伪$2014-05-29 17:59:08$0$客体都是自体的镜子，鬼子也不例外。你们看到的是无知的仇恨与愤怒，我看到的是善良却无力的沟通。也许让每个人都能坦诚接纳对方的第一步就是先让自己变得清晰睿智，但仅这一小步，很多人一生都没迈出。
250$1291858$鬼子来了$Obtson$2010-06-29 02:05:51$2$【HKIFF】Masterpiece！（①162min修复版，香港文化中心，2014.3.29｜②162min修复版，香港电影资料馆，2018.9.23）
251$1291858$鬼子来了$Whatever$2017-07-17 18:48:54$3$秒杀一切抗日神剧，这就是传说中的人心换人心吗
252$1291858$鬼子来了$持人的摄影机$2021-08-21 01:13:38$1$8.0/10。①因为男主被要求关押一名日本兵和翻译官而引起的一系列啼笑皆非/血案。反应了某些中国人的懦弱、老实、朴实的善良、愚笨、自私、狡猾、内斗、凑热闹、和稀泥、踢皮球、冷漠和某些日本人的两面性（表面友好转眼就杀人；表面武士道实际怕死）。②各种黑色幽默，相关技法和段落如：黑白画面；利用「翻译差」制造的笑点（如：村民录口供那段、“大哥大嫂过年好”的错位剪辑）；借白面（「他们给的实在是太多了」）；军歌配大屠杀的声画对立；结局的彩色人头。③一些地方以低调打光渲染农民的狡猾/自私/懦弱。
253$1291858$鬼子来了$飞侠式拼搏$2020-02-24 15:08:18$4$荒诞震撼，残酷悲哀，令人沮丧，引人深思的结局。这是最好的抗战题材电影。
254$1291858$鬼子来了$Memoricry$2012-06-28 10:27:21$0$"老婆，特别想看这一部电影，之前看过一半，噗，呼呼，老婆，等我从西安回去看完哈，嗯！
老婆，很久之前就看过四分之一，后来就一直搁置了，刚刚才把他完整的看完，呼呼，真的很不错，姜文确实可以称为中国导演第一人，呼呼，老婆，不知道你看过木有，或许老婆不喜欢这类电影吧，抱抱哈，嗯！木啊！"
255$1291858$鬼子来了$豆友38137057$2010-12-16 16:23:41$3$"不是大家抬举他，确实有才华。
有时候善良总是容易和愚昧挂钩，等人家把你全村都灭了，你才下得去手杀人。
我一直都想知道，爱国的姜文到底是不是法国籍。"
256$1291858$鬼子来了$卷卷sher$2012-01-05 21:11:23$0$一开始以为是个喜剧 心里刚纳闷呢怎么这题材给拍成喜剧了呢  悲剧就来了 还是整了一杯具啊 人总是对敌人表现自己的宽容 为什么就不能对同胞宽容一点呢 啥也不说了
257$1291858$鬼子来了$王讷敏$2018-07-15 00:18:07$7$可以说马大三他们麻木、愚蠢、无知，但他们不“爱国”吗？不知有国，何谈爱国，鬼子来了八年，照样活的好好的。炊烟照常升起，孩子们天天等待糖果，对这个小山庄“挂甲台”来说，日本人和那些民国，前清的老爷有什么大区别呢？不过是纳税和赔笑的对象从“大人”、“老爷”变成“太君”、“森塞”而已。
258$1291858$鬼子来了$Roro$2008-12-26 18:05:30$0$姜文最后的疯狂砍杀，可以说把中国人对日本的愤恨表现到了极致，但它又不庸同于一般意义上的仇日情绪。
259$1291858$鬼子来了$drunkenstain$2011-01-18 21:30:48$0$“面对恶人，我们不能无端地报以善良。面对这些已经发生的事实，中国人和日本人都应该有一个正确的认识，才能避免这种事再发生。”
260$1291858$鬼子来了$发不沾霓$2014-03-27 22:09:16$1$“啥也不如吃饭强”；花屋小三郎的幻想；“大哥大嫂过年好！你是我的爷！我是你的儿！”；“哦哟，想一块儿去了”；重看，真的惊呆了，刚猛有力，还各种手持近距离长镜（这可是姜文的第二部电影啊，要是没那被封杀的几年，不敢想象）；“这故事多好啊”；姜文的[让子弹飞]是用[太阳照常升起]的配乐把[鬼子来了]又拍了一遍
261$1291858$鬼子来了$爱比死更冷$2011-01-07 23:22:09$0$现在看来好剧本和好台词是很关键的！不过这片子前三分之二有点太和谐了吧，实在看不出是日军占领区，结尾的处理也有点夸张！
262$1291858$鬼子来了$流沙$2011-12-23 20:33:57$0$姜文你真的是就如同影片最后那样，是乱世中的一抹彩色啊！也是讲故事的高手，两个小时没有觉得枯燥。
263$1291858$鬼子来了$atlas$2011-01-08 21:14:29$2$"八百年前本是一家。打是亲，骂是爱，皇军骂八嘎我们不在意，咪吸咪吸皇军给…
这抗日八年，中国还是最强大。日本鬼子撂着蹶子就跑了…"
264$1291858$鬼子来了$Scorpion$2011-12-19 14:07:04$0$初中时看的，真没看懂，后来结合着影评及相关报道才知道，原来是这么经典的一部电影
265$1291858$鬼子来了$竹或子$2008-08-29 13:10:44$1$！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
266$1291858$鬼子来了$bay135$2010-04-17 21:36:56$3$中国最有骨气的电影，看得我热血沸腾热泪盈眶。可以和中国有史以来任何一部杰作比肩，完完全全剖析了中国老百姓。完全的杰作！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
267$1291858$鬼子来了$小杨树$2017-07-29 14:03:13$2$最讨厌这里的潘长江，让我受尽了。。。。。
268$1291858$鬼子来了$無邊無際$2012-11-23 16:13:38$3$重看了139分钟版本。不知道戛纳公映的162分钟版本，多的23分钟，会是什么情况。一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、酒冢猪吉、小碌碡……
269$1291858$鬼子来了$NVHZ$2016-11-24 00:47:56$2$虽然不是每个战争片都一定要明确表示出战争双方其实本质相同，但是我觉得导演应该至少表示出自己懂这个道理，不然一直黑日本人很容易给人错误的印象（虽然中国人也没少黑）。等一下，导演好像不明白这个道理...
270$1291858$鬼子来了$老滚$2019-06-04 21:20:19$1$8.6 黑色幽默和戏剧张力十足，佩服姜文的掌控力，就算是载歌载舞的场景也让人极其不自在，是本质上就有的冲突。全片也把农民的愚昧所完全展现，几处小场景的讨论，虽然搞笑，但不由得感到叹息，人心难揣，更别说是日军，最后也很讽刺，中国人还是死在了中国人手里
271$1291858$鬼子来了$H.W.X$2011-05-28 18:53:57$0$好棒的姜文，好棒的电影，在潘长江等人插科打诨的夺取抗日战争的胜利时，他让我们看到一些不一样的东西，真的好棒
272$1291858$鬼子来了$阿Q$2011-06-10 18:11:20$0$黑色幽默的極致, 對歷史和人性的深刻挖掘和反省...姜文真是天才! 無話可說, 五星不足以評價.
273$1291858$鬼子来了$YYQ$2007-08-28 01:55:32$1$"妈的看好最大的感觉就是,日本鬼子真他妈不是人啊!故事其实的确只是个故事,但是我相信类似事情肯定没少发生.
日本猪说着讲信用之类的P话,又比谁都快地翻脸违约,也的确,为什么要对日本猪抱有侥幸抱有希望呢?!
战争就是这样,一句投降,那些嗜血的战俘也瞬间变成了需要保护的对象.会说他们手无缚鸡,那当初手无缚鸡的中国人呢?
你既然有脸光明正大地侵略,就别做这种背信弃义的畜生行为.
日本,没有人性，没有信用,不要脸的国家.
拍得不错,全片黑白,最后被砍头的那段特别好.然后变成彩色画面,最后一片猩红."
274$1291858$鬼子来了$四月天$2010-12-22 19:15:59$0$亲切的唐山话,朴实的农民,滑稽的吴大维……,我们不光要警惕日本人，这大凡中国人都看得出来；我们更要警惕自己，警惕自己的天真和侥幸心理以及善于遗忘。
275$1291858$鬼子来了$kkkekedou$2010-12-27 21:34:53$0$中国人的习惯，信天地信爹娘信亲戚信朋友信领导信小三，就是不信自己。心里把自己摆的特高，面子做的特卑微，嘴里说一切听上级的，实际谁也不服，小奸小诈不缺，大彻大悟没有。中国这风雨百年，从高位重重摔下又爬起，太多故事。我太爷爷是日本人杀的，看着电影，怅然想着故乡曾经的那些泥土和杀戮
276$1291858$鬼子来了$sharon$2017-03-19 23:01:59$8$姜文作品的巅峰
277$1291858$鬼子来了$缘三$2012-04-12 11:55:30$0$他在笑，他确实在笑。翻译汉奸与马大三被杀，都在笑，这是苦笑。笑自己愚昧，笑自己单纯。最让人感觉吭爹的就是，有人敲门，谁？！我！天知道害了多少稀里糊涂去开门的人。姜文让你笑得灿烂，但有鬼子，就注定让你哭，甚至让你哭都哭不出来…
278$1291858$鬼子来了$比芭宝$2014-03-03 03:51:40$0$20140228@CA933 to Paris 大哥大嫂过年好 你是我的爷 我是你的儿！！！
279$1291858$鬼子来了$托托惑斯$2011-09-30 00:40:46$1$交流的近乎不可能，平凡之恶的再次体现，独自奋战决绝，眨眼三周的微笑。
280$1291858$鬼子来了$火山君$2011-01-16 22:06:30$0$深刻的可怕 不可多得的中国佳片 是现在非诚勿扰这类商业片无法比拟的
281$1291858$鬼子来了$宇宙寿司馆老板$2010-09-25 19:28:57$0$"姜文的黑色幽默血统继承到在第二部电影变成了讽刺 那种辛辣与玩世不恭全刻在了他的脸上 这是一个寓言 但远没有那么美好 
黑白镜头 在最后人头归于尘土 变回彩色 暗示了什么 只有他清楚
 不管怎么说 这都是我十九年来看过最好的中国电影"
282$1291858$鬼子来了$PhoebeBuffey🌈$2018-10-03 19:21:10$2$1、晚上早睡对身体好。2、是讽刺吧：给吃给喝给拉像老祖宗似的供了半载，到头来却被他大刀一铡落了人头。寓言故事中的农夫与蛇早已死去，但它们的故事却不断在每块大陆、每个国家、每座城镇重复上演着。3、中国人的性情是温和的，主张中和的。因此，即使马大三能够将面前怙恶不悛的日本官兵就地正法，但仍哭喊着下不了手。因此，即使花屋与董汉臣白吃白喝了半年，村里人仍可以以德报怨地将他们毫发无损地送回去。因此，当“中日友好聚会”由日方发起后，村民们仍兴高采烈地载歌载舞起来，并无防备之心。4、英文译名再贴合不过了。5、对色彩光影的运用算是顶尖水平了。黑白色调独有的压抑沉闷在结尾被大片浓重的鲜红覆之抹去，骀荡春光中附着晨露的鲜花昂首怒放、从墨青深海中迅速浮出水面的畅快呼吸也不过如此。
283$1291858$鬼子来了$普通无产者一员$2017-01-09 22:28:18$2$"我的妈，神一样的片子。愚昧至死+黑色幽默+斯德哥尔摩+畸形的人性。当然了，因为那个“我”影射了赵老爷难免被禁。狂热信奉天皇的武士道和信奉真主的绿绿在我看来并没有区别，历史总是重演，并且人们从未从历史中吸取教训。
kmd军官居然是吴大维，国军刽子手是姜武，摄影顾长卫。马倌也写上，姜文牛b"
284$1291858$鬼子来了$槁叹。$2020-01-26 22:18:14$3$人心都是肉长的，单纯善良朴实的村民们，哪相信什么是养虎为患？宴会屠村真是厉鬼降临；马大三哪能想到报仇雪恨后居然带着破坏和平的大高帽被斩首？死后才看清楚这个世界的颜色…
285$1291858$鬼子来了$freeup$2011-07-04 21:55:00$0$"广电xx局给出了一大列的“审批意见”，也许有些许情节有美化与不实之处，但总体看来就一爱国片啊。不卑不亢，畅快淋漓，果断牛叉啊！！比起来，子弹就差得太远了！！ 
 "
286$1291858$鬼子来了$黑稻子$2007-02-23 12:35:34$0$在我感到一切国产电影都是做作的时期，我依然觉得这是唯一一部我最爱我无法说出任何坏话的电影。
287$1291858$鬼子来了$重光$2013-07-24 23:59:53$0$这部电影的牛逼之处就在于：即使抛却“抗日”这个民族主义旗帜，依然让人触动颇深，对于战争、对于政治，姜文的认识和诠释令人赞叹。这样的巅峰之作国内无法放映，就是对国内政宣工作的绝佳讽刺。
288$1291858$鬼子来了$乍暖$2018-07-20 16:44:28$5$8/10。悲喜剧，从小笑到苦笑到沉默。最后的黑白转换是神来一笔。最好的是立意，采用上帝视角，把现代中国人普遍具有的斯德哥尔摩综合症表现了出来，有怒其不争的意味。瑕疵是黑白质感一般。
289$1291858$鬼子来了$lcsun$2011-04-02 16:07:06$0$现在想起来，确实和黑泽明的东西挺像的。叙事手法，镜头，对农民的态度。。。
290$1291858$鬼子来了$青春给了你$2012-01-28 13:29:47$0$他不光要我们警惕日本人，这大凡中国人都看得出来；他更要我们警惕自己，警惕自己的天真和侥幸心理以及善于遗忘。
291$1291858$鬼子来了$阅微草堂$2017-07-28 09:47:05$3$披着抗日的故事外壳，但它的内核是西方悲剧里的人性。殖民这个西方落后的文化因子不能被西方科学所掩盖。看了姜文的自我评价，才知道姜文的境界：不仅仅是拍电影，而是拍历史证据了。
292$1291858$鬼子来了$子皿与舟$2011-11-26 18:38:53$5$“大哥大嫂过年好，你是我的爷，我是你的儿~”那么地，张艺谋累了，于是拍出了《三枪》，陈凯歌老了，于是拍出了《无极》，幸好还有个姜文，能拍《让子弹飞》。
293$1291858$鬼子来了$Tiny$2010-05-10 18:45:47$2$“我”始终没有再出现，但是就因为“我”，改变了挂甲台所有人的命运。先不说村民会不会被日本人杀死，最起码马大三不会再那样一种尴尬的情况下死去。好多好多东西，和我们开始了解的不一样，我想这就是为什么片子会被禁播的原因吧。真的要是公映了，怕是几万万中国人们一时接受不了。姜文是鬼才！
294$1291858$鬼子来了$像面条般地活着$2010-12-27 14:38:09$2$每次看吴大维演戏真是要了我的命，《霸王别姬》里面那怂样一点儿没变。
295$1291858$鬼子来了$大头的小头梦$2010-10-29 10:53:08$0$很难评价的一部片子，推荐给长辈们看，给老爸留着。
296$1291858$鬼子来了$泥鳅鳅$2010-12-23 11:15:15$0$没有想象中那么震撼NB。。暗含意义又不少，没觉得有啥值得禁的必要～
297$1291858$鬼子来了$妄想代理7$2012-09-07 01:00:10$0$揪心。 姜武又打酱油来了  是你把杀你哥的刀递出去了啊！！！
298$1291858$鬼子来了$北公爵$2012-09-21 09:05:46$0$恐怕姜文是中国的导演中，唯一一个真正具有世界性的导演，可惜他表述的语言不是世界性的，中国人也没准备好接受他的表达。
299$1291858$鬼子来了$杨大志°$2017-06-28 22:32:45$3$对敌人仁慈就是对自己残忍
300$1291858$鬼子来了$Anday$2011-05-01 16:19:17$0$一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、小碌碡... 
301$1291858$鬼子来了$潘萄籽$2010-03-22 18:50:00$1$直到多年以后，“南京南京”还在复践着高少校的苍白又可耻的道义
302$1291858$鬼子来了$妍春$2020-02-27 19:35:52$2$豆瓣TOP250补标。139分钟版本。国产战争片补遗。裹着黑色喜剧外衣的魔幻悲剧。立足低，着眼小，展开顺，弘意达，余韵远。遗憾也是有的，影片的工刻痕迹略重，姜文的个人色彩干扰了片子的重心——相比《让子弹飞》，《鬼子来了》缺少足有重量的葛优、周润发来调平重心，甚至没有次级影响力的刘嘉玲、廖凡、陈坤对天马行空的姜文形成制衡。另，摄影也不尽如意。
303$1291858$鬼子来了$断弦的耳朵$2014-03-30 01:28:23$0$姜文说：“中国人几辈子都喜欢一个错误，为了自己想要的一个结果，明知到它存在的理由不充分不合理，就先找个借口说服自己，然后以为别人也能接受这样的理由。”为了片尾那一抹红色，姜文把整部片子变成黑和白。
304$1291858$鬼子来了$紅茶包$2011-05-21 04:38:24$0$............................ 深刻
305$1291858$鬼子来了$阔$2011-06-01 23:41:05$0$越荒诞越有力，越能触及人性，触及更真实的史实。可是至今为止，我们还在主旋律的自我陶醉，不敢直面...
306$1291858$鬼子来了$Adieudusk$2022-05-28 12:49:44$2$屠村之后的部分太差了。姜文想拍农民的蠢和善，我觉得他们既没有那么傻，也没有那么简单的善，更不会不知道危险。日本人和国军的塑造就更不用说了。大概是看小人书就长大了，再没有过别的过程。
307$1291858$鬼子来了$德拉库拉拉$2007-10-24 17:19:46$0$2007-10-24 13:00:23 9/8.4(1250)
308$1291858$鬼子来了$水街$2010-12-25 10:20:45$1$"最后三儿尽然死在日本人手里，不禁感叹，那些神马战后和平条约，吃屎去吧！！！
看完之后很压抑~~
愚昧无知，不过看到了纯朴善良~
想起校训：自强不息~~
"
309$1291858$鬼子来了$罗荒野$2013-12-25 15:44:47$1$这部片还原了日军投降后但部队仍未撤离，国军尚未接手的那段空白历史。利益至上这个真理不假，但千万不要和魔鬼下任何契约。七爷虽然是个疯子，但是第一个看出日本人起杀心的，也是他。片尾用广东人象征国军高级统帅的手法很聪明。
310$1291858$鬼子来了$Yugu$2013-01-22 15:47:13$0$不了解这段历史，相对中性的观众。但这电影的情绪成功把我调动，看完之后仇恨上身。这个电影绝无反战色彩，当无辜者遭受践踏杀戮，再也没有和杀戮者同在一片土地的理由。姜文应当是恨自己没有生在那个年代吧。
311$1291858$鬼子来了$萌发奇想$2017-06-15 08:22:21$0$大哥大嫂新年好，你是我的爷我是你的儿！刚开始笑的的肚子都疼了，可是整部电影看完我是一点都笑不出来了！心中充满一种说不出的压抑与悲哀，中国不是没有好电影，只是大多都被禁了★★★★☆
312$1291858$鬼子来了$马西吼吼吼$2009-02-13 21:07:33$0$翻滚的头颅最后还是与黄土地结合在一起，微笑过后镀上了一层超现实的红。
313$1291858$鬼子来了$littlewine$2009-08-28 18:33:08$0$这临死前滞留几秒的意识，他在想些什么？我们可歌可泣的中华民族啊，有几个人能真的读懂生于忧患，死于安乐呢？国人懦弱得连去面对自己几千年来腐朽的国性的勇气都没有，拍出不计其数的日本人可耻，中国人民可怜无辜的电影来滋养内心那条安逸的毒蛇，有几个人真正敢于反思？敢于挖出那条发霉长蛆的根？
314$1291858$鬼子来了$MaxHorowits$2011-02-20 13:16:58$4$泣血之作。花屋长得好像青蛙军曹，酒冢还挺帅的。
315$1291858$鬼子来了$不要太over$2010-10-17 12:35:55$0$前后呼应 黑色幽默、讽刺、细节、 结尾的镜头震憾死我了 此片绝赞！ 飙泪 我...词穷了...
