$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35312437$奇迹·笨小孩$25%$2022-02-01 16:10:01$17927$过程才是现实，结尾只是理想。
273$35312437$奇迹·笨小孩$见习法师$2022-02-01 15:26:50$305$励志电影不再那么励志也不算是电影的错，只是生活里有太多足够努力却不够幸运的故事了
274$35312437$奇迹·笨小孩$張小小小小静$2022-04-18 17:31:20$11$我好像已经老到无法相信梦想和奇迹这回事了，想想也有点可悲。。。。
275$35312437$奇迹·笨小孩$云山$2022-02-01 11:50:23$573$我就是喜欢俗套的
276$35312437$奇迹·笨小孩$Wednes$2022-02-02 13:32:03$180$最烦TM听到这句话，就你有难处。-老杨        生活真的挺艰难的，但也没那么艰难！如果你能找到一起走一条路的人。
277$35312437$奇迹·笨小孩$李$2022-02-01 11:52:55$1159$好景常在
278$35312437$奇迹·笨小孩$花花$2022-06-08 01:34:15$5$脱离现实，空洞，模板，最后的成功让仿佛跟我不在同一个地球，根本没有感情共振。只有令人不舒服的抒情引起的不适感！！！！！
279$35312437$奇迹·笨小孩$木木夕_Irene$2022-04-14 20:58:48$24$少一些硬要烘托气氛的背景音乐好么？离开了宏大BGM和慢动作，中国人难道就不懂感动了么？
280$35312437$奇迹·笨小孩$花生$2022-02-16 13:10:51$29$看看就好了了，社会底层其实不是这种样子的，只有形似没有灵魂，电影确实美好，美好的有些不真实。很多事情有些时候很难。景浩妹妹一出来就很难过，因为钱无能为力太让人难过了。
281$35312437$奇迹·笨小孩$我是一个演员$2022-02-01 10:13:08$646$文牧野还是一如既往地稳啊。
282$35312437$奇迹·笨小孩$Mr.L$2022-02-01 22:51:57$364$电影虽然还是老套路，但是无论导演编剧还是一众演员都表现的极其优秀，反复心疼和感动的情绪，人间疾苦，希望所有身处逆境的人们都能遇见奇迹，创造奇迹！
283$35312437$奇迹·笨小孩$toishiki$2022-07-08 01:41:24$12$想啃老摆烂的我流下了悔恨的泪水
284$35312437$奇迹·笨小孩$求你少吃一点$2022-02-01 17:10:47$292$小人物的绝望、挣扎
285$35312437$奇迹·笨小孩$Vj433$2022-05-02 13:43:36$9$看这部电影，整个下来就一个感受，就是流畅，就像看一个成熟的学者还在用“问题提出-研究方法-研究思路-研究结果”，这样的八股套路写论文一样，不出彩，但是整个下来很顺，理解起来也不难，该催泪的地方催泪，该振奋人心的时候振奋人心。不能说全是技巧，没有感情，但是确实在技巧这块，文牧野可以说驾轻就熟了。
286$35312437$奇迹·笨小孩$poo chia$2022-02-02 19:09:19$90$妹妹趴在窗户等着从暴风雨来接她放学回家的哥哥，奋斗者常有，奇迹不常有！
287$35312437$奇迹·笨小孩$kuchisabishii$2022-02-02 15:50:19$140$比我想象的好看很多 我很吃文牧野这套大时代背景下的小人物，本来看预告片听四字的气泡音准备活力吐槽来着，看了之后觉得还行……气泡音还是有，但是不影响观感
288$35312437$奇迹·笨小孩$FloriaZENG$2022-02-01 23:40:20$15$如果你相信现实有童话，你就会喜欢这个电影。我相信～
289$35312437$奇迹·笨小孩$李飞$2022-02-01 15:25:19$365$高楼大厦下从来不缺人间苦痛，人大概是这世上最越挫越勇的存在了
290$35312437$奇迹·笨小孩$eros$2022-02-01 10:55:42$339$空间叙事+好莱坞情节剧，其实也是新群居电影。
291$35312437$奇迹·笨小孩$chen$2022-02-01 10:25:58$2917$太适合合家欢啦，很喜欢这种大家一起创业的热血故事，喜欢喜欢
292$35312437$奇迹·笨小孩$前后慢摇$2022-02-01 10:02:51$107$台词有进步，就是看着很憋屈，章宇还是一如既往的有质感
293$35312437$奇迹·笨小孩$牛推鸭大爷$2022-02-13 23:48:35$37$数度落泪，人生怎么会这么难！感同身受，感同身受啊！哥哥完全是为了妹妹活着，没有自己的人生。生了病没钱做手术，要做那么多危险的、辛苦的工作来赚钱，豁出尊严求人，那么年轻却要承担这么多，坏事接踵而至。当工厂厂房被收回，工人们来鼓励厂长的时候，想起了《我不是药神》，一群病人和家属跟着程勇的情节。还是有这么多善良的人，比如学校传达室的大爷、外墙清洁工的工头……为千玺的演技打call
294$35312437$奇迹·笨小孩$hehehehehehe$2022-02-01 15:03:43$674$本来只想给4星的，因为导演拍摄手法，有些镜头太刻意了。但结尾的致敬新时代以及那首海阔天空太戳我了。五星
295$35312437$奇迹·笨小孩$⊙﹏⊙$2022-02-01 17:08:54$111$感觉是深圳市宣传片
296$35312437$奇迹·笨小孩$Yasmine_$2022-02-23 16:15:37$16$情节流畅结构完整人物饱满群像立体，与其说这是小人物的奋斗史、笨小孩的奇迹，不如说这是好学生的满分答卷，经典故事结构必有存在的意义、而时代的脉搏一定值得聆听。除去挑不出毛病的基础建设，细节艺术设计、演员情绪处理相得益彰，深圳旷日持久的烈阳以及突如其来的飓风，五湖四海的口音和同样的乐观、奋斗与热忱，反射天空的大厦玻璃上看不见断指的血污，一拖拉机铲起的断壁残垣埋葬失意与迷茫，诚然这个世界太悲哀、人生满是失败，然而爆米花香甜酥脆、世界上所有笨小孩唯有相信奇迹
297$35312437$奇迹·笨小孩$Eva$2022-04-16 20:31:48$76$如果你没来过深圳，可以看看电影里的这些片段，展示了深圳独特的一面。除去深圳湾一号/地王大厦/平安金融中心/前海蛇口/宝安中心等等等等的天际繁华，剩下的就是万年在修的路，城中村里的烟火，黄金铺位地摊儿式的华强北，地铁巴士小电驴来来往往的都是打工人打工魂，深圳真的是这样，五湖四海的人来到这里，接着地气努力拼搏，想要创造自己的人生奇迹。片尾的“海阔天空”一响起，那哗啦啦的眼泪就根本停不下来，与其说电影感动了我，不如说深圳奋斗的剪影感动了我。ps深圳图书馆的空地上也总有一个乐队在唱海阔天空。pss.以上，来自一个深圳搬砖人的Record
298$35312437$奇迹·笨小孩$王小觉$2022-02-01 23:03:57$189$还行，除了找来的工人个性鲜明，组队犹如动漫或者退役特种兵不太真实外，其他都好
299$35312437$奇迹·笨小孩$相信电影$2022-03-16 22:20:08$8$可以哭 可以向前
300$35312437$奇迹·笨小孩$mοmο$2022-02-01 10:19:52$267$雨会停的，天会晴的。
301$35312437$奇迹·笨小孩$王三十九$2022-02-04 15:18:21$23$1. 关键时刻为什么组织不出手给个创业基金，这样即能创业成功又能体现我们的优越性？2.演员表演还是挺好的。
302$35312437$奇迹·笨小孩$帕罗西$2022-02-07 15:46:41$13$为感人而感人的命题作文——刻意感很强烈、没什么新意，看得很累，只能说很有正能量🤙🏻
303$35312437$奇迹·笨小孩$Kenya$2022-02-06 21:31:36$44$正在广州创业的我，看到这片，真的太鼓舞人心了，never fucking give up
304$35312437$奇迹·笨小孩$黄焖Jimmy饭$2022-02-01 11:41:41$1166$一大早看完电影现在准备吃团圆饭，感觉我们每一个努力拼搏过的笨小孩都好幸福啊
305$35312437$奇迹·笨小孩$筐出未来$2022-02-01 10:17:18$509$适合春节档全家看！易烊千玺演技越来越好了。景浩修手机好厉害啊！
306$35312437$奇迹·笨小孩$不良生$2022-02-08 22:20:29$6$1.尽量永远不要放弃一些血性、烈性、刚性与斗性，这些东西能让你伤亡，也能让你活下去。2.珍惜任何来自陌生人的哪怕微小的善意，也要保留对这个世界任何一个地方哪怕是小角落的恶意的存疑以及防备心。3.人生真的很难；尽管人生很难；依然人生很难。
307$35312437$奇迹·笨小孩$小蚂蚁$2022-02-05 12:41:39$55$果然不出所料、不负我的期待，本片是春节档故事性最强、最好看、最有意义的电影。社会价值和教育意义、情节曲折感人程度、对创业艰辛的深情刻画、在中国影史的地位绝不应低于《当幸福来敲门》。易烊千玺日渐稳固新生代影帝的位置。还有，不知为何想起罗永浩，失败并不可笑，坚持做事业早晚会赢得尊重。
308$35312437$奇迹·笨小孩$某日无风无云$2022-06-03 16:17:24$23$小伙可以。路转粉
309$35312437$奇迹·笨小孩$.Cut Stomach$2022-04-18 01:02:48$19$和我不是药神差远了
310$35312437$奇迹·笨小孩$十八号星球$2022-02-01 16:14:35$973$太好哭了 景浩太苦了 看的我哭的不行 成功的路上重重困难 但是只要你真的想做成一件事 全世界都会帮助你的 
311$35312437$奇迹·笨小孩$武侠小王子$2022-02-05 15:04:32$0$典型的西方式励志电影，为什么选深圳？深圳拥有市场经济的所有形态。这座城市是属于市场的，是属于体系的，也是属于人的。
312$35312437$奇迹·笨小孩$璐尔北$2022-04-27 01:35:02$9$也不知道文牧野导演尝过多少人间疾苦，对小人物的把握还真是很到位，而且和曾国祥一样，把四字用得特别好，比在小红花和湖里都好。反倒结尾给每个虚构人物安排结局太刻意了，哪来这么多成功人士啊🤔
313$35312437$奇迹·笨小孩$Hachi$2022-02-11 02:14:56$18$电梯里的欢呼声全部被巨大无比的背景音乐盖住了，没有压抑过后的酣畅淋漓。结尾又俗又无聊。
314$35312437$奇迹·笨小孩$HiddenTiger$2022-02-02 18:08:35$98$千玺这小伙可以
315$35312437$奇迹·笨小孩$大长街$2022-02-07 15:31:47$8$很标准。和药神相比没有少什么，没有的东西一直没有。
316$35312437$奇迹·笨小孩$豆友193110452$2022-02-01 15:03:25$894$        奇迹很好看，生活不易，唯有不懈努力才有生机，要不然就会被吞噬掉；文导很擅长拍小人物的故事，电影不煽情，但很抓人的情绪，剧情、表演、剪辑、背景音乐都很出彩，节奏流畅，好久没有在影院看这么过瘾的电影了，看完以后心情久久不能平复，这才是电影🎬
317$35312437$奇迹·笨小孩$耐心～烊$2022-02-01 10:40:37$214$yyqx
318$35312437$奇迹·笨小孩$今天我学习了吗$2022-02-02 21:31:41$171$真的好看家人们！
319$35312437$奇迹·笨小孩$翕白$2022-02-01 17:09:23$810$刚看完，挺好看的，尤其那个小女孩，演的特别好，有被她感动到。
320$35312437$奇迹·笨小孩$莫🐠$2022-02-01 10:11:27$1740$易烊千玺的演技又一次惊艳到我了，他的演技让人相信他就是那个为妹妹筹集医药费而努力创业的哥哥，也是集齐一群小人物的电子厂厂长，影片中会为每一个小配角而感动，每个角色都有他存在的意义，只能说文牧野拍的太好了！！这部电影我超级推荐！好看👍🏻
321$35312437$奇迹·笨小孩$Jonathan$2022-04-18 08:30:16$11$从头到尾都充斥着刻意的不现实。从导演到编剧到演员都没有这种小人物的切身经历，都只是在自己的视角里诠释了一个看似充满希望的故事。不过这怪谁呢？易烊千玺这部戏演的太一般了。
322$35312437$奇迹·笨小孩$加班中……$2022-02-01 11:49:05$1178$刚看完啊！好看～不往我大年初一一大早上就去看
323$35312437$奇迹·笨小孩$Jiaaade$2022-02-08 10:48:29$17$对底层人民真正的关怀是理解他们的苦难，实际地帮助他们解决生存难题，而不是利用他们的人生做故事样板，在写实得来又架空的别扭时空里造一场虚幻成功的梦。不要给穷人假大空的希望是对他们最后的仁慈。结尾还用了Beyond的《海阔天空》是最讽刺的，「努力」和「奋斗」在曾经的香港地是真的能创造奇迹，而现在呢？
324$35312437$奇迹·笨小孩$是toyo鸭$2022-02-01 13:32:14$295$"稍欠惊喜，诚意足够
四字弟弟好帅 好酷 好绝！"
325$35312437$奇迹·笨小孩$Eva$2022-04-16 11:53:39$11$太喜欢妹妹了，很有爱的一厂子的人。但有点好的不太现实了
326$35312437$奇迹·笨小孩$文艺的走狗$2022-02-07 15:24:45$6$打工人的励志鸡汤
327$35312437$奇迹·笨小孩$loveless fancy$2022-04-20 20:22:34$2$是挺奇迹的，甚至梦幻，这千万分之一的概率，不过影视作品嘛……节奏细节镜头都特别好，就最后吧还是刻意交了个作业，四字弟弟的台词进步很多
328$35312437$奇迹·笨小孩$狮子月$2022-02-01 10:07:58$1047$好看，生活不会把善良的人打到！易烊千玺演技更细腻了。剧情有泪有笑，充满时代感，春节合家欢电影。
329$35312437$奇迹·笨小孩$网友小枫$2022-02-01 10:32:53$1365$我老公太有才华了
330$35312437$奇迹·笨小孩$含笑半步颠$2022-04-18 05:06:05$3$三星半。确实有着一眼看到头的叙事套路，但是考虑到肩负着城市的宣传任务，可以理解。不过就在固定好的方向里拍出良好的观感也不是特别简单的事，这样的商业片肯定会结局美好，但该有的危机叙事也按照节奏有条不紊的分配，紧张感一点也不少。虽然有着类似《十一罗汉》式的任务小队的人物配置，不过这次这些帮手们没有功能性，全是普通人反倒是更拉近观众感受电影的距离。现在的社会环境里，过去的奋斗叙事不仅失去往日荣光还在承担着一定风险，所以文牧野在电影里也尽可能弱化成功学的带来的颠覆性改变，并在过程里用景别镜头展现空间和人的对照以此表明自己并非视而不见，即使最后的结局还是会回到既定路线。但是我并不觉得这有什么大问题，毕竟这样的奋斗比在咖啡馆面包店里摆弄电脑，操着洋泾浜、玩数字游戏搞金融套利有意义有价值的多。
331$35312437$奇迹·笨小孩$平四眼$2022-04-18 00:37:35$45$啥都掩盖不了剧本的差。
332$35312437$奇迹·笨小孩$voivoidvoid$2022-02-01 15:04:07$920$"“只要咱努力，没什么不可能。”
大年初一看的电影，好看！"
333$35312437$奇迹·笨小孩$大手拉小手我们$2022-02-01 10:10:53$760$真的很好看，有泪有笑，全员演技在线。每个普通人也能创造出属于自己的奇迹
334$35312437$奇迹·笨小孩$没有鱼丸$2022-02-05 19:38:20$37$反正眼泪哗哗，反正四字弟弟路转粉
335$35312437$奇迹·笨小孩$ff$2022-04-24 13:39:35$23$真的太模版了
336$35312437$奇迹·笨小孩$唔西迪西$2022-02-01 15:26:53$465$好看的，虽然是从一开始就能知道结局的电影，但是依然很精彩
337$35312437$奇迹·笨小孩$NO.5，1948$2022-04-28 17:06:28$6$没有奇迹•普通人 要有医保。看的半途中我就在想，难道没有做产检吗，后面想想产检可能有很多病也排查不出来。然后又想，母亲去世后什么都没留下吗，连个容身之所都没有；但仔细想想，可能是治母亲的病已经倾其所有了。生病真的真的是很花钱呀。13年，爷爷查出来食道癌，也是花了三四十万治，最后还是爷爷走了，但因为医保报销了七八成，所以我们家里压力不是很大。
338$35312437$奇迹·笨小孩$团子$2022-02-01 10:27:18$2395$搞笑 温暖 激情满满 片尾曲好好听啊！！！斗志昂扬唱起来
339$35312437$奇迹·笨小孩$疯子詹$2022-02-02 18:07:44$254$不想管其他影评，就想给五星。繁华的城市跟破烂的住宅区的对比。那时候房租还能拖一拖，现在估计拖了，就给你扔了，根本不会打你电话，哈哈哈哈...最后给个ceo，表达了作者美好的愿景...但是不得不说，那是时间的深圳，真的就是不断创造奇迹的地方。
340$35312437$奇迹·笨小孩$无事公$2022-06-20 10:54:39$23$地点深圳，下午三点的动车，应该不少吧，你能猜到是哪一辆？而且深圳肯定不只一个火车站，你连是哪个火车站都猜不到吧。
341$35312437$奇迹·笨小孩$非编码Postdoc$2022-06-12 11:42:40$5$三星半吧，就结尾在电梯下行的欢呼里刚刚好。小时候听到“来了就是深圳人”是激励，走近看才知道是被吸血
342$35312437$奇迹·笨小孩$我美式$2022-02-02 15:51:11$58$四星给叙述故事的能力和演员的能力，不能给五星是因为这种普通人的成功实在太偶然，大部分时候还是“蝼蚁”。
343$35312437$奇迹·笨小孩$randy shao$2022-02-05 19:39:16$24$作为春节档电影，题材有所突破。
344$35312437$奇迹·笨小孩$跳跳虎$2022-02-01 15:26:52$414$你可以永远相信文牧野！！！
345$35312437$奇迹·笨小孩$kis$2022-03-23 22:27:30$3$4.5。不把电影当作成功学教科书。困境的不断堆砌在一方面凝聚情感抒发的力量，另一方面则引导观众聚焦于人物本身，从而打开观看杜琪峰式爱情喜剧的窗口。剧作的漏洞百出与人物间真挚的情感便是此类电影的两重性。
346$35312437$奇迹·笨小孩$吨吨$2022-02-07 15:31:22$10$剧情不错啊
347$35312437$奇迹·笨小孩$玺羊羊$2022-02-01 10:26:28$2119$药神班底和易烊千玺强强联手，期待值拉满
348$35312437$奇迹·笨小孩$隔壁老张$2022-05-06 13:46:11$2$在现实与梦幻之间，既残酷又梦幻
349$35312437$奇迹·笨小孩$木芽$2022-02-01 10:20:03$1359$不得不说，真是一部值得称赞的电影。中国人骨子里散发的乐观积极，不会被打倒的勇气，淳朴而野性充满生命力，在这部电影里呈现的很好。易烊千玺的演技真的牛逼，贡献了影帝级别的表演。
350$35312437$奇迹·笨小孩$十三月唐十三$2022-04-16 20:56:04$29$过程励志的令人感动，结局完美的太过理想。世界多的是努力了却仍然失意的创业者，但这电影在一定程度上将“赌”的后果呈现给了每一位站在人生路上的我们。电影值3星，这份看完后明知太过理想但仍然给我早已躺平的心里带来了一丝光明的感受加1星。
351$35312437$奇迹·笨小孩$五星泰迪$2022-02-07 15:33:14$44$2022春节档最佳，易烊千玺yyds
352$35312437$奇迹·笨小孩$在你口袋睡一下$2022-02-04 15:13:10$22$结局给每个人配字我还以为是现实事件改编呢 原来是我想多了😅
353$35312437$奇迹·笨小孩$Jacky$2022-02-07 13:46:53$7$个体总是更容易共情，但个体往往无法代表群体，所以故事还是讲个体的好。
354$35312437$奇迹·笨小孩$阿隽隽$2022-02-06 23:17:53$9$人情很暖，奋斗也很正能量，电影是很好看的，但这样的电影要传递给年轻人什么影响呢，毕竟这样的铤而走险在任何一个环节上出问题，都会造成惨败的结局，不值得提倡，兄妹俩这种情况应该试着申请大病求助，妹妹这么小，20岁的哥哥能不能够有资格成为她的监护人？我不太懂这方面的问题，社区能不能帮扶，健全的社会里，俩孤儿怎么会被逼进这样一个绝境里？
355$35312437$奇迹·笨小孩$海底冲浪爱好者$2022-02-04 23:18:30$20$谁都有难处，虽然结局是he，但是整片看起来就是小人物的人生，景浩不过是万分之一的成功者，更多的人熬不过那些苦难
356$35312437$奇迹·笨小孩$Andres$2022-02-04 15:35:05$17$春节档及格电影
357$35312437$奇迹·笨小孩$🇨🇳$2022-04-15 00:33:06$24$7.4 “三和大神”不是这样的……
358$35312437$奇迹·笨小孩$申由己$2022-04-19 23:49:44$3$很难得，国产片的质量真是提高不少，易烊千玺演技不赖，比唱歌的王源有感觉。
359$35312437$奇迹·笨小孩$瑞波恩$2022-03-03 22:08:25$16$四星半，的确是一个“奇迹”，另一种意义上的“雄狮少年”，残酷暖伤又乐观坚强，体验了世间的恶也感受到人间的善意，这不仅是一个南方打工仔的传奇经历——一如既往的文牧野，许多熟面孔，小人物的集体抗争逆袭，也把生活骨感残酷的一面揭开给人看，为了救妹妹吃尽苦头的穷苦少年令人心疼，幸运的是每个人最后都获得了救赎（或许这就是最好的结局吧），欣慰的是千玺更成熟了，这么复杂的角色hold住一点没问题（比《少年的你》更上层楼）——bug也很多，难以想象假如最后质检不合格或者大boss腹黑不讲理，这一群人的努力不都全打水漂了嘛（再次陷入万劫不复的深渊），结局显然是妥协与为了某种平衡——既抚慰了观众也迎合了市场和主旋律，理想化一切苦难是不现实的，最后感觉这个故事以纪录片的形式呈现或许更合适，真实的力量往往胜过一切。
360$35312437$奇迹·笨小孩$PROFESSOR$2022-02-02 19:08:53$37$3.5 其实拍得不错 演技也很好，就是故事情节有点太过单一了 
361$35312437$奇迹·笨小孩$老爷的独家狗腿$2022-03-01 21:53:17$7$感觉和《药神》一样好 完美的商业片教学 无可挑剔的节奏 剪辑 表演 完成度真是没得说了 不知怎么夸给个五星吧😅😅 
362$35312437$奇迹·笨小孩$hard$2022-02-01 16:27:05$144$小人物的故事，大家一起成长，为了梦想打拼
363$35312437$奇迹·笨小孩$Hhhhhh$2022-05-01 11:22:28$47$挺好看的 看完好感动 易烊千玺在年轻一辈里演技算拔尖了
364$35312437$奇迹·笨小孩$梦想长眠不醒$2022-02-01 16:34:48$763$努力就有奇迹！
365$35312437$奇迹·笨小孩$怒之御风$2022-02-05 08:00:34$12$3.5 我们都知道后半段几无可能发生在普通人身上
366$35312437$奇迹·笨小孩$chris2527$2022-02-07 13:47:07$15$转载儿子朋友圈：奇迹，永远是一个人的蜕变。景浩的20岁——有先天性心脏病的妹妹，母亲离世，父亲至今下落不明，自己还只是一个修手机的。在这种绝境下求生的过程让他浑身是伤，两根手指骨折，在台风天还不得不外出。在深夜中他也会梦到母亲，哭成一个孩子。即使看到他成功，看到他和他的朋友都功成名就，家庭美满，但我打心底里从孩子的角度来想，他从未被当成一个真正的少年，生活中只有满满的辛酸。在最后的好景通讯的演讲中，我看到的不是那个光鲜亮丽的CEO，而是那个愿意为了妹妹去用双腿追赶火车的20岁少年。仅以此段感言致敬文牧野。
367$35312437$奇迹·笨小孩$别来无恙$2022-02-01 10:51:42$731$前后左右都在哭哈哈哈
368$35312437$奇迹·笨小孩$赵一$2022-02-02 17:11:06$177$看哭了，看着熟悉的深圳地标，底下一群为了生活为了日子努力坚持，真的觉得自己躺平的日子太过罪恶了
369$35312437$奇迹·笨小孩$Choose$2022-02-01 10:10:56$1109$关键词“努力” ，20岁的肩膀能承载多少？成功=远见*能力*努力*运气
370$35312437$奇迹·笨小孩$S_sshyw$2022-02-01 15:25:50$644$喜欢
371$35312437$奇迹·笨小孩$大疯大的风$2022-04-20 17:33:11$18$"9分，本不情愿打这么高，本来觉得中国电影走到这儿算完了，深陷疫情的恶循环中套不出来，没想到春节档还能攒出来这么一部片子
先不论其他问题，作为一部底层小人物的传记片完成度还是挺高的。小人物努力勤奋运气好再加政策好走向成功，挺正能量主旋律的
易烊千玺这几年走势越来越好，感觉能望到刘亚仁的尾巴了，就是角色是感觉单一了一些，不管如何中国有这样一个年轻演员也是一桩好事"
372$35312437$奇迹·笨小孩$ink blue$2022-05-30 10:09:57$4$像一个1小时40分被背景音乐充斥的公益广告……这个一颗星都是冲着四字弟弟、齐溪、王传君的演技给的
373$35312437$奇迹·笨小孩$penguinbaby$2022-02-01 10:50:31$623$大年初一哭得稀里哗啦的 弟弟真的棒
374$35312437$奇迹·笨小孩$陈麻烦$2022-02-02 15:50:22$77$结尾几分钟稍微掉档，其他部分还是很值得的，也很适合春节档
375$35312437$奇迹·笨小孩$脑勺光$2022-02-02 04:17:47$49$合家欢应景典范，就是音乐这情绪助推剂用的是不是太多了点！！！
376$35312437$奇迹·笨小孩$小年左$2022-02-07 05:04:50$9$前面虽然碎了点儿音乐土了点儿但起码四字弟弟浑然天成的演技撑得住，拳手出击讨债黑帮有帅到，直到追风少年婚礼旋儿直接尬掉，也是这场对手戏直接陪衬托出弟弟的舒适演技。飞卡车那段抠绿甩车门干脆给你飞出戏…就确实拼，但也…没这个必要吧，一般人这么搞命早没了大哥你不是在玩速度与激情武侠题材啊你不是在整现实主义吗我当时整个被搞糊涂。齐溪少有的没发挥到，章宇稳定绝（怎么会有人抬头纹帅成这样），咏梅再收编一个就能是tfboy团妈了，妹妹演得真好。最后一场发布会戏多余到仿佛补拍硬塞进来的。另外一个细节，拆机那几场弟弟的手替，大拇指甲是个题眼，要么为了接戏给他剪干净，要么追细节完美让弟弟也留点儿指甲，不然像现在这样，就只能算穿帮了。
377$35312437$奇迹·笨小孩$流浪De海盗$2022-02-22 17:31:27$37$2022年第一次眼泪给了这部电影，我心中的春节档最强。人生酸甜苦辣，不如意十有八九，总有人活得比你不如意，也总有人活得比你更努力。
378$35312437$奇迹·笨小孩$xx.$2022-02-01 16:11:00$630$真的很好看！！
379$35312437$奇迹·笨小孩$SweetRiver$2022-04-22 01:03:02$2$有些桥段的戏剧性太过突兀了 比如追车那段。后面大段大段的煽情实在把档次拉低了很多。但整体质量不错吧，千玺的演出把握的不错，有感情。
380$35312437$奇迹·笨小孩$Howard$2022-02-04 19:46:41$19$自愧弗如，易烊千玺挺像个男人
381$35312437$奇迹·笨小孩$GiveMe0Cola$2022-06-07 20:15:22$6$电影的要求不是只把故事讲清楚就好了。
382$35312437$奇迹·笨小孩$III🌙$2022-05-03 13:21:49$8$★★★☆ 奇迹不常有，而穷苦老百姓常有。
383$35312437$奇迹·笨小孩$daangel$2022-02-18 00:50:29$0$深圳励志剧！
384$35312437$奇迹·笨小孩$曾许人间第一流$2022-02-01 16:10:50$752$电影源自生活，但电影超出生活.我喜欢这个故事
385$35312437$奇迹·笨小孩$百事可乐$2022-02-01 14:51:26$986$"“20”
“年纪不大
野心不小”
很好看很好看啊啊啊
真爱易烊千玺！！！！
就是有点好哭"
386$35312437$奇迹·笨小孩$Jesseliu$2022-04-19 23:58:07$1$标准电影模版
387$35312437$奇迹·笨小孩$SydneyCarton$2022-03-03 18:34:40$4$这个本子写得真难！
388$35312437$奇迹·笨小孩$泰坦$2022-06-13 17:51:15$4$电影很美满，现实很骨感。
389$35312437$奇迹·笨小孩$ahahahaha$2022-02-01 10:58:04$1552$精彩  惊喜  春节档值得
390$35312437$奇迹·笨小孩$仿真男孩哪吒$2022-04-24 09:13:04$0$婚礼、大雨以及兄妹情真的很好
391$35312437$奇迹·笨小孩$牛逼协会会长$2022-02-01 17:18:08$10$被招安的文牧野完全失掉了控诉的勇气和创作的灵性，易烊千玺的表现依旧没什么起色，这片子可看成是《雄狮少年》的续集，剧作的设置和起伏的节奏二者宛如一脉相承，并不是光靠卖惨的设定和勤奋的努力就能创造出“米兰的奇迹”，这片子虽工整，但不灵。
392$35312437$奇迹·笨小孩$kakuranbo$2022-02-02 15:48:51$152$中国版幸福来敲门。看的时候落泪数次，致敬每一个努力生活不放弃的人！
393$35312437$奇迹·笨小孩$g1823$2022-04-16 12:51:14$0$生活远比电影里演的更加艰难。既得利益者总是高傲地俯视着受苦受难的人，只有同样深陷泥沼的人才愿意伸出援手
394$35312437$奇迹·笨小孩$momo$2022-02-01 10:20:47$979$太好看了，平凡又不平凡的一群人，是很好的新年，易烊千玺厉害！文牧野厉害！
395$35312437$奇迹·笨小孩$心生$2022-06-05 18:08:10$1$两星半
396$35312437$奇迹·笨小孩$阿莱$2022-05-17 09:11:43$0$这次的追车戏动作戏没有让我出戏 用力的眼泪做到了
397$35312437$奇迹·笨小孩$快乐时代$2022-06-04 23:55:45$4$框架基本照搬了《药神》易洋千玺的演技真的太抗打了 但片子除了没有药神的真实改编护体以外 角色都有些片面 没有药神的灵气真实 基本是冲着剧情的冲突安排角色的背景 小女孩可爱是够可爱了 但太过于功能化 最后的结局有《幸福来敲门》的影子 细节上又没有那么细腻丰富 交代六年后也实在没什么必要
398$35312437$奇迹·笨小孩$Ber_雪碧$2022-02-13 10:23:04$1$"让人深刻感受到中国这么大，每个角落都有在默默奋斗的人。以及景浩在公交车上和妹妹说的那句台词“只要努力，没有什么是实现不了的。”奋斗出奇迹，没有笨小孩。人与人之间真的应该多一份善意，我们永远不知道别人在经历什么样的人生。徐峥客串很惊喜，继《超时空同居》之后再演大厨。几个配角都很出色，喜欢社会大哥，人狠话不多。
"
399$35312437$奇迹·笨小孩$孟枭$2022-04-16 20:40:56$21$台风之后没有出现机械降神剧情，大家各自把剩余的工作带回家做，为了交付订单，被这一段有暖到。相比较整片里层出不穷的好人，童话般的故事，这一段有一些掌心里的灼热，握出了生活的夯实。结局标准的狗尾续貂，落笔在手术成功后的合影多好。努力吧，平凡而又不平凡的每个人
400$35312437$奇迹·笨小孩$seventeen💝$2022-02-04 15:17:50$62$“我们的同志在困难的时候，要看到成绩，要看到光明，要提高我们的勇气。”
401$35312437$奇迹·笨小孩$Punching$2022-05-01 01:20:35$50$应该是近几年最直击心灵的一个电影了，想说这些年恐怕也只有《我不是药神》能给人这种观感，发现是同一个导演。小女孩演的真好；电影里易烊千玺抱着的小bb女孩穿着袜子，和后面眼睛大大的小女孩表情无辜无辜的，都给人非常真实的感觉，尤其有小孩的更懂；那个拳击老哥，外形挺日本电车之狼的，这个反差说明导演会用人；连集装箱都被压扁的那一刻，恐怕连观众都彻底绝望了，先抑后扬的手法运用的非常不错，最后验收见老总估计所有观众都是跟着捏一把汗的恨不得叫老总直接签约。片子穿插了搞笑，温馨，接地气，煽情等各种元素而又不违和，每个配角都出彩，这片子本该是个大片，按照那些所谓票房冠军的对比。从春节出资源就压在硬盘里没动过观看的念头，今天无聊打开看了几分钟就停不下来。
402$35312437$奇迹·笨小孩$fxxxxxc$2022-02-02 18:08:36$188$没有颜值担当，只有真实的面孔，好看
