$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1307694$无间道3：终极无间$Yu-chia$2009-08-27 15:38:38$1296$鬼知道陈道明出来干嘛来了
380$1307694$无间道3：终极无间$Virgil$2015-08-15 19:55:22$0$20221005二刷，羡慕某人CP的好嗑程度……｜首标2150815，实际一刷早于此
381$1307694$无间道3：终极无间$lemon$2011-01-07 16:21:07$0$没前两部好，剧情有点牵强了我感觉
382$1307694$无间道3：终极无间$熙熙小可爱$2010-10-15 23:20:19$0$"第三部导演有些过于自信，这部戏是给无间道的忠实粉丝拍的，假如没看过前两部，或者看的不仔细，一定会有些迷糊。
"
383$1307694$无间道3：终极无间$库克船长$2012-06-19 07:06:35$0$晕
384$1307694$无间道3：终极无间$惊蛰$2006-05-14 23:47:54$0$续集的悲哀.讲不明白不行,讲的太明白也不行.梁朝伟的眼神.
385$1307694$无间道3：终极无间$辛子$2012-10-22 00:11:16$1$当时人家说3很难看我就没看 今天终于看了还满好看的呀！虽然这个剧情如果换成大卫x奇来拍我相信会精彩很多的。。。
386$1307694$无间道3：终极无间$喵呜$2010-01-16 00:28:21$0$太阴柔了！
387$1307694$无间道3：终极无间$卤煮猫$2011-03-14 22:09:23$0$没看明白
388$1307694$无间道3：终极无间$满地$2019-07-29 18:53:17$1$后半截开始疯狂跳戏，剧情推进一靠犯病二靠命==
389$1307694$无间道3：终极无间$zmx1025$2007-12-04 13:50:23$0$画蛇添足
390$1307694$无间道3：终极无间$血溅轩缘$2012-01-21 14:52:45$0$再次重看，终于理清了
391$1307694$无间道3：终极无间$荞麦安娜娜娜$2012-07-22 00:00:34$0$果然很凌乱 = =~ 陈道明虽然是个好大叔，可是在这里面感觉不搭，角色设定也很奇怪。。。梁朝伟赛高！杜汶泽也很有爱~【刘建明 to 陈永仁：爱他就把自己变成他！】
392$1307694$无间道3：终极无间$安东$2007-10-23 14:47:04$0$终极无间，终极无聊。
393$1307694$无间道3：终极无间$Gale$2010-02-19 21:56:54$0$大爱
394$1307694$无间道3：终极无间$孤独的风$2008-10-14 00:39:25$0$可以算是无间道的前传加故事交代吧。
395$1307694$无间道3：终极无间$Yellow_OTL$2011-10-09 14:22:14$1$发神经的电影真无聊……黎明到底什么来头？
396$1307694$无间道3：终极无间$明月Yomei$2007-03-02 20:41:08$0$说得过去
397$1307694$无间道3：终极无间$回忆离开回不来｜跳房子$2012-01-23 16:07:27$0$"个人的IQ问题吧，感觉有点凌乱，果然是要看很多遍才能看透的片子。
话说，直到看到第三部完结篇，我还是不知道前传里mary的表到底是谁送的。"
398$1307694$无间道3：终极无间$Kevil.Diab$2010-11-04 15:22:34$0$如果说2是前传为了让我们了解背景，这个3真是有点多余，觉得1的那个结局其实挺好的，这么弄到有点画蛇添足的感觉~~
399$1307694$无间道3：终极无间$kqz$2012-11-22 02:37:44$0$“男怕入错行”。
400$1307694$无间道3：终极无间$王小叶儿$2021-08-29 13:38:47$0$年少的时候真是完全没看懂啊。陈慧琳真的真的太美丽了吧。黎明这一部的演技无可挑剔。电影氛围感太有味道了。
401$1307694$无间道3：终极无间$房前有棵树$2014-04-28 22:09:26$0$nmb的十几年不见，就都去韩国整容回来似的不认识了。什么电影都不可深究啊。三部中就觉得这一部不咋样。
402$1307694$无间道3：终极无间$张太壮$2011-01-03 13:16:15$0$把圆画完整
403$1307694$无间道3：终极无间$爆小炸$2011-07-22 02:26:30$0$有必要么？
404$1307694$无间道3：终极无间$Molly·茉莉$2005-09-23 23:48:22$0$无聊，最无聊是黎明
405$1307694$无间道3：终极无间$達達主義$2011-08-26 22:53:47$0$地藏菩薩本原經卷上：如是等輩，當墜無間地獄，千萬億劫，以次連綿，求出無期。
406$1307694$无间道3：终极无间$Akira Sensei$2007-11-30 10:00:03$0$这部的感觉就有点……晦涩了？
407$1307694$无间道3：终极无间$立立$2012-11-27 09:14:29$0$无间道是个传奇。但不代表这个系列是传奇。
408$1307694$无间道3：终极无间$啊酷呐，吗嗒嗒$2012-11-17 19:44:27$0$其实第三部等于更深刻的诠释了“无间地狱永陷轮回”的意思。剧本虽有小硬伤，不过仍很精彩，只不过似乎导演还是有点无法驾控略显复杂的剧情。
409$1307694$无间道3：终极无间$april$2008-08-16 16:33:21$0$残酷
410$1307694$无间道3：终极无间$Muyan$2010-02-09 15:55:07$0$烂尾了。心理剧啊
411$1307694$无间道3：终极无间$du840758507$2012-06-18 19:33:22$0$还行
412$1307694$无间道3：终极无间$zack0504$2008-07-12 15:28:32$0$無法超越前作的桀作
413$1307694$无间道3：终极无间$一笑$2012-04-17 17:49:49$0$故事稍显复杂了点
414$1307694$无间道3：终极无间$加勒比海公主$2011-11-05 20:47:35$0$为了我的明叔
415$1307694$无间道3：终极无间$洱凍$2010-12-03 13:44:42$0$连着看完  好吧 给个感情星
416$1307694$无间道3：终极无间$小张$2017-04-23 16:08:35$0$无间道。
417$1307694$无间道3：终极无间$曾欢喜$2010-11-30 22:13:14$0$还是好看
418$1307694$无间道3：终极无间$*******$2012-04-20 19:31:44$0$第三部搞心理路线，后面非常德帕尔马~
419$1307694$无间道3：终极无间$LULU$2008-01-31 18:25:25$0$没一好看
420$1307694$无间道3：终极无间$Frankovic$2010-10-18 01:31:32$0$三部曲中最逊，只因过于复杂且牵强。但是无助感却是最甚
421$1307694$无间道3：终极无间$C大調的城$2007-02-19 18:46:16$0$&lt;无间道&gt;系列
422$1307694$无间道3：终极无间$针眼画师$2013-08-21 00:37:58$0$这部的出现完全没有必要，狗尾续貂之作。。。
423$1307694$无间道3：终极无间$龚星$2012-04-23 12:43:37$0$很努力的在维持经典。。不好也不坏。。
424$1307694$无间道3：终极无间$nikita$2011-12-18 08:45:30$0$陈道明在里面弱爆了。。。这一集好乱啊。。不知道是因为深夜看的时候有点乏，还是真的没什么吸引人的经典片段。。。
425$1307694$无间道3：终极无间$路西法的信徒R$2011-01-30 00:50:53$0$哇靠這超展開……劉同學果斷淪為被命運玩弄於鼓掌之間的棋子，基情還沒開始就結束了什麼的。一部一位鬼畜眼鏡，一個賽過一個，第三部完結篇買一送一！黎先生可O可X的腹黑女王氣場max！可惜啊竟然不是反派！道明叔也很美好，可惜依然不是反派……（反派控發作還是怎麼了
426$1307694$无间道3：终极无间$会说话的玩偶$2009-11-25 20:12:48$0$经典啊
427$1307694$无间道3：终极无间$白水$2012-06-03 21:59:30$0$一口气看了三部，最后一部看到陈道明，少女心又泛滥了！！话说怎么觉得他演反派更有魅力啊，这集就是说全部洗白了吗。怎么最后都有些玄乎的感觉了，导演编剧集体迷信啊
428$1307694$无间道3：终极无间$以蚯引鱼™$2009-01-18 17:29:12$0$无间道三部曲堪称中国经典的黑帮片
429$1307694$无间道3：终极无间$光速飞翔$2008-02-22 11:05:14$0$第三部，很混乱
430$1307694$无间道3：终极无间$atengbriliance$2007-07-30 16:56:54$0$"你必须承认，这是一个系列！
我是看不出什么演技之类的！
只是很少看到华仔演这样的角色！"
431$1307694$无间道3：终极无间$！！！！！$2011-08-06 14:31:42$0$有点像格里耶
432$1307694$无间道3：终极无间$Ann一不小心$2009-05-31 21:12:53$0$重温
433$1307694$无间道3：终极无间$嘟小七$2014-02-09 05:49:40$1$不知所云，都不知道加个陈道明做什么，最烦他拿腔拿调
434$1307694$无间道3：终极无间$乖沙皮$2010-06-21 15:07:37$0$20110529 1大于2大于3  黎明和陈道明的角色怎么看怎么多余
435$1307694$无间道3：终极无间$Soaring$2007-12-29 19:56:08$0$比二好，不及一，但还是可以让人接受的。
436$1307694$无间道3：终极无间$潘驴邓小仁波切$2013-10-22 08:32:16$0$去跟法官说，看心理医生给不给你机会。
437$1307694$无间道3：终极无间$甜椒Oli$2017-03-14 13:57:03$4$人需要自我惩罚 也不能放任自己无法自拔
438$1307694$无间道3：终极无间$Nemooo$2013-07-14 15:59:24$0$事不过三
439$1307694$无间道3：终极无间$zheng$2009-10-13 20:52:03$0$终极无间
440$1307694$无间道3：终极无间$居无间$2011-10-30 10:14:24$0$梁朝伟在里面很喜感，陈道明的作用是什么？一直以为黎明是坏蛋呢。
441$1307694$无间道3：终极无间$嘿朱丽叶$2012-06-03 22:55:48$0$无间道，真心太牛b了，类型片之最
442$1307694$无间道3：终极无间$异端云术$2007-08-14 01:44:50$0$刘德华
443$1307694$无间道3：终极无间$蛙兄$2008-10-12 16:16:45$0$看过第一部时我在想，为什么好人死了，坏人却逍遥法外，现在我明白了，好人即使死了，也会永远被人记得，而坏人，结局一定很惨很惨
444$1307694$无间道3：终极无间$小小$2017-04-09 21:36:13$2$陈道明演的这个角色好装逼，有没有同感的？
445$1307694$无间道3：终极无间$桃花岛傻姑$2008-05-13 21:13:39$1$★VCD
446$1307694$无间道3：终极无间$豆兜酱$2012-06-21 21:31:23$0$大陆公安都插一手，看得有点凌乱了。。。
447$1307694$无间道3：终极无间$西瓜$2009-02-11 16:51:47$0$乱
448$1307694$无间道3：终极无间$小小$2013-05-03 21:06:57$0$我还是最喜欢1987-2004年间的香港电影，终极无间。十年了，终于补看。
449$1307694$无间道3：终极无间$黑黑狼Ω$2011-05-10 12:14:31$0$这部拍毁了
450$1307694$无间道3：终极无间$hidey$2010-10-06 16:53:42$1$想表现的东西太多了。。略差火候~
451$1307694$无间道3：终极无间$Mnemosyne$2014-01-04 14:39:39$0$杜汶泽，帅！“出来混的，不是暴人家头就是被人暴啦~”伟仔那一回眸，倒吸一口凉气啊我~
452$1307694$无间道3：终极无间$l.m.$2007-03-26 22:06:13$0$無間道三部曲中，終極無間大概是我看得最少的一部。說實話，劉麥莊如劉建明一樣走火入魔了，最後剩下的就只得情懷了。
453$1307694$无间道3：终极无间$Tes。$2011-09-25 15:59:36$0$要不要总是一枪爆头这么惨烈。。。
454$1307694$无间道3：终极无间$苔$2010-07-27 14:06:07$0$华仔的分裂部分刻画草草 以至于明明是个吃惊的真相却让人难以信服 整部片很混乱 陈道明和黎明是在打酱油吗。
455$1307694$无间道3：终极无间$icefish$2008-05-04 16:45:57$0$希望越大，失望越大
456$1307694$无间道3：终极无间$张兜兜$2013-02-25 19:39:35$0$也算有始有终~
457$1307694$无间道3：终极无间$小霸狂$2007-10-13 23:14:23$0$alone
458$1307694$无间道3：终极无间$诸镇凝$2011-10-26 17:03:32$0$你们这主旋律搞的太高调了吧，这部明目张胆的和谐香港电影呢吗
459$1307694$无间道3：终极无间$fine$2011-08-10 23:15:36$0$这片就是终极解密来的嘛~
460$1307694$无间道3：终极无间$樛木$2009-12-13 17:40:37$0$原来，是刘健明自己把自己给玩死了啊~~~~
461$1307694$无间道3：终极无间$亲爱的猥琐猪$2020-02-07 19:18:58$3$好厉害的收尾，厉害在于不止为了补全与收尾。这里面有个疑似叙诡的地方，B把自己想成A，再把C想成自己一路追查，找出C和D有关，而D又和自己原本老大有牵扯，最后真相是这里面只有B不是同一阵营，此是第一层；第二层是利用B的人格分裂，融入A的真实往事，一虚一实扑朔迷离又带着挣脱不掉的宿命感；第三层是C和D在黄志诚-陈永仁-韩琛之后联合做局挖内鬼，颇有点M和N根据L的线索抓夜神月的紧张刺激。第四层，发现原来这是个同期警校前三名间纠葛不断的故事。片头乘电梯向下缓慢而不可避坠入无间地狱的片段印象太深太深，结尾的唱片店收束也巧。每一部都有一个核心句，这部似乎是傻强的“兄弟在江湖无非你爆我我爆你啦”，不过最喜欢的还是“一个好警察自然有许多人会来帮助”。好警察们得到救赎了吗？或许得到了。
462$1307694$无间道3：终极无间$ng$2006-03-18 02:31:19$2$前
463$1307694$无间道3：终极无间$LEON$2011-02-10 14:45:47$0$节奏有点拖
464$1307694$无间道3：终极无间$黑洞里的曙光$2010-02-14 20:02:28$0$"无间道，中国电影划时代的作品，今后必将成为教科书的一页！
明星众多，但是没体现出应有的价值，比第二部强，还是没有第一部完美！"
465$1307694$无间道3：终极无间$林不通$2011-02-08 21:39:25$0$三部作为一个整体吧。
466$1307694$无间道3：终极无间$骑猪教父$2012-03-12 21:05:02$0$大结局
467$1307694$无间道3：终极无间$辰曦子$2013-01-29 13:31:46$1$插叙＋精分，看得人云里雾里。
468$1307694$无间道3：终极无间$南夏$2017-03-14 12:56:18$3$怎一个爽字了得，看着很爽，太过瘾了
469$1307694$无间道3：终极无间$竹子$2013-03-05 17:44:16$0$警察开枪是为了制伏对方，而黑社会开枪是为了杀人。刘建明一枪爆了杨锦荣的头，黑社会永远无法成为警察。
470$1307694$无间道3：终极无间$Ming$2009-01-06 13:47:07$0$刘德华。。。咳
471$1307694$无间道3：终极无间$阿落$2012-11-24 19:08:59$0$大陆演员来干嘛
472$1307694$无间道3：终极无间$所有团的团长$2011-09-24 01:33:39$1$没弄太明白。
473$1307694$无间道3：终极无间$安蓝·怪伯爵𓆝𓆟𓆜$2007-02-04 13:04:51$0$就没有前面的好看了
474$1307694$无间道3：终极无间$杉小爱|好姑娘,咱们走起来$2012-06-15 23:54:37$0$这三部得连着看才好看。
475$1307694$无间道3：终极无间$小人德智$2009-02-01 18:51:02$0$不得不看
476$1307694$无间道3：终极无间$叮当猫$2009-05-14 14:32:27$0$刘德华的演技飞跃
477$1307694$无间道3：终极无间$巴斯光年$2011-02-04 17:11:24$0$   三部必须要一起看
478$1307694$无间道3：终极无间$棠$2013-02-18 05:31:35$0$我是来看黎明和陈道明的。  当年&lt;黑洞&gt;不怒而威的黑老大， 放在港片里光看画面的话毫无违和感， 但一开口说话总有种比莎士比亚还屈原的感觉。  这剧好闷啊， 三部里头2最最好看。 这部是弗洛伊德恐怖片。 PS： &lt;无间道&gt;全三部没有一个女角色得我心
479$1307694$无间道3：终极无间$连城易脆$2013-12-31 16:54:17$6$中国最好的三部曲电影...
480$1307694$无间道3：终极无间$grqx$2013-01-24 19:35:35$0$完全就是多余的一集
481$1307694$无间道3：终极无间$驴打滚$2007-05-17 12:23:29$0$不忍卒看
482$1307694$无间道3：终极无间$悟空$2007-11-27 02:34:05$0$野心太大，没处理好
483$1307694$无间道3：终极无间$Green2018$2013-04-23 05:13:41$1$以前看的很不认真，现在重看一遍。还是很好看，虽然黎明这个角色的突兀加入打破了第一部里很多的剧情，让第一部里梁朝伟和黄秋生的行为都变得有些不合理。第三部里陈道明明显比第二部的胡军更加水土不服。说不定给个粤语配音会好些，因为这么标准的舞台腔和剧中其他人实在太不搭调了。
484$1307694$无间道3：终极无间$新西兰孙小社$2011-01-05 20:23:22$0$凑合吧
485$1307694$无间道3：终极无间$莎会长$2008-12-05 14:21:59$0$无间道系列是一个里程碑。
486$1307694$无间道3：终极无间$斩杀$2015-11-06 11:34:29$1$续作没有大滑坡也是难得。
487$1307694$无间道3：终极无间$Polkadot$2009-03-02 19:59:28$0$不太懂？
488$1307694$无间道3：终极无间$st_ind$2008-11-05 08:28:21$0$刘德华与三个女人的故事
489$1307694$无间道3：终极无间$一克氰化钾$2017-01-26 14:14:46$3$一直认为自己不喜欢无间道这种警匪片，但三部看下来，被情节吸引了，确实是香港电影巅峰之作。
490$1307694$无间道3：终极无间$李敬勖$2014-01-13 14:58:12$0$没有前两部好看。
491$1307694$无间道3：终极无间$诸葛blue$2007-06-04 18:32:09$0$，。
492$1307694$无间道3：终极无间$临素光$2009-06-17 21:38:44$0$生硬
493$1307694$无间道3：终极无间$A_W$2010-11-15 10:45:45$0$哎~从后往前编，这不明显骗钱
494$1307694$无间道3：终极无间$Alex$2007-02-13 16:33:35$0$很好啊！
495$1307694$无间道3：终极无间$不愿透名布雷迪$2008-03-20 08:30:40$0$刘德华演得其实很假
496$1307694$无间道3：终极无间$灼灼裴质$2012-10-09 20:32:47$2$三部里最次的一部吧。但是黎明的冷艳高贵还是叫人眼前一亮。这就是腹黑大魔王该有的一尊具象。故事是好故事。败在了时间安排上，太混了。插叙倒叙不带这么玩的还不巧碰上老娘我感冒，作死啊
497$1307694$无间道3：终极无间$feng.cheng$2010-07-09 11:32:55$0$“我想做个好人”……
498$1307694$无间道3：终极无间$咂么嘴儿$2020-03-08 20:35:17$1$有点飘，不太行。相比还是杜琪峰的黑社会比较上头，没什么花里胡哨的，就是很黑暗，同样是和大陆联名，但是黑社会的联名就很……嗯…你懂的。。。非常的喘不过气。另外就是看不习惯陈道明演这种角色，听不适合大陆人演的，大陆还是比较适合收敛的黑暗，语言手段那种你来我往，不敢说了。。自己体会
499$1307694$无间道3：终极无间$Piglette$2020-03-03 06:34:21$2$这一部真的有点瞎搞了，第三部的剧本并非到了写无可写需要生编硬造的地步，恰恰相反，如何揭露刘建明的身份本应有极大的潜力，可编剧却偏偏选择了最莫名其妙最泄气的一种方式，搞得一部警匪片最大的看点竟然是卧底警察和心理医生谈恋爱。陈道明尬得出戏，全场MVP竟然是懂精神分析学的傻强。
500$1307694$无间道3：终极无间$马来可$2007-02-21 11:56:52$0$不搭调的陈道明 赶鸭子上架的终结篇...
501$1307694$无间道3：终极无间$一路风景$2010-10-10 00:44:42$0$剪辑太棒了，虚虚实实，似假还真。沈澄竟然是个内地卧底警察，太意外了，更意外的是，杨锦荣竟然是个真正的好警察。刘建明很悲剧，浪子回头太难了，最后连想死都做不到。
502$1307694$无间道3：终极无间$梦溪$2010-08-20 23:00:34$0$环境对人的塑造。三个在警察学校志愿当个好人的同学，却在其后的人生经历如此大的差异...正如反复出现的那句台词“事情改变人，但人却改变不了事情”，莫非人在命运的洪流里就只能拱手交出自己？刘德华在暴露身份时已经神志不清，人格分裂，他不停的喊着“我也想做个好人。。”确也是真实
503$1307694$无间道3：终极无间$日迟迟$2010-11-13 17:35:00$0$没看懂
504$1307694$无间道3：终极无间$小北溟鱼$2011-03-26 21:13:40$0$比第二部好多了，但还是比第一部差远了。感觉有点过于纠结于刘德华心理层面的描写，而一些应该很精彩的发展就给忽略掉了，节奏有点慢，紧凑点就更好了。一些细节处理的真棒，例如梁朝伟手上的伤，例如最后那包白粉。这个系列真的很棒，主要是第一部把水平飚的太高了
505$1307694$无间道3：终极无间$Garing$2006-07-29 09:58:35$0$sammi只出来了一个镜头，真无奈！给kelly那哭相吓傻了，她怎么哭得像笑一样啊～晕！
506$1307694$无间道3：终极无间$Oudea Zheng$2007-12-22 21:29:09$0$这部的剧情其实很出人意料哈，依然经典
507$1307694$无间道3：终极无间$寄往小樽的信$2012-04-12 14:13:43$0$我混乱了~
508$1307694$无间道3：终极无间$梵高先生$2007-12-26 14:07:35$0$真的比较烂
509$1307694$无间道3：终极无间$容貌焦虑主理人$2022-03-02 06:45:36$0$有了陈慧琳的角色，终于把剧情连起来了。第二部挖的坑真是太大太深了。
510$1307694$无间道3：终极无间$duanjf$2007-04-07 02:25:26$0$个人认为这是刘德华的巅峰之作
511$1307694$无间道3：终极无间$小阳嬷嬷$2011-05-04 22:37:02$0$我是警察 是你妹啊 黎明怎么长的那么丑
512$1307694$无间道3：终极无间$Mercury's Mercy$2008-06-15 00:23:27$0$看得我有点乱
513$1307694$无间道3：终极无间$朝阳区妻夫木聪$2012-02-04 21:04:24$0$经典~
514$1307694$无间道3：终极无间$阿凡提大盗$2008-05-21 14:53:40$0$大牌太多了……
515$1307694$无间道3：终极无间$ChelseaQinWang$2011-04-30 18:51:51$0$"其实如果让黎天王一直维持片头的腹黑坏人形象挺好的。
把他定义成好人，有点主旋律了。
故事情节还是不错的，和1、2还是挺统一的。"
516$1307694$无间道3：终极无间$月球上的人$2007-12-15 19:51:19$1$无间道系列如此收尾，实在糟蹋。
517$1307694$无间道3：终极无间$热爆的小几点$2009-03-29 21:57:40$0$1最好看！
518$1307694$无间道3：终极无间$好大一张饼$2011-11-15 22:24:58$0$人物设置太多，削弱了警匪港片的特质，尤其陈道明更是多余，但是仍然是一部好片儿~
519$1307694$无间道3：终极无间$肚子咕噜够了没$2011-11-26 20:39:39$0$我永远忘不了1里面梁朝伟看见黄秋生坠下来时的眼神，可是后面的3就没什么记忆了。
520$1307694$无间道3：终极无间$NeVerLand$2007-10-03 16:59:18$0$"10年来最好的港片警匪题材
"
521$1307694$无间道3：终极无间$ycho$2010-03-25 22:19:35$0$终极……
522$1307694$无间道3：终极无间$精神分裂的甸甸$2009-07-05 19:06:44$0$死亡的你和生存的我，最终到底谁输谁赢……
523$1307694$无间道3：终极无间$旭$2014-05-04 21:32:47$0$今日突然想睇翻，比10年前睇明左好多野。
524$1307694$无间道3：终极无间$月影无痕$2012-06-17 19:48:59$0$骗钱之作，越来越差；拍到2就可以结束了
525$1307694$无间道3：终极无间$大湟江$2009-07-03 21:14:43$0$剧情拖沓，拍太长。
526$1307694$无间道3：终极无间$双喜$2011-06-27 16:46:27$0$我看迷糊了，看了两遍还没太屡清楚。。
527$1307694$无间道3：终极无间$Dear Morie$2011-03-22 13:32:47$0$跟前两部没法比了
528$1307694$无间道3：终极无间$Kreuzberg$2010-09-20 14:52:46$1$结束得有点突兀和矫情啊。
529$1307694$无间道3：终极无间$31. Romero$2016-10-08 02:37:05$1$很多年后我终于发现这部剧其实圆得很好
530$1307694$无间道3：终极无间$P。P$2010-09-09 13:30:19$0$无间三部曲。。。。
531$1307694$无间道3：终极无间$墨$2010-01-17 12:20:09$0$过了明天，就会没事的。
532$1307694$无间道3：终极无间$悲了伤的独孤宵$2020-08-17 22:10:06$2$这部电影对刘建明人格分裂的镜头语言描写要远远好于剧情发展的故事性，杨锦荣最后的死为了对照陈永仁的死，太生硬了，同样的，刘建明最后求死不能的在无间地狱中受折磨也有些刻意为之。
533$1307694$无间道3：终极无间$上将文丑丑$2016-06-20 13:03:43$0$爽
534$1307694$无间道3：终极无间$温柔的小坏$2014-02-10 13:47:52$0$妈蛋，陈慧琳把我也催眠了
535$1307694$无间道3：终极无间$纳穆卓可$2009-02-22 00:53:34$0$其实拍完第一部就可以结束了，不是吗？
536$1307694$无间道3：终极无间$大福$2011-08-11 08:53:18$0$其实这部很一般。
537$1307694$无间道3：终极无间$Stigrex$2008-06-02 12:03:19$4$很喜欢黎明在片中的演艺
538$1307694$无间道3：终极无间$一只菜团$2012-08-28 11:11:42$0$有点罗嗦 
539$1307694$无间道3：终极无间$魏春亮$2011-05-21 16:23:08$0$这一部看刘德华
540$1307694$无间道3：终极无间$米花町哈莉奎茵$2021-08-17 18:01:15$3$……谁能想到陈永仁居然有两个好基友呢
541$1307694$无间道3：终极无间$Connie$2010-04-21 12:36:15$0$明爷果然是高人~
542$1307694$无间道3：终极无间$张苑希$2020-07-19 16:20:12$0$三部曲最弱，对细节进行查缺补漏外加升华主题。黎明是警校同窗早有铺垫，至于道明叔则跟整个影片的气质格格不入。几处蒙太奇转场设置得尤为精妙，叙事上打乱时间轴令真相更加扑朔迷离。刘建明因人格分裂自曝自戕后成植物人，完美应对影片前言：身陷无间地狱，越挣扎越绝望，永受轮回之苦。
543$1307694$无间道3：终极无间$蒙大拿$2011-05-23 18:12:09$0$果断黄金阵容的狗尾啊。。。
544$1307694$无间道3：终极无间$庸人爱自扰$2009-08-20 23:52:04$0$经典啊。
545$1307694$无间道3：终极无间$城南草木生$2008-01-19 12:06:11$0$20230209重新看了一遍无间道三部，以前的同类型港片都比它好，但以后没有比它更好的了，第一部最好，第二部拐弯了，第三部风格和气质跟第一部统一但强行编排的两个角色太炫失败了
546$1307694$无间道3：终极无间$Echooo$2012-11-23 22:29:00$0$原来杨锦荣和陈永仁是好基友！傻强和陈永仁的所有对话都好可爱啊~刘建明的命真是硬啊........
547$1307694$无间道3：终极无间$PLAYTOY$2010-10-01 13:19:25$0$阵容实在很强大
548$1307694$无间道3：终极无间$双鱼上网女孩$2013-09-28 21:28:40$0$看得好想睡，一边吃夜宵一边看，洋葱圈让人走神⊙﹏⊙
549$1307694$无间道3：终极无间$寡欢$2008-02-01 11:55:51$0$迷乱。
550$1307694$无间道3：终极无间$糯木$2012-07-21 19:28:09$1$哇...这是我看过最啰嗦的精分片和最肉麻的警匪片以及最傻缺的犯罪片...
551$1307694$无间道3：终极无间$a little mark$2011-06-02 10:06:35$1$虽然很讨厌陈冠希，但是这依然是一部好电影。余文乐表现得很不错。
552$1307694$无间道3：终极无间$無音亡霊$2011-01-20 00:40:24$0$大叔我愛死你們了TLT。
553$1307694$无间道3：终极无间$木有$2011-08-15 00:20:33$0$居然忘记标记了
554$1307694$无间道3：终极无间$瀚彤$2011-08-24 00:32:33$0$水平较前两部有所下降
555$1307694$无间道3：终极无间$史妖妖$2012-11-16 16:13:05$0$把陈道明拉来也没用啊。
556$1307694$无间道3：终极无间$deus$2011-10-22 20:41:17$1$陈永仁的借尸还魂毁了这部电影。如果想延续第一集继续展开故事，针对刘建明自身的罪与罚，完全可以再拍出一部经典。不过主创始终对那个陈永仁念念不忘，于是在续集里又套拍了一个平淡无奇的小前传。很明显，这集最大的毛病就在于为了弥补剧情上的漏洞，加了太多类似于粘合剂性质的小情节，让人实在反胃
557$1307694$无间道3：终极无间$水木南亲$2008-02-02 07:16:04$0$en 2003
558$1307694$无间道3：终极无间$蜜思安娜$2010-03-30 14:50:44$0$逻辑性不要太强哦，时时刻刻考验我可怜的智商。。
559$1307694$无间道3：终极无间$生人回避$2023-04-16 02:10:38$0$将正邪对弈交给精神分裂，实属编剧败笔！
560$1307694$无间道3：终极无间$缘三$2009-03-03 16:17:53$0$"港版 正序 最爱 没有之一……

"
561$1307694$无间道3：终极无间$默默$2012-01-05 17:39:36$0$年轻版找的不错！
562$1307694$无间道3：终极无间$对抗拖延$2014-04-15 21:49:05$0$2014年4月15日21:48:53，人物剧情穿插的，稍微有些看不懂
563$1307694$无间道3：终极无间$苏半夏。$2012-02-27 18:15:55$0$还好，没有他们说的那么混乱。
564$1307694$无间道3：终极无间$Everest$2012-10-22 22:11:26$0$没啥亮点了
565$1307694$无间道3：终极无间$Comel$2012-12-26 13:30:15$0$其实老老实实讲故事，完全可以延续精彩，不过野心太大，叙事的尝试失控
566$1307694$无间道3：终极无间$心知_道$2012-03-31 10:58:48$0$先不管第三部关于刘建明的精神分裂是否与影片前两部风格迥异。在故事情节上这种补漏的编排总会有漏洞，比如当初陈永仁知道刘建明是内鬼之后，为什么没去找杨锦荣而去找了李心儿？杨应该是最可以帮陈洗冤的人，而这一点就让故事开始矛盾。如果陈找了杨，一切就简单了。
567$1307694$无间道3：终极无间$咯咯精$2021-02-22 22:00:09$1$补标
568$1307694$无间道3：终极无间$fzwmagic$2011-06-12 20:59:31$0$这样的结局，真的让人很有感触~~~~
569$1307694$无间道3：终极无间$玻利维亚$2006-11-11 12:12:22$0$越来越没味
570$1307694$无间道3：终极无间$以昼为夜$2011-04-29 17:07:09$0$前世维持水准，今生故弄玄虚。
571$1307694$无间道3：终极无间$萱小轩$2008-04-17 09:11:36$0$善恶到头终有报
572$1307694$无间道3：终极无间$米米米妮$2011-10-12 22:36:24$0$无间道系列的结尾。人是越来越多，演员也都是实力派，不过少了第一部的那份理性和背叛……稍显无聊
573$1307694$无间道3：终极无间$Kovin$2012-12-13 13:05:07$0$如何一日致富，我觉得这本书不错。
574$1307694$无间道3：终极无间$Panda的影音$2016-02-22 18:57:18$1$好吧！决定把《无间道》三部曲删了，等将来有心情再一起套看下来吧？—— 在看了《无间道(正序版)》又找来《无间道》三部曲回味下。2算1的前传，3算1的续集。如果没有看正序版（或重温第一部）直接看《终极无间》，我想我也可能会因不同时间交叉剪辑的叙事手法而理不清故事和人物。剧情编排等方面感觉没前两部精彩，黎明+陈道明的组合没第二部吴镇宇+胡军来得惊喜，杨锦荣最后的头部中枪（死法与陈永仁相似）也挺没必要的。—— 金马奖上，刘德华凭借此片弥补了第一部败给梁朝伟没拿到影帝的遗憾（只提一名刚好得奖），金像奖则是七提零中。-2019.11.03
575$1307694$无间道3：终极无间$HakunaMatata$2012-03-02 23:07:28$0$阵容很强大！但是！内地演员太露怯了！！搞得不伦不类！无间道被过度消化了
576$1307694$无间道3：终极无间$热力学第二定律$2014-05-02 17:00:46$0$太高期望，反而失望。
